label,kernel_id,kernel_name,grid_size,block_size,time_us,dram_read_mib,dram_write_mib,global_load_sectors,global_store_sectors,dram_peak_pct,l2_hit_pct,l1_hit_pct,shared_load_bank_conflicts,shared_store_bank_conflicts,warp_instructions,instructions_per_active_cycle,integer_thread_instructions,fp32_thread_instructions,fp64_thread_instructions,tensor_warp_instructions,tensor_active_pct,active_warps_pct,barrier_stall_pct,wait_stall_pct,long_scoreboard_stall_pct,mio_throttle_stall_pct,registers_per_thread,shared_mem_bytes,waves_per_sm,occupancy_register_block_limit,occupancy_shared_block_limit,occupancy_warp_block_limit
barrier_n15_b2,0,"void cuntt::detail::hierarchical_dataflow_kernel<unsigned long,",128,256,21.152,0.364044189453125,0.047027587890625,,,,,,,,1089632.0,,25124072.0,,,,,19.94,56.07,14.72,18.26,0.06,40.0,8224.0,0.27,6.0,7.0,8.0
streaming_n15_b2,0,void cuntt::<unnamed>::hierarchical_streaming_kernel<unsigned long>,160,256,64.70400000000001,0.872589111328125,0.8826904296875,,,,,,,,7685584.0,,94027589.0,,,,,21.52,1.01,21.14,24.64,0.06,82.0,2048.0,1.0,2.0,4.0,8.0
barrier_n20_b4,0,"void cuntt::detail::hierarchical_dataflow_kernel<unsigned long,",160,256,536.672,128.40283203125,64.6546630859375,,,,,,,,75164983.0,,1903718425.0,,,,,24.26,6.07,15.01,44.14,1.0,48.0,32800.0,1.0,5.0,2.0,8.0
streaming_generic_n20_b4,0,void cuntt::<unnamed>::hierarchical_streaming_kernel<unsigned long>,160,256,1606.24,408.455322265625,112.2353515625,,,,,,,,163990373.0,,2920625993.0,,,,,23.16,0.04,12.51,49.36,0.16,82.0,8192.0,1.0,2.0,2.0,8.0
streaming_resident_776_n20_b1,0,"void cuntt::<unnamed>::hierarchical_streaming_7x7x6_kernel<unsigned long,",160,256,687.392,145.56478881835938,41.338287353515625,,,,,,,,23908543.0,,559027552.0,,,,,21.75,45.0,4.83,34.53,0.31,48.0,33024.0,1.0,5.0,2.0,8.0
streaming_resident_776_n20_b4,0,"void cuntt::<unnamed>::hierarchical_streaming_7x7x6_kernel<unsigned long,",160,256,3490.112,806.5693664550781,268.3379211425781,,,,,,,,91539498.0,,2153598301.0,,,,,23.38,37.02,3.23,44.53,0.55,48.0,33024.0,1.0,5.0,2.0,8.0
streaming_specialized_n20_b4,0,"void cuntt::<unnamed>::hierarchical_streaming_10x10_kernel<unsigned long,",160,256,609.152,127.74118041992188,64.71633911132812,,,,,,,,82392900.0,,1935323204.0,,,,,24.3,3.53,15.83,32.2,0.54,48.0,32816.0,1.0,5.0,2.0,8.0
barrier_w32_n20_b4,0,"void cuntt::detail::hierarchical_dataflow_kernel<unsigned int,",400,256,270.432,59.41339111328125,33.48199462890625,,,,,,,,44138817.0,,1027576979.0,,,,,55.91,16.08,8.76,35.64,7.56,38.0,16400.0,1.0,6.0,5.0,8.0
streaming_specialized_w32_n20_b4,0,"void cuntt::<unnamed>::hierarchical_streaming_10x10_kernel<unsigned int,",320,256,347.84000000000003,63.200927734375,33.77703857421875,,,,,,,,50156087.0,,1047745687.0,,,,,47.21,5.08,10.21,33.31,4.93,40.0,16416.0,0.8,6.0,5.0,8.0
streaming_resident_776_w32_n20_b1,0,"void cuntt::<unnamed>::hierarchical_streaming_7x7x6_kernel<unsigned int,",240,256,466.368,94.59432983398438,29.739990234375,,,,,,,,15971088.0,,338667712.0,,,,,30.9,46.18,3.64,33.79,0.65,38.0,16512.0,0.6,6.0,5.0,8.0
