label,kernel_id,kernel_name,grid_size,block_size,time_us,dram_read_mib,dram_write_mib,global_load_sectors,global_store_sectors,local_load_sectors,local_store_sectors,dram_peak_pct,l2_hit_pct,l1_hit_pct,shared_load_bank_conflicts,shared_store_bank_conflicts,warp_instructions,instructions_per_active_cycle,integer_thread_instructions,fp32_thread_instructions,fp64_thread_instructions,tensor_warp_instructions,tensor_active_pct,active_warps_pct,barrier_stall_pct,wait_stall_pct,long_scoreboard_stall_pct,mio_throttle_stall_pct,registers_per_thread,shared_mem_bytes,waves_per_sm,occupancy_register_block_limit,occupancy_shared_block_limit,occupancy_warp_block_limit
v06,0,"void cuntt::<unnamed>::hierarchical_streaming_10x10_kernel<unsigned int,",320,256,1251.488,276.25628662109375,169.95294189453125,29814918.0,8388611.0,0.0,16384.0,40.68,,,12055423.0,27293685.0,182233587.0,,4142773439.0,,,,,47.77,5.72,10.06,44.89,5.32,40.0,16416.0,0.8,6.0,5.0,8.0
warp256_static_io_half,0,"void cuntt::<unnamed>::hierarchical_homogeneous_warp256_10x10_kernel<unsigned int,",240,128,1484.672,266.9593811035156,146.35861206054688,40085857.0,8388611.0,0.0,8188.0,31.48,,,2434419.0,0.0,211509141.0,,3075920036.0,,,,,18.39,8.29,17.88,26.15,1.32,164.0,20592.0,1.0,3.0,3.0,16.0
warp256_coefficient_reuse1_static_io_half,0,"void cuntt::<unnamed>::hierarchical_homogeneous_warp256_10x10_kernel<unsigned int,",240,128,1437.568,267.5795593261719,160.99057006835938,38156898.0,8388611.0,0.0,8190.0,35.12,,,2570638.0,0.0,211144541.0,,3064424676.0,,,,,18.45,4.95,19.76,26.89,1.55,163.0,20592.0,1.0,3.0,3.0,16.0
warp256_coefficient_reuse2_static_io_half,0,"void cuntt::<unnamed>::hierarchical_homogeneous_warp256_10x10_kernel<unsigned int,",240,128,1514.144,268.3675231933594,170.99847412109375,36225642.0,8388611.0,0.0,8194.0,34.35,,,2573967.0,0.0,211831456.0,,3072790699.0,,,,,18.3,4.88,20.73,26.82,1.46,165.0,20592.0,1.0,3.0,3.0,16.0
warp256_coefficient_reuse3_static_io_half,0,"void cuntt::<unnamed>::hierarchical_homogeneous_warp256_10x10_kernel<unsigned int,",240,128,1528.352,266.5141906738281,170.8238525390625,34060921.0,8388611.0,0.0,8198.0,34.38,,,2568786.0,0.0,212536635.0,,3050763755.0,,,,,18.27,4.8,21.39,25.41,1.41,165.0,20592.0,1.0,3.0,3.0,16.0
warp256_coefficient_reuse4_static_io_half,0,"void cuntt::<unnamed>::hierarchical_homogeneous_warp256_10x10_kernel<unsigned int,",240,128,1622.976,273.4875793457031,169.04635620117188,30456886.0,8388611.0,0.0,8190.0,32.41,,,2567655.0,0.0,213704655.0,,3063375865.0,,,,,18.12,4.82,22.31,24.07,1.37,161.0,20592.0,1.0,3.0,3.0,16.0
warp256_coefficient_reuse5_static_io_half,0,"void cuntt::<unnamed>::hierarchical_homogeneous_warp256_10x10_kernel<unsigned int,",240,128,1628.96,277.0746154785156,172.54293823242188,25031395.0,8388611.0,0.0,8201.0,32.26,,,2525154.0,0.0,214615297.0,,3054440609.0,,,,,18.04,4.78,22.81,22.79,1.05,158.0,20592.0,1.0,3.0,3.0,16.0
warp256_coefficient_reuse_static_io_half,0,"void cuntt::<unnamed>::hierarchical_homogeneous_warp256_10x10_kernel<unsigned int,",240,128,1627.008,271.8643493652344,163.54647827148438,25042621.0,8388611.0,0.0,8186.0,30.8,,,2512455.0,0.0,214613190.0,,3054438437.0,,,,,18.05,4.71,22.77,23.14,1.05,158.0,20592.0,1.0,3.0,3.0,16.0
warp128_static_io_half,0,"void cuntt::<unnamed>::hierarchical_homogeneous_warp_small_occupancy4_10x10_kernel<unsigned int,",320,128,1631.328,315.977294921875,192.51168823242188,39805986.0,8388611.0,80310.0,16384.0,35.96,,,2570651.0,92385.0,237513194.0,,3395435919.0,,,,,24.29,5.05,18.29,37.11,1.64,101.0,20592.0,1.0,4.0,4.0,16.0
warp128_static_io_half_dual,0,"void cuntt::<unnamed>::hierarchical_homogeneous_warp_small_occupancy2_10x10_kernel<unsigned int,",160,256,1489.728,269.7345886230469,146.086669921875,39872607.0,8363131.0,100976.0,16384.0,32.51,,,2355262.0,93146.0,237845307.0,,3406173555.0,,,,,24.73,6.28,19.4,29.95,1.81,101.0,41184.0,1.0,2.0,2.0,8.0
