label,kernel_id,kernel_name,grid_size,block_size,time_us,dram_read_mib,dram_write_mib,global_load_sectors,global_store_sectors,local_load_sectors,local_store_sectors,dram_peak_pct,l2_hit_pct,l1_hit_pct,shared_load_bank_conflicts,shared_store_bank_conflicts,warp_instructions,instructions_per_active_cycle,integer_thread_instructions,fp32_thread_instructions,fp64_thread_instructions,tensor_warp_instructions,tensor_active_pct,active_warps_pct,barrier_stall_pct,wait_stall_pct,long_scoreboard_stall_pct,mio_throttle_stall_pct,registers_per_thread,shared_mem_bytes,waves_per_sm,occupancy_register_block_limit,occupancy_shared_block_limit,occupancy_warp_block_limit
v06,0,"void cuntt::<unnamed>::hierarchical_streaming_10x10_kernel<unsigned int,",320,256,1061.1200000000001,258.90167236328125,137.00686645507812,29769810.0,8388611.0,0.0,16384.0,42.15,66.89,46.97,11968024.0,27291888.0,185758693.0,,4153632229.0,,,,,48.88,5.76,10.44,40.36,5.98,40.0,16416.0,0.8,6.0,5.0,8.0
warp1024,0,"void cuntt::<unnamed>::hierarchical_homogeneous_warp_two_level_kernel<unsigned int,",80,256,4674.464,299.51995849609375,493.45941162109375,46211161.0,33439373.0,0.0,32768.0,20.29,82.3,62.48,0.0,0.0,212096714.0,,2163204251.0,,,,,12.49,0.01,11.16,11.84,0.01,159.0,0.0,1.0,1.0,32.0,8.0
warp256_t128,0,"void cuntt::<unnamed>::hierarchical_homogeneous_warp256_10x10_kernel<unsigned int,",240,128,4355.296,784.5075988769531,577.2755432128906,53236062.0,33549891.0,0.0,32758.0,34.89,73.04,32.42,918725.0,18124.0,199753989.0,,2513979741.0,,,,,18.57,25.23,5.15,26.95,1.76,166.0,4096.0,1.0,3.0,4.0,16.0
warp256_t256,0,"void cuntt::<unnamed>::hierarchical_homogeneous_warp256_10x10_kernel<unsigned int,",80,256,3454.592,329.00933837890625,556.3888854980469,52890689.0,33652635.0,0.0,32768.0,30.25,86.01,41.98,698207.0,19110.0,194104914.0,,2503879252.0,,,,,12.49,23.97,9.5,21.98,0.85,166.0,8192.0,1.0,1.0,1.0,8.0
warp256_static_t128,0,"void cuntt::<unnamed>::hierarchical_homogeneous_warp256_10x10_kernel<unsigned int,",160,128,2451.584,357.39837646484375,128.63027954101562,52881819.0,4194307.0,0.0,4096.0,23.32,72.47,47.2,1955129.0,3160285.0,195075370.0,,2563192118.0,,,,,12.36,26.34,13.5,22.76,0.37,162.0,36864.0,1.0,3.0,2.0,16.0
warp256_static_t256,0,"void cuntt::<unnamed>::hierarchical_homogeneous_warp256_10x10_kernel<unsigned int,",80,256,2526.368,360.263671875,128.76858520507812,52891337.0,4196125.0,0.0,4096.0,20.87,69.94,51.02,1644290.0,3152635.0,195539259.0,,2563769926.0,,,,,12.5,25.99,13.29,21.51,0.47,162.0,73728.0,1.0,1.0,1.0,8.0
warp256_static_io_t128,0,"void cuntt::<unnamed>::hierarchical_homogeneous_warp256_10x10_kernel<unsigned int,",160,128,2101.632,252.519287109375,128.58905029296875,38123373.0,4194307.0,0.0,4096.0,21.23,50.97,68.2,4807579.0,6360465.0,217745198.0,,3238041052.0,,,,,12.35,20.59,19.68,25.61,0.56,172.0,36864.0,1.0,2.0,2.0,16.0
warp256_static_io_t256,0,"void cuntt::<unnamed>::hierarchical_homogeneous_warp256_10x10_kernel<unsigned int,",80,256,1938.816,246.70709228515625,128.71142578125,38048427.0,4183128.0,0.0,4096.0,22.64,50.23,73.43,4897749.0,6354643.0,216953857.0,,3238966076.0,,,,,12.5,16.51,20.66,25.08,0.87,172.0,73728.0,1.0,1.0,1.0,8.0
warp256_static_half_t128,0,"void cuntt::<unnamed>::hierarchical_homogeneous_warp256_10x10_kernel<unsigned int,",240,128,2081.504,456.8223571777344,160.10250854492188,52817345.0,8388611.0,0.0,8192.0,35.44,71.19,45.92,1246462.0,3145728.0,196793909.0,,2584283517.0,,,,,18.6,25.18,11.25,22.45,1.48,162.0,20480.0,1.0,3.0,3.0,16.0
warp256_static_io_half_t128,0,"void cuntt::<unnamed>::hierarchical_homogeneous_warp256_10x10_kernel<unsigned int,",240,128,1455.616,272.6791076660156,152.48196411132812,40026987.0,8388611.0,0.0,8191.0,32.59,64.32,60.02,2481990.0,0.0,211082667.0,,3075920703.0,,,,,18.44,7.44,18.46,26.53,1.47,164.0,20592.0,1.0,3.0,3.0,16.0
