label,kernel_id,kernel_name,grid_size,block_size,time_us,dram_read_mib,dram_write_mib,global_load_sectors,global_store_sectors,dram_peak_pct,l2_hit_pct,l1_hit_pct,shared_load_bank_conflicts,shared_store_bank_conflicts,warp_instructions,integer_thread_instructions,fp32_thread_instructions,fp64_thread_instructions,tensor_warp_instructions,tensor_active_pct,active_warps_pct,barrier_stall_pct,long_scoreboard_stall_pct,registers_per_thread,shared_mem_bytes,waves_per_sm,occupancy_register_block_limit,occupancy_shared_block_limit,occupancy_warp_block_limit
n10_ur1_td4,0,"void cuntt::detail::hybrid_dataflow_kernel<unsigned long,",16,160,58.752,,,60384.0,4096.0,,,,8879.0,8192.0,839200.0,11027456.0,,,,,7.81,35.13,3.1,63.0,16416.0,0.04,6.0,5.0,12.0
n10_ur2_td4,0,"void cuntt::detail::hybrid_dataflow_kernel<unsigned long,",16,192,54.464,,,60384.0,4096.0,,,,720.0,0.0,768656.0,11304448.0,,,,,9.37,26.19,12.35,76.0,12320.0,0.05,4.0,5.0,10.0
n10_ur5_td4,0,"void cuntt::detail::hybrid_dataflow_kernel<unsigned long,",16,160,52.832,,,60384.0,4096.0,,,,652.0,0.0,593936.0,8261632.0,,,,,7.81,17.26,24.5,78.0,8192.0,0.05,4.0,4.0,12.0
n12_ur1_td4,0,"void cuntt::detail::hybrid_dataflow_kernel<unsigned long,",16,192,151.776,,,327261.0,16384.0,,,,35458.0,32768.0,3280528.0,39139968.0,,,,,9.37,25.87,3.52,63.0,53288.0,0.2,5.0,1.0,10.0
n12_ur1_td8,0,"void cuntt::detail::hybrid_dataflow_kernel<unsigned long,",16,192,172.544,,,321222.0,16384.0,,,,35318.0,33143.0,2941168.0,34730112.0,,,,,9.37,40.4,4.37,64.0,73768.0,0.2,5.0,1.0,10.0
n12_ur2_td4,0,"void cuntt::detail::hybrid_dataflow_kernel<unsigned long,",16,192,163.71200000000002,,,318150.0,16384.0,,,,5469.0,0.0,2677360.0,34469376.0,,,,,9.37,16.27,16.26,96.0,40992.0,0.1,3.0,2.0,10.0
n12_ur2_td8,0,"void cuntt::detail::hybrid_dataflow_kernel<unsigned long,",16,192,172.8,,,325216.0,16384.0,,,,5815.0,0.0,2511088.0,32313728.0,,,,,9.37,24.94,13.55,95.0,49184.0,0.2,3.0,1.0,10.0
n12_ur3_td4,0,"void cuntt::detail::hybrid_dataflow_kernel<unsigned long,",16,192,201.024,,,311796.0,16384.0,,,,4021.0,0.0,2500912.0,33355136.0,,,,,9.37,35.63,12.02,112.0,36888.0,0.1,2.0,2.0,10.0
n12_ur3_td8,0,"void cuntt::detail::hybrid_dataflow_kernel<unsigned long,",16,192,163.616,,,313701.0,16384.0,,,,4634.0,0.0,2321136.0,30709632.0,,,,,9.37,24.15,15.1,112.0,40984.0,0.1,2.0,2.0,10.0
n12_ur6_td4,0,"void cuntt::detail::hybrid_dataflow_kernel<unsigned long,",16,192,186.43200000000002,,,325314.0,16384.0,,,,5246.0,0.0,2305824.0,31911936.0,,,,,9.37,30.19,16.54,126.0,32768.0,0.1,2.0,2.0,10.0
n12_ur6_td8,0,"void cuntt::detail::hybrid_dataflow_kernel<unsigned long,",16,192,160.448,,,325332.0,16384.0,,,,3652.0,0.0,2048736.0,26203136.0,,,,,9.37,25.8,15.63,142.0,32768.0,0.1,2.0,2.0,10.0
