label,kernel_id,kernel_name,grid_size,block_size,time_us,dram_read_mib,dram_write_mib,dram_peak_pct,l2_hit_pct,l1_hit_pct,shared_load_bank_conflicts,shared_store_bank_conflicts,warp_instructions,integer_thread_instructions,fp32_thread_instructions,fp64_thread_instructions,tensor_warp_instructions,tensor_active_pct,active_warps_pct,barrier_stall_pct,long_scoreboard_stall_pct,registers_per_thread,shared_mem_bytes,waves_per_sm,occupancy_register_block_limit,occupancy_shared_block_limit,occupancy_warp_block_limit
crossover_009_not_confirmed_fft_fp16_log15_b5_online_r2_t256,0,"void cuntt::detail::hierarchical_prefix_kernel<cuntt::<unnamed>::LowFftOperator<__half,",640,256,14.08,6.103515625e-05,0.00018310546875,0.0,100.4,30.32,25881.0,25579.0,1341440.0,11141120.0,5242880.0,0.0,,,68.3,33.45,9.87,20.0,1024.0,1.0,10.0,8.0,8.0
crossover_009_not_confirmed_fft_fp16_log15_b5_online_r2_t256,1,"void cuntt::detail::online_reorder_suffix_kernel<cuntt::<unnamed>::LowFftOperator<__half,",1280,256,17.376,0.0,6.103515625e-05,0.0,99.91,23.66,25537.0,23066.0,2252800.0,30476288.0,5242880.0,0.0,,,76.41,47.26,8.65,24.0,512.0,2.0,10.0,16.0,8.0
crossover_009_not_confirmed_fft_fp16_log15_b5_online_r4_t256,0,"void cuntt::detail::hierarchical_prefix_kernel<cuntt::<unnamed>::LowFftOperator<__half,",640,256,14.4,6.103515625e-05,0.00018310546875,0.0,100.45,26.61,22798.0,24674.0,972800.0,5898240.0,5242880.0,0.0,,,69.23,36.11,8.15,31.0,1024.0,1.0,8.0,8.0,8.0
crossover_009_not_confirmed_fft_fp16_log15_b5_online_r4_t256,1,"void cuntt::detail::online_reorder_suffix_kernel<cuntt::<unnamed>::LowFftOperator<__half,",1280,256,17.216,0.0,6.103515625e-05,0.0,100.34,7.07,21278.0,23821.0,1809920.0,23390208.0,5242880.0,0.0,,,77.52,44.07,6.13,32.0,512.0,2.0,8.0,16.0,8.0
crossover_026_confirmed_reversed_structured_2x2_fp32_log15_b8_hier_r4_t256,0,"void cuntt::detail::hierarchical_prefix_kernel<cuntt::<unnamed>::Structured2x2Operator<float>,",1024,256,7.136,0.0,0.010345458984375,0.17,60.5,49.76,36527.0,32768.0,935936.0,8257536.0,4194304.0,0.0,,,72.34,34.62,23.75,27.0,1024.0,1.6,8.0,8.0,8.0
crossover_026_confirmed_reversed_structured_2x2_fp32_log15_b8_hier_r4_t256,1,void cuntt::detail::hierarchical_stage_kernel<cuntt::<unnamed>::Structured2x2Operator<float>>,512,256,3.616,0.0,0.015106201171875,0.49,100.36,19.9,0.0,0.0,294912.0,7077888.0,524288.0,0.0,,,51.07,0.0,18.69,19.0,0.0,0.8,10.0,32.0,8.0
crossover_026_confirmed_reversed_structured_2x2_fp32_log15_b8_hier_r4_t256,2,void cuntt::detail::hierarchical_stage_kernel<cuntt::<unnamed>::Structured2x2Operator<float>>,512,256,3.8080000000000003,6.103515625e-05,0.01678466796875,0.52,100.37,19.9,0.0,0.0,294912.0,7077888.0,524288.0,0.0,,,54.39,0.0,17.29,19.0,0.0,0.8,10.0,32.0,8.0
crossover_026_confirmed_reversed_structured_2x2_fp32_log15_b8_hier_r4_t256,3,void cuntt::detail::hierarchical_stage_kernel<cuntt::<unnamed>::Structured2x2Operator<float>>,512,256,3.712,0.0,0.01641845703125,0.52,100.5,19.9,0.0,0.0,294912.0,7077888.0,524288.0,0.0,,,50.96,0.0,20.06,19.0,0.0,0.8,10.0,32.0,8.0
crossover_026_confirmed_reversed_structured_2x2_fp32_log15_b8_online_r4_t256,0,"void cuntt::detail::hierarchical_prefix_kernel<cuntt::<unnamed>::Structured2x2Operator<float>,",1024,256,16.544,0.0,6.103515625e-05,0.0,91.3,18.66,37236.0,32780.0,960512.0,8519680.0,4194304.0,0.0,,,69.69,31.69,10.31,28.0,1024.0,1.6,8.0,8.0,8.0
crossover_026_confirmed_reversed_structured_2x2_fp32_log15_b8_online_r4_t256,1,"void cuntt::detail::online_reorder_suffix_kernel<cuntt::<unnamed>::Structured2x2Operator<float>,",2048,256,16.608,0.0,6.103515625e-05,0.0,100.25,22.07,37990.0,32881.0,2215936.0,31526400.0,4718592.0,0.0,,,76.78,38.09,5.18,30.0,512.0,3.2,8.0,16.0,8.0
