label,operator,logN,implementation,batch,kernels,time_us,dram_read_mib,dram_write_mib,warp_instructions,fp32_thread_instructions,shared_load_bank_conflicts,shared_store_bank_conflicts,dram_peak_pct,l2_hit_pct,l1_hit_pct,active_warps_pct,barrier_stall_pct,long_scoreboard_stall_pct,registers_per_thread,shared_mem_bytes,total_waves_per_sm,dram_bytes_per_point,profiled_gpoint_s
fft14_cufft_b1024,fft,14,cufft,1024,1,438.944000,128.032471,127.825562,41811968.000000,1018167296.000000,74619.000000,1048644.000000,68.020000,51.650000,2.120000,46.920000,5.950000,15.070000,61.000000,67584.000000,12.800000,15.991127,38.221769
fft14_cufft_b16,fft,14,cufft,16,2,27.872000,3.101624,0.697845,785920.000000,17432576.000000,0.000000,0.000000,15.946785,64.790344,29.292227,12.420000,0.414466,18.791986,64.000000,32768.000000,0.540000,15.197876,9.405281
fft14_cufft_b256,fft,14,cufft,256,1,137.984000,32.019226,31.808014,10452992.000000,254541824.000000,17299.000000,262154.000000,53.990000,51.740000,2.100000,46.480000,5.090000,15.890000,61.000000,67584.000000,3.200000,15.956810,30.397032
fft14_direct_b1024,fft,14,direct,1024,1,413.792000,128.037201,127.885803,38436864.000000,938475520.000000,3847.000000,4194304.000000,72.180000,53.140000,2.250000,47.440000,6.990000,6.520000,63.000000,65536.000000,12.800000,15.995188,40.545047
fft14_direct_b16,fft,14,direct,16,1,24.416000,0.000000,0.000427,600576.000000,14663680.000000,27.000000,65536.000000,0.000000,101.790000,2.190000,48.590000,8.340000,3.470000,63.000000,65536.000000,0.200000,0.001709,10.736566
fft14_direct_b256,fft,14,direct,256,1,129.312000,32.036957,31.511047,9609216.000000,234618880.000000,977.000000,1048576.000000,57.350000,53.210000,2.110000,47.290000,6.180000,7.500000,63.000000,65536.000000,3.200000,15.887001,32.435536
fft18_cufft_b16,fft,18,cufft,16,2,229.696000,64.231995,64.158508,19611648.000000,362807296.000000,0.000000,524288.000000,65.237423,63.093926,19.492536,46.982067,8.306952,26.608579,39.000000,32768.000000,12.800000,32.097626,18.260240
fft18_cufft_b2,fft,18,cufft,2,2,39.520000,8.001465,5.944916,2451456.000000,45350912.000000,0.000000,65536.000000,41.249595,63.184089,18.143036,48.128300,3.543158,31.559190,39.000000,32768.000000,1.600000,27.892761,13.266397
fft18_cufft_b64,fft,18,cufft,64,2,754.496000,256.176025,256.185333,78446592.000000,1451229184.000000,0.000000,2097152.000000,79.251944,63.284765,19.780215,46.872504,9.498500,24.944413,39.000000,32768.000000,51.200000,32.022585,22.236322
fft18_online_b16,fft,18,online,16,2,221.504000,64.604675,64.965088,31342592.000000,321912832.000000,1199959.000000,3777939.000000,68.299073,66.944080,5.751872,58.728136,12.297746,33.284701,48.000000,16384.000000,10.240000,32.392441,18.935568
fft18_online_b2,fft,18,online,2,2,41.568000,8.226013,8.475647,3917824.000000,40239104.000000,168970.000000,458752.000000,46.929330,66.724573,6.186490,37.716467,7.139400,38.024665,48.000000,16384.000000,1.280000,33.403320,12.612779
