label,kernel_id,kernel_name,grid_size,block_size,time_us,dram_read_mib,dram_write_mib,dram_peak_pct,l2_hit_pct,l1_hit_pct,shared_load_bank_conflicts,shared_store_bank_conflicts,warp_instructions,integer_thread_instructions,fp32_thread_instructions,fp64_thread_instructions,tensor_warp_instructions,tensor_active_pct,active_warps_pct,barrier_stall_pct,long_scoreboard_stall_pct,registers_per_thread,shared_mem_bytes,waves_per_sm,occupancy_register_block_limit,occupancy_shared_block_limit,occupancy_warp_block_limit
fft14_cufft_b1024,0,void vector_fft<,1024,1024,438.944,128.032470703125,127.8255615234375,68.02,51.65,2.12,74619.0,1048644.0,41811968.0,,1018167296.0,,,,46.92,5.95,15.07,61.0,67584.0,12.8,1.0,1.0,2.0
fft14_cufft_b16,0,void regular_fft<,64,256,14.432,1.773193359375,0.365234375,17.35,53.69,0.63,0.0,0.0,445952.0,,9945088.0,,,,12.42,0.4,21.42,64.0,32768.0,0.27,4.0,3.0,8.0
fft14_cufft_b16,1,void regular_fft<,64,256,13.44,1.32843017578125,0.332611083984375,14.44,76.71,60.07,0.0,0.0,339968.0,,7487488.0,,,,12.42,0.43,15.97,64.0,32768.0,0.27,4.0,3.0,8.0
fft14_cufft_b256,0,void vector_fft<,256,1024,137.984,32.01922607421875,31.808013916015625,53.99,51.74,2.1,17299.0,262154.0,10452992.0,,254541824.0,,,,46.48,5.09,15.89,61.0,67584.0,3.2,1.0,1.0,2.0
fft14_direct_b1024,0,"void cuntt::detail::<unnamed>::cufftdx_contiguous_block_kernel<cufftdx::detail::fft_block_execution<cufftdx::Block, cufftdx::Size<",1024,1024,413.79200000000003,128.03720092773438,127.88580322265625,72.18,53.14,2.25,3847.0,4194304.0,38436864.0,,938475520.0,,,,47.44,6.99,6.52,63.0,65536.0,12.8,1.0,1.0,2.0
fft14_direct_b16,0,"void cuntt::detail::<unnamed>::cufftdx_contiguous_block_kernel<cufftdx::detail::fft_block_execution<cufftdx::Block, cufftdx::Size<",16,1024,24.416,0.0,0.00042724609375,0.0,101.79,2.19,27.0,65536.0,600576.0,,14663680.0,,,,48.59,8.34,3.47,63.0,65536.0,0.2,1.0,1.0,2.0
fft14_direct_b256,0,"void cuntt::detail::<unnamed>::cufftdx_contiguous_block_kernel<cufftdx::detail::fft_block_execution<cufftdx::Block, cufftdx::Size<",256,1024,129.312,32.036956787109375,31.51104736328125,57.35,53.21,2.11,977.0,1048576.0,9609216.0,,234618880.0,,,,47.29,6.18,7.5,63.0,65536.0,3.2,1.0,1.0,2.0
fft18_cufft_b16,0,void regular_fft<,512,1024,109.568,32.00079345703125,31.973052978515625,68.14,50.15,2.94,0.0,262144.0,10911744.0,,203948032.0,,,,46.48,7.58,31.76,39.0,32768.0,6.4,1.0,1.0,2.0
fft18_cufft_b16,1,void regular_fft<,512,1024,120.128,32.231201171875,32.185455322265625,62.59,74.9,34.59,0.0,262144.0,8699904.0,,158859264.0,,,,47.44,8.97,21.91,39.0,32768.0,6.4,1.0,1.0,2.0
fft18_cufft_b2,0,void regular_fft<,64,1024,20.16,4.000732421875,2.90185546875,40.02,51.04,2.56,0.0,32768.0,1363968.0,,25493504.0,,,,48.53,2.97,36.36,39.0,32768.0,0.8,1.0,1.0,2.0
fft18_cufft_b2,1,void regular_fft<,64,1024,19.36,4.000732421875,3.043060302734375,42.53,75.83,34.37,0.0,32768.0,1087488.0,,19857408.0,,,,47.71,4.14,26.56,39.0,32768.0,0.8,1.0,1.0,2.0
fft18_cufft_b64,0,void regular_fft<,2048,1024,354.112,128.00079345703125,128.1094970703125,84.41,50.05,2.99,0.0,1048576.0,43646976.0,,815792128.0,,,,46.31,8.14,27.81,39.0,32768.0,25.6,1.0,1.0,2.0
fft18_cufft_b64,1,void regular_fft<,2048,1024,400.384,128.17523193359375,128.07583618164062,74.69,74.99,34.63,0.0,1048576.0,34799616.0,,635437056.0,,,,47.37,10.7,22.41,39.0,32768.0,25.6,1.0,1.0,2.0
fft18_online_b16,0,"void cuntt::detail::<unnamed>::cufftdx_online_first_kernel<cufftdx::detail::fft_block_execution<cufftdx::Block, cufftdx::Size<",2048,256,124.608,32.60400390625,32.296844482421875,60.81,79.7,5.73,1000918.0,1902870.0,17727488.0,,172490752.0,,,,58.82,9.24,46.01,48.0,16384.0,5.12,5.0,6.0,8.0
fft18_online_b16,1,"void cuntt::detail::<unnamed>::cufftdx_online_second_kernel<cufftdx::detail::fft_block_execution<cufftdx::Block, cufftdx::Size<",2048,256,96.896,32.00067138671875,32.668243408203125,77.93,50.54,5.78,199041.0,1875069.0,13615104.0,,149422080.0,,,,58.61,16.23,16.92,48.0,16384.0,5.12,5.0,6.0,8.0
fft18_online_b2,0,"void cuntt::detail::<unnamed>::cufftdx_online_first_kernel<cufftdx::detail::fft_block_execution<cufftdx::Block, cufftdx::Size<",256,256,23.232,4.22528076171875,4.250579833984375,42.58,79.23,6.31,129211.0,229376.0,2215936.0,,21561344.0,,,,37.69,7.06,47.31,48.0,16384.0,0.64,5.0,6.0,8.0
fft18_online_b2,1,"void cuntt::detail::<unnamed>::cufftdx_online_second_kernel<cufftdx::detail::fft_block_execution<cufftdx::Block, cufftdx::Size<",256,256,18.336000000000002,4.000732421875,4.225067138671875,52.44,50.88,6.03,39759.0,229376.0,1701888.0,,18677760.0,,,,37.75,7.24,26.26,48.0,16384.0,0.64,5.0,6.0,8.0
