label,kernel_id,kernel_name,grid_size,block_size,time_us,dram_read_mib,dram_write_mib,dram_peak_pct,l2_hit_pct,l1_hit_pct,shared_load_bank_conflicts,shared_store_bank_conflicts,warp_instructions,integer_thread_instructions,fp32_thread_instructions,fp64_thread_instructions,tensor_warp_instructions,tensor_active_pct,active_warps_pct,barrier_stall_pct,long_scoreboard_stall_pct,registers_per_thread,shared_mem_bytes,waves_per_sm,occupancy_register_block_limit,occupancy_shared_block_limit,occupancy_warp_block_limit
fwht12_hierarchical_r8,0,"void cuntt::detail::hierarchical_prefix_kernel<cuntt::<unnamed>::FwhtOperator<float>,",4096,256,55.264,16.0001220703125,16.162322998046875,67.96,50.07,0.0,626299.0,535450.0,7815168.0,,41943040.0,0.0,,,92.56,15.21,53.09,23.0,4096.0,6.4,10.0,8.0,8.0
fwht12_hierarchical_r8,1,void cuntt::detail::hierarchical_stage_kernel<cuntt::<unnamed>::FwhtOperator<float>>,8192,256,43.712,16.0001220703125,16.1593017578125,85.9,50.04,0.0,0.0,0.0,4325376.0,,4194304.0,0.0,,,90.28,0.0,84.3,21.0,0.0,12.8,10.0,32.0,8.0
fwht12_hierarchical_r8,2,void cuntt::detail::hierarchical_stage_kernel<cuntt::<unnamed>::FwhtOperator<float>>,8192,256,44.0,16.0001220703125,16.089111328125,85.22,50.04,0.0,0.0,0.0,4784128.0,,4194304.0,0.0,,,89.92,0.0,82.55,21.0,0.0,12.8,10.0,32.0,8.0
fwht12_warp_register,0,void cuntt::detail::register_fwht_kernel<,1024,256,46.464,16.0001220703125,15.7264404296875,79.76,50.14,0.0,6169.0,4439.0,3358720.0,,55836672.0,0.0,,,65.81,7.91,21.62,32.0,16384.0,2.13,8.0,6.0,8.0
fwht20_online_r8,0,"void cuntt::detail::hierarchical_prefix_kernel<cuntt::<unnamed>::FwhtOperator<float>,",4096,256,187.488,16.0001220703125,16.675750732421875,20.34,88.9,0.02,676039.0,525782.0,8339456.0,,41943040.0,0.0,,,91.4,14.08,13.78,27.0,4096.0,6.4,8.0,8.0,8.0
fwht20_online_r8,1,"void cuntt::detail::online_reorder_suffix_kernel<cuntt::<unnamed>::FwhtOperator<float>,",4096,256,187.936,16.0001220703125,16.635528564453125,20.27,88.91,0.05,682691.0,525708.0,11288576.0,,44040192.0,0.0,,,91.43,13.13,13.34,30.0,4096.0,6.4,8.0,8.0,8.0
fwht8_temporal_r4,0,"void cuntt::detail::temporal_tile_radix4_kernel<cuntt::<unnamed>::FwhtOperator<float>,",16384,128,49.696,16.0001220703125,16.228759765625,75.77,50.06,0.0,613459.0,544287.0,8945664.0,,33554432.0,0.0,,,91.38,18.37,48.69,16.0,1024.0,12.8,32.0,16.0,16.0
structured12_hierarchical_r8,0,"void cuntt::detail::hierarchical_prefix_kernel<cuntt::<unnamed>::Structured2x2Operator<float>,",4096,256,59.776,16.000579833984375,16.230682373046875,62.91,50.12,40.72,599249.0,537215.0,9912320.0,,83886080.0,0.0,,,70.7,18.01,49.8,39.0,4096.0,8.53,6.0,8.0,8.0
structured12_hierarchical_r8,1,void cuntt::detail::hierarchical_stage_kernel<cuntt::<unnamed>::Structured2x2Operator<float>>,8192,256,43.616,16.000213623046875,16.0985107421875,85.95,50.04,19.99,0.0,0.0,4718592.0,,8388608.0,0.0,,,90.64,0.0,83.88,19.0,0.0,12.8,10.0,32.0,8.0
structured12_hierarchical_r8,2,void cuntt::detail::hierarchical_stage_kernel<cuntt::<unnamed>::Structured2x2Operator<float>>,8192,256,43.808,16.000152587890625,16.127197265625,85.67,50.04,19.99,0.0,0.0,4718592.0,,8388608.0,0.0,,,90.58,0.0,83.95,19.0,0.0,12.8,10.0,32.0,8.0
structured20_online_r8,0,"void cuntt::detail::hierarchical_prefix_kernel<cuntt::<unnamed>::Structured2x2Operator<float>,",4096,256,189.504,16.000396728515625,16.58099365234375,20.07,88.91,13.26,654409.0,525113.0,10141696.0,,83886080.0,0.0,,,69.69,17.64,14.76,40.0,4096.0,8.53,6.0,8.0,8.0
structured20_online_r8,1,"void cuntt::detail::online_reorder_suffix_kernel<cuntt::<unnamed>::Structured2x2Operator<float>,",4096,256,191.04,16.000274658203125,16.599334716796875,19.92,88.91,13.26,679989.0,525393.0,13402112.0,,85983232.0,0.0,,,69.61,17.01,14.49,40.0,4096.0,8.53,6.0,8.0,8.0
structured8_temporal_r4,0,"void cuntt::detail::temporal_tile_radix4_kernel<cuntt::<unnamed>::Structured2x2Operator<float>,",16384,128,52.672000000000004,16.0003662109375,16.256561279296875,71.48,50.09,49.98,592480.0,547101.0,10846208.0,,67108864.0,0.0,,,91.69,23.88,41.4,28.0,1024.0,12.8,16.0,16.0,16.0
