label,kernel_id,kernel_name,grid_size,block_size,time_us,dram_read_mib,dram_write_mib,dram_peak_pct,l2_hit_pct,l1_hit_pct,shared_load_bank_conflicts,shared_store_bank_conflicts,warp_instructions,integer_thread_instructions,fp32_thread_instructions,fp64_thread_instructions,tensor_warp_instructions,tensor_active_pct,active_warps_pct,barrier_stall_pct,long_scoreboard_stall_pct,registers_per_thread,shared_mem_bytes,waves_per_sm,occupancy_register_block_limit,occupancy_shared_block_limit,occupancy_warp_block_limit
fwht12_hierarchical_r8,0,"void cuntt::detail::hierarchical_prefix_kernel<cuntt::<unnamed>::FwhtOperator<float>,",4096,256,55.136,16.0001220703125,16.123291015625,68.05,50.07,0.0,625983.0,535757.0,7815168.0,,41943040.0,0.0,,,92.96,15.23,53.05,23.0,4096.0,6.4,10.0,8.0,8.0
fwht12_hierarchical_r8,1,void cuntt::detail::hierarchical_stage_kernel<cuntt::<unnamed>::FwhtOperator<float>>,8192,256,43.84,16.0001220703125,16.10626220703125,85.55,50.04,0.0,0.0,0.0,4325376.0,,4194304.0,0.0,,,89.95,0.0,84.62,21.0,0.0,12.8,10.0,32.0,8.0
fwht12_hierarchical_r8,2,void cuntt::detail::hierarchical_stage_kernel<cuntt::<unnamed>::FwhtOperator<float>>,8192,256,43.776,16.0001220703125,16.12890625,85.68,50.04,0.0,0.0,0.0,4784128.0,,4194304.0,0.0,,,90.21,0.0,82.43,21.0,0.0,12.8,10.0,32.0,8.0
fwht12_warp_register,0,void cuntt::detail::register_fwht_kernel<,1024,256,46.112,16.0001220703125,15.682861328125,80.27,50.14,0.0,6048.0,5627.0,3358720.0,,55836672.0,0.0,,,66.0,8.89,21.64,32.0,16384.0,2.13,8.0,6.0,8.0
fwht20_online_r8,0,"void cuntt::detail::hierarchical_prefix_kernel<cuntt::<unnamed>::FwhtOperator<float>,",4096,256,187.328,16.0001220703125,16.619232177734375,20.32,88.9,0.01,673135.0,525654.0,8339456.0,,41943040.0,0.0,,,91.46,14.13,13.65,27.0,4096.0,6.4,8.0,8.0,8.0
fwht20_online_r8,1,"void cuntt::detail::online_reorder_suffix_kernel<cuntt::<unnamed>::FwhtOperator<float>,",4096,256,187.424,16.0003662109375,16.61529541015625,20.31,88.91,0.04,681870.0,525666.0,11288576.0,,44040192.0,0.0,,,91.42,13.05,13.33,30.0,4096.0,6.4,8.0,8.0,8.0
fwht8_temporal_r4,0,"void cuntt::detail::temporal_tile_radix4_kernel<cuntt::<unnamed>::FwhtOperator<float>,",16384,128,49.28,16.0001220703125,16.228057861328125,76.39,50.06,0.0,613477.0,544399.0,8945664.0,,33554432.0,0.0,,,90.82,18.16,48.55,16.0,1024.0,12.8,32.0,16.0,16.0
structured12_hierarchical_r8,0,"void cuntt::detail::hierarchical_prefix_kernel<cuntt::<unnamed>::Structured2x2Operator<float>,",4096,256,59.712,16.000640869140625,16.246429443359375,63.07,50.12,40.72,599420.0,537363.0,9912320.0,,83886080.0,0.0,,,70.94,18.07,49.85,39.0,4096.0,8.53,6.0,8.0,8.0
structured12_hierarchical_r8,1,void cuntt::detail::hierarchical_stage_kernel<cuntt::<unnamed>::Structured2x2Operator<float>>,8192,256,43.616,16.000152587890625,16.0904541015625,85.86,50.04,19.99,0.0,0.0,4718592.0,,8388608.0,0.0,,,90.12,0.0,84.0,19.0,0.0,12.8,10.0,32.0,8.0
structured12_hierarchical_r8,2,void cuntt::detail::hierarchical_stage_kernel<cuntt::<unnamed>::Structured2x2Operator<float>>,8192,256,43.872,16.000152587890625,16.1142578125,85.5,50.04,19.99,0.0,0.0,4718592.0,,8388608.0,0.0,,,90.46,0.0,83.99,19.0,0.0,12.8,10.0,32.0,8.0
structured12_warp_register_broadcast,0,void cuntt::detail::register_structured_kernel<,1024,256,52.992000000000004,16.000244140625,15.878021240234375,70.28,50.25,0.75,1679.0,5127.0,6873088.0,,100663296.0,0.0,,,65.47,5.78,19.2,40.0,16384.0,2.13,6.0,6.0,8.0
structured12_warp_register_per_stage,0,void cuntt::detail::register_structured_kernel<,1024,256,56.544000000000004,16.00030517578125,16.061248779296875,66.19,50.33,8.39,2926.0,5107.0,6963200.0,,100663296.0,0.0,,,56.07,5.49,25.52,43.0,16384.0,2.56,5.0,6.0,8.0
structured20_online_r8,0,"void cuntt::detail::hierarchical_prefix_kernel<cuntt::<unnamed>::Structured2x2Operator<float>,",4096,256,189.76,16.000335693359375,16.49737548828125,19.99,88.91,13.27,654680.0,525080.0,10141696.0,,83886080.0,0.0,,,69.63,17.54,14.73,40.0,4096.0,8.53,6.0,8.0,8.0
structured20_online_r8,1,"void cuntt::detail::online_reorder_suffix_kernel<cuntt::<unnamed>::Structured2x2Operator<float>,",4096,256,191.616,16.000396728515625,16.60906982421875,19.86,88.91,13.26,672447.0,525443.0,13402112.0,,85983232.0,0.0,,,69.64,17.0,14.56,40.0,4096.0,8.53,6.0,8.0,8.0
structured8_temporal_r4,0,"void cuntt::detail::temporal_tile_radix4_kernel<cuntt::<unnamed>::Structured2x2Operator<float>,",16384,128,52.160000000000004,16.0003662109375,16.168792724609375,72.01,50.09,49.98,592538.0,547156.0,10846208.0,,67108864.0,0.0,,,91.51,23.91,41.05,28.0,1024.0,12.8,16.0,16.0,16.0
