label,kernel_id,kernel_name,grid_size,block_size,time_us,dram_read_mib,dram_write_mib,dram_peak_pct,l2_hit_pct,l1_hit_pct,shared_load_bank_conflicts,shared_store_bank_conflicts,warp_instructions,integer_thread_instructions,fp32_thread_instructions,fp64_thread_instructions,tensor_warp_instructions,tensor_active_pct,active_warps_pct,barrier_stall_pct,long_scoreboard_stall_pct,registers_per_thread,shared_mem_bytes,waves_per_sm,occupancy_register_block_limit,occupancy_shared_block_limit,occupancy_warp_block_limit
fwht12_hierarchical_r8,0,"void cuntt::detail::hierarchical_prefix_kernel<cuntt::<unnamed>::FwhtOperator<float>,",4096,256,55.296,16.0001220703125,16.070281982421875,67.78,50.07,0.0,626170.0,535562.0,7815168.0,,41943040.0,0.0,,,92.42,15.43,52.67,23.0,4096.0,6.4,10.0,8.0,8.0
fwht12_hierarchical_r8,1,void cuntt::detail::hierarchical_stage_kernel<cuntt::<unnamed>::FwhtOperator<float>>,8192,256,43.424,16.0001220703125,16.132965087890625,86.41,50.04,0.0,0.0,0.0,4325376.0,,4194304.0,0.0,,,90.35,0.0,84.59,21.0,0.0,12.8,10.0,32.0,8.0
fwht12_hierarchical_r8,2,void cuntt::detail::hierarchical_stage_kernel<cuntt::<unnamed>::FwhtOperator<float>>,8192,256,43.936,16.0001220703125,16.128631591796875,85.39,50.04,0.0,0.0,0.0,4784128.0,,4194304.0,0.0,,,90.33,0.0,81.97,21.0,0.0,12.8,10.0,32.0,8.0
fwht12_warp_register,0,void cuntt::detail::register_fwht_kernel<,1024,256,46.88,16.0001220703125,15.691650390625,78.95,50.14,0.0,6343.0,4778.0,3358720.0,,55836672.0,0.0,,,66.25,7.89,21.85,32.0,16384.0,2.13,8.0,6.0,8.0
fwht20_online_r8,0,"void cuntt::detail::hierarchical_prefix_kernel<cuntt::<unnamed>::FwhtOperator<float>,",4096,256,187.04,16.0001220703125,16.6314697265625,20.36,88.9,0.01,675017.0,525741.0,8339456.0,,41943040.0,0.0,,,91.37,14.08,13.67,27.0,4096.0,6.4,8.0,8.0,8.0
fwht20_online_r8,1,"void cuntt::detail::online_reorder_suffix_kernel<cuntt::<unnamed>::FwhtOperator<float>,",4096,256,187.68,16.0001220703125,16.61981201171875,20.29,88.91,0.03,685414.0,526061.0,11288576.0,,44040192.0,0.0,,,91.47,13.09,13.3,30.0,4096.0,6.4,8.0,8.0,8.0
fwht8_temporal_r4,0,"void cuntt::detail::temporal_tile_radix4_kernel<cuntt::<unnamed>::FwhtOperator<float>,",16384,128,49.408,16.0001220703125,16.177215576171875,76.02,50.06,0.0,613191.0,544164.0,8945664.0,,33554432.0,0.0,,,91.48,18.45,48.53,16.0,1024.0,12.8,32.0,16.0,16.0
structured12_hierarchical_r8,0,"void cuntt::detail::hierarchical_prefix_kernel<cuntt::<unnamed>::Structured2x2Operator<float>,",4096,256,59.776,16.000579833984375,16.215301513671875,62.9,50.12,40.72,598799.0,537103.0,9912320.0,,83886080.0,0.0,,,70.64,18.01,49.93,39.0,4096.0,8.53,6.0,8.0,8.0
structured12_hierarchical_r8,1,void cuntt::detail::hierarchical_stage_kernel<cuntt::<unnamed>::Structured2x2Operator<float>>,8192,256,43.488,16.000152587890625,16.0811767578125,86.05,50.04,19.99,0.0,0.0,4718592.0,,8388608.0,0.0,,,90.25,0.0,83.74,19.0,0.0,12.8,10.0,32.0,8.0
structured12_hierarchical_r8,2,void cuntt::detail::hierarchical_stage_kernel<cuntt::<unnamed>::Structured2x2Operator<float>>,8192,256,43.84,16.000274658203125,16.188140869140625,85.8,50.04,19.99,0.0,0.0,4718592.0,,8388608.0,0.0,,,90.7,0.0,84.1,19.0,0.0,12.8,10.0,32.0,8.0
structured12_warp_register,0,void cuntt::detail::register_structured_kernel<,1024,256,55.648,16.0003662109375,15.998748779296875,67.15,50.33,8.38,2282.0,4252.0,6963200.0,,100663296.0,0.0,,,56.12,6.18,26.2,43.0,16384.0,2.56,5.0,6.0,8.0
structured20_online_r8,0,"void cuntt::detail::hierarchical_prefix_kernel<cuntt::<unnamed>::Structured2x2Operator<float>,",4096,256,188.89600000000002,16.000274658203125,16.51959228515625,20.09,88.91,13.28,658963.0,525101.0,10141696.0,,83886080.0,0.0,,,69.71,17.65,14.74,40.0,4096.0,8.53,6.0,8.0,8.0
structured20_online_r8,1,"void cuntt::detail::online_reorder_suffix_kernel<cuntt::<unnamed>::Structured2x2Operator<float>,",4096,256,191.52,16.000274658203125,16.571258544921875,19.85,88.91,13.26,667018.0,525301.0,13402112.0,,85983232.0,0.0,,,69.83,17.01,14.28,40.0,4096.0,8.53,6.0,8.0,8.0
structured8_temporal_r4,0,"void cuntt::detail::temporal_tile_radix4_kernel<cuntt::<unnamed>::Structured2x2Operator<float>,",16384,128,52.224000000000004,16.00030517578125,16.218475341796875,72.05,50.09,49.98,592526.0,547079.0,10846208.0,,67108864.0,0.0,,,91.82,23.95,41.03,28.0,1024.0,12.8,16.0,16.0,16.0
