opcode,v0.6,v0.7 d6
ATOM,4416.0,4256.0
ATOMG,640.0,640.0
BAR,496640.0,510464.0
BMOV,627851.0,4953088.0
BRA,5859407.0,10681502.0
BREV,1048576.0,1048576.0
BSSY,627851.0,4953088.0
BSYNC,668994.0,9614818.0
CALL,57622.0,3214.0
CCTL,63017.0,801780.0
CS2R,640.0,524928.0
ERRBAR,4736.0,4416.0
EXIT,2880.0,1600.0
F2I,0.0,1280.0
FLO,4416.0,160.0
I2F,0.0,1280.0
IADD3,21635020.0,15399383.0
IMAD,67748912.0,71873788.0
ISETP,20951045.0,30200866.0
LD,629633.0,801950.0
LDC,1155664.0,1674251.0
LDG,8912896.0,8650752.0
LDL,0.0,797524.0
LDS,6291456.0,4194304.0
LEA,5521410.0,4210690.0
LOP3,4469353.0,5181858.0
MEMBAR,8832.0,4416.0
MOV,57622.0,1088103.0
MUFU,0.0,1280.0
NANOSLEEP,592026.0,797524.0
NOP,1687627.0,1307988.0
P2R,0.0,591104.0
PLOP3,0.0,327680.0
POPC,4736.0,320.0
PRMT,2560.0,1280.0
RET,28811.0,1607.0
S2R,15616.0,5760.0
SEL,15734401.0,28937185.0
SHF,10277888.0,6734080.0
SHFL,1017356.0,22506654.0
ST,4096.0,0.0
STG,1048578.0,1048578.0
STL,8192.0,8192.0
STS,6324224.0,3407872.0
VOTE,1131692.0,1753614.0
WARPSYNC,93270.0,135716.0
YIELD,1155664.0,1674251.0
