implementation,category,address,file,line,theoretical_sectors,theoretical_ideal,theoretical_excessive,l1_tag_requests,instructions,stall_long_scoreboard,source,sass
v06,v0.6 coefficients,0x771c2d25d590,/home/wt/git/Hermes/cuNTT-v05/src/hybrid_dataflow.cuh,463,1966080.0,1736704.0,229376.0,983040.0,655360.0,0.0,"op.apply_coefficient(fused_twiddles[index], fused_twiddles_shoup[index], left, right);","LDG.E.SYS R28, [R18]"
v06,v0.6 coefficients,0x771c2d25d5a0,/home/wt/git/Hermes/cuNTT-v05/src/hybrid_dataflow.cuh,463,1966080.0,1736704.0,229376.0,983040.0,655360.0,0.0,"op.apply_coefficient(fused_twiddles[index], fused_twiddles_shoup[index], left, right);","LDG.E.SYS R26, [R16]"
v06,v0.6 coefficients,0x771c2d25d690,/home/wt/git/Hermes/cuNTT-v05/src/hybrid_dataflow.cuh,463,1966080.0,1736704.0,229376.0,983040.0,655360.0,0.0,"op.apply_coefficient(fused_twiddles[index], fused_twiddles_shoup[index], left, right);","LDG.E.SYS R31, [R14]"
v06,v0.6 coefficients,0x771c2d25d6d0,/home/wt/git/Hermes/cuNTT-v05/src/hybrid_dataflow.cuh,463,1966080.0,1736704.0,229376.0,983040.0,655360.0,0.0,"op.apply_coefficient(fused_twiddles[index], fused_twiddles_shoup[index], left, right);","LDG.E.SYS R16, [R16]"
v06,v0.6 coefficients,0x771c2d25d6f0,/home/wt/git/Hermes/cuNTT-v05/src/hybrid_dataflow.cuh,463,1966080.0,1736704.0,229376.0,983040.0,655360.0,0.0,"op.apply_coefficient(fused_twiddles[index], fused_twiddles_shoup[index], left, right);","LDG.E.SYS R18, [R18]"
v06,v0.6 coefficients,0x771c2d25d700,/home/wt/git/Hermes/cuNTT-v05/src/hybrid_dataflow.cuh,463,1966080.0,1736704.0,229376.0,983040.0,655360.0,0.0,"op.apply_coefficient(fused_twiddles[index], fused_twiddles_shoup[index], left, right);","LDG.E.SYS R20, [R20]"
v06,v0.6 coefficients,0x771c2d25c180,/home/wt/git/Hermes/cuNTT-v05/src/ntt.cu,213,2097152.0,1835008.0,262144.0,1048576.0,655360.0,0.0,"const Value v = mul_shoup(right, twiddles[twiddle_base + offset], twiddles_shoup[twiddle_base + offset], modulus);","LDG.E.SYS R22, [R22]"
v06,v0.6 coefficients,0x771c2d25c1a0,/home/wt/git/Hermes/cuNTT-v05/src/ntt.cu,213,1966080.0,1703936.0,262144.0,917504.0,655360.0,0.0,"const Value v = mul_shoup(right, twiddles[twiddle_base + offset], twiddles_shoup[twiddle_base + offset], modulus);","LDG.E.SYS R14, [R14]"
v06,v0.6 coefficients,0x771c2d25c1c0,/home/wt/git/Hermes/cuNTT-v05/src/ntt.cu,213,2097152.0,1835008.0,262144.0,1048576.0,655360.0,0.0,"const Value v = mul_shoup(right, twiddles[twiddle_base + offset], twiddles_shoup[twiddle_base + offset], modulus);","LDG.E.SYS R26, [R2]"
v06,v0.6 coefficients,0x771c2d25c1d0,/home/wt/git/Hermes/cuNTT-v05/src/ntt.cu,213,1966080.0,1703936.0,262144.0,917504.0,655360.0,0.0,"const Value v = mul_shoup(right, twiddles[twiddle_base + offset], twiddles_shoup[twiddle_base + offset], modulus);","LDG.E.SYS R27, [R6]"
