"File Path","/home/wt/git/Hermes/cuNTT-v05/src/hybrid_dataflow.cuh"
"Function Name","void cuntt::<unnamed>::hierarchical_streaming_10x10_kernel<unsigned int, (unsigned int)4>(const T1 *, T1 *, T1 *, unsigned int *, unsigned long, const T1 *, const T1 *, unsigned long long *, unsigned int, cuntt::<unnamed>::NttStageOperatorT<T1>)"
"Line No","Source","Address","Source","Warp Stall Sampling (All Cycles)","Warp Stall Sampling (Not-issued Cycles)","Instructions Executed","Thread Instructions Executed","Predicated-On Thread Instructions Executed","Avg. Threads Executed","Avg. Predicated-On Threads Executed","Divergent Branches","Address Space","Access Operation","Access Size","L1 Tag Requests Global","L1 Wavefronts Shared Excessive","L1 Wavefronts Shared","L1 Wavefronts Shared Ideal","L2 Theoretical Sectors Global Excessive","L2 Theoretical Sectors Global","L2 Theoretical Sectors Global Ideal","L2 Theoretical Sectors Local","stall_barrier","stall_dispatch","stall_drain","stall_imc","stall_lg","stall_long_sb","stall_math","stall_membar","stall_mio","stall_misc","stall_no_inst","stall_not_selected","stall_selected","stall_short_sb","stall_sleep","stall_tex","stall_wait","stall_barrier (Not Issued)","stall_dispatch (Not Issued)","stall_drain (Not Issued)","stall_imc (Not Issued)","stall_lg (Not Issued)","stall_long_sb (Not Issued)","stall_math (Not Issued)","stall_membar (Not Issued)","stall_mio (Not Issued)","stall_misc (Not Issued)","stall_no_inst (Not Issued)","stall_not_selected (Not Issued)","stall_selected (Not Issued)","stall_short_sb (Not Issued)","stall_sleeping (Not Issued)","stall_tex (Not Issued)","stall_wait (Not Issued)","smsp__pcsamp_sample_count"
"461","const std::uint64_t index = static_cast<std::uint64_t>(row_base + row) * (local_n - 1) +","-","-","561","100","5898240","188743680","188743680","288","288","0","-","-","-","0","0","0","0","0","0","0","0","0","24","0","0","0","0","103","0","0","0","0","135","91","0","0","0","208","0","2","0","0","0","0","24","0","0","0","0","0","0","0","0","0","74","561"
"","","0x771c2d25d4d0","     IMAD.IADD R21, R13, 0x1, R30 ","79","13","655360","20971520","20971520","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","3","0","0","0","0","17","0","0","0","0","27","13","0","0","0","19","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","9","79"
"","","...","...","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"","","0x771c2d25d4f0","     IMAD.WIDE.U32 R14, R21, 0x3ff, R6 ","49","9","655360","20971520","20971520","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","1","0","0","0","0","6","0","0","0","0","11","8","0","0","0","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","49"
"","","...","...","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"","","0x771c2d25d510","     IADD3 R14, P0, R27, R14, RZ ","157","24","655360","20971520","20971520","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","5","0","0","0","0","33","0","0","0","0","45","11","0","0","0","63","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","13","157"
"","","0x771c2d25d520","     IMAD.X R15, RZ, RZ, R15, P0 ","86","21","655360","20971520","20971520","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","0","0","0","0","21","5","0","0","0","46","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21","86"
"","","...","...","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"","","0x771c2d25d5b0","     IMAD.WIDE.U32 R14, R21, 0x3ff, R2 ","14","0","655360","20971520","20971520","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14"
"","","...","...","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
