Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MBps),SrcMemKd,DstMemKd,Device,Ctx,Strm,Name
414993936,1343735,109,None,None,None,None,None,None,None,None,None,8.389,6241.118,Pageable,Device,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy HtoD]
526204047,5370747,113,None,None,None,None,None,None,None,None,None,33.554,6241.124,Pageable,Device,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy HtoD]
534568757,307390,119,4096,1,1,256,1,1,30,0.000,0.008,None,,None,None,Tesla V100-SXM2-16GB (0),1,7,"void cuntt::detail::hierarchical_prefix_kernel<cuntt::<unnamed>::FftOperator<cuntt::Complex32, float>, (unsigned int)10, (bool)1>(const T1::Value *, T1::Value *, unsigned long, unsigned int, unsigned long, unsigned long, T1)"
534880979,84384,121,8192,1,1,256,1,1,23,0.000,0.000,None,,None,None,Tesla V100-SXM2-16GB (0),1,7,"void cuntt::detail::hierarchical_stage_kernel<cuntt::<unnamed>::FftOperator<cuntt::Complex32, float>>(const T1::Value *, T1::Value *, unsigned long, unsigned int, unsigned int, unsigned long, unsigned long, bool, T1)"
534966163,85695,123,8192,1,1,256,1,1,23,0.000,0.000,None,,None,None,Tesla V100-SXM2-16GB (0),1,7,"void cuntt::detail::hierarchical_stage_kernel<cuntt::<unnamed>::FftOperator<cuntt::Complex32, float>>(const T1::Value *, T1::Value *, unsigned long, unsigned int, unsigned int, unsigned long, unsigned long, bool, T1)"
535052530,84384,125,8192,1,1,256,1,1,23,0.000,0.000,None,,None,None,Tesla V100-SXM2-16GB (0),1,7,"void cuntt::detail::hierarchical_stage_kernel<cuntt::<unnamed>::FftOperator<cuntt::Complex32, float>>(const T1::Value *, T1::Value *, unsigned long, unsigned int, unsigned int, unsigned long, unsigned long, bool, T1)"
535137714,84319,127,8192,1,1,256,1,1,23,0.000,0.000,None,,None,None,Tesla V100-SXM2-16GB (0),1,7,"void cuntt::detail::hierarchical_stage_kernel<cuntt::<unnamed>::FftOperator<cuntt::Complex32, float>>(const T1::Value *, T1::Value *, unsigned long, unsigned int, unsigned int, unsigned long, unsigned long, bool, T1)"
535222769,84255,129,8192,1,1,256,1,1,23,0.000,0.000,None,,None,None,Tesla V100-SXM2-16GB (0),1,7,"void cuntt::detail::hierarchical_stage_kernel<cuntt::<unnamed>::FftOperator<cuntt::Complex32, float>>(const T1::Value *, T1::Value *, unsigned long, unsigned int, unsigned int, unsigned long, unsigned long, bool, T1)"
535307664,84576,131,8192,1,1,256,1,1,23,0.000,0.000,None,,None,None,Tesla V100-SXM2-16GB (0),1,7,"void cuntt::detail::hierarchical_stage_kernel<cuntt::<unnamed>::FftOperator<cuntt::Complex32, float>>(const T1::Value *, T1::Value *, unsigned long, unsigned int, unsigned int, unsigned long, unsigned long, bool, T1)"
535392944,87551,133,8192,1,1,256,1,1,23,0.000,0.000,None,,None,None,Tesla V100-SXM2-16GB (0),1,7,"void cuntt::detail::hierarchical_stage_kernel<cuntt::<unnamed>::FftOperator<cuntt::Complex32, float>>(const T1::Value *, T1::Value *, unsigned long, unsigned int, unsigned int, unsigned long, unsigned long, bool, T1)"
535481263,95199,135,8192,1,1,256,1,1,23,0.000,0.000,None,,None,None,Tesla V100-SXM2-16GB (0),1,7,"void cuntt::detail::hierarchical_stage_kernel<cuntt::<unnamed>::FftOperator<cuntt::Complex32, float>>(const T1::Value *, T1::Value *, unsigned long, unsigned int, unsigned int, unsigned long, unsigned long, bool, T1)"
535577135,102911,137,8192,1,1,256,1,1,23,0.000,0.000,None,,None,None,Tesla V100-SXM2-16GB (0),1,7,"void cuntt::detail::hierarchical_stage_kernel<cuntt::<unnamed>::FftOperator<cuntt::Complex32, float>>(const T1::Value *, T1::Value *, unsigned long, unsigned int, unsigned int, unsigned long, unsigned long, bool, T1)"
535680878,104127,139,8192,1,1,256,1,1,23,0.000,0.000,None,,None,None,Tesla V100-SXM2-16GB (0),1,7,"void cuntt::detail::hierarchical_stage_kernel<cuntt::<unnamed>::FftOperator<cuntt::Complex32, float>>(const T1::Value *, T1::Value *, unsigned long, unsigned int, unsigned int, unsigned long, unsigned long, bool, T1)"
535813165,5013405,145,None,None,None,None,None,None,None,None,None,33.554,6677.332,Device,Pageable,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy DtoH]
