device,compute_capability,backend,stage_space,stage_handoff,compute_unit,word_bits,logN,N,batch,modulus,modulus_bits,n1_log,rows_per_block,threads_per_block,inverse,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,kernel_ntt_s,end_to_end_ntt_s,kernel_points_s,cross_twiddle,output_order,correct,trial
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix4,64,20,1048576,4,1152921504577486849,60,10,2,512,0,5,20,5.460928,0.476672,5.099200,8391.514611,362.423900,8799140824.611124,fused,natural,1,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix8,64,12,4096,1024,1152921504606830593,60,6,4,256,0,5,20,5.471040,0.433664,5.126208,2361275.120815,92830.043212,9671782894.859301,fused,natural,1,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix4,64,12,4096,1024,1152921504606830593,60,6,4,256,0,5,20,5.506592,0.268954,5.121152,3807347.879227,93973.427712,15594896913.313032,fused,natural,1,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix2,64,12,4096,1024,1152921504606830593,60,6,4,256,0,5,20,5.473376,0.276736,5.111744,3700277.637951,94274.866728,15156337205.048744,fused,natural,1,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix8,64,20,1048576,4,1152921504577486849,60,10,2,512,0,5,20,5.451712,0.538368,5.095744,7429.862286,360.821163,7790775275.982815,fused,natural,1,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix2,64,20,1048576,4,1152921504577486849,60,10,2,512,0,5,20,5.470400,0.516096,5.112672,7750.496093,360.387383,8126984191.499510,fused,natural,1,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix8,64,20,1048576,4,1152921504577486849,60,10,2,512,0,5,20,5.479264,0.538675,5.104864,7425.625092,359.621578,7786332256.446108,fused,natural,1,2
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix2,64,20,1048576,4,1152921504577486849,60,10,2,512,0,5,20,5.472544,0.516198,5.118112,7748.958590,360.137961,8125372002.226233,fused,natural,1,2
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix8,64,12,4096,1024,1152921504606830593,60,6,4,256,0,5,20,5.478464,0.433510,5.119680,2362111.766548,92823.792196,9675209795.780134,fused,natural,1,2
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix4,64,12,4096,1024,1152921504606830593,60,6,4,256,0,5,20,5.483488,0.268646,5.119840,3811701.654642,94187.121774,15612729977.412279,fused,natural,1,2
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix4,64,20,1048576,4,1152921504577486849,60,10,2,512,0,5,20,5.455296,0.475597,5.111296,8410.485249,362.247014,8819032980.559118,fused,natural,1,2
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix2,64,12,4096,1024,1152921504606830593,60,6,4,256,0,5,20,5.472800,0.276070,5.135872,3709198.598439,94076.643467,15192877459.206385,fused,natural,1,2
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix8,64,12,4096,1024,1152921504606830593,60,6,4,256,0,5,20,5.460992,0.432998,5.117696,2364904.709858,92992.116915,9686649691.577736,fused,natural,1,3
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix2,64,12,4096,1024,1152921504606830593,60,6,4,256,0,5,20,5.461408,0.276582,5.116896,3702332.203445,94335.392648,15164752705.312153,fused,natural,1,3
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix4,64,12,4096,1024,1152921504606830593,60,6,4,256,0,5,20,5.461056,0.268237,5.115776,3817522.201238,94420.790645,15636570936.272003,fused,natural,1,3
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix2,64,20,1048576,4,1152921504577486849,60,10,2,512,0,5,20,5.458208,0.515328,5.109824,7762.046846,360.901379,8139096033.870902,fused,natural,1,3
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix4,64,20,1048576,4,1152921504577486849,60,10,2,512,0,5,20,5.459936,0.475955,5.111776,8404.152531,362.067387,8812392643.952070,fused,natural,1,3
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix8,64,20,1048576,4,1152921504577486849,60,10,2,512,0,5,20,5.461888,0.538419,5.109856,7429.155751,360.030716,7790034420.639919,fused,natural,1,3
