device,compute_capability,backend,stage_space,stage_handoff,compute_unit,word_bits,logN,N,batch,modulus,modulus_bits,n1_log,rows_per_block,threads_per_block,inverse,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,kernel_ntt_s,end_to_end_ntt_s,kernel_points_s,cross_twiddle,mod_multiply,output_order,correct
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix2,32,12,4096,1024,1073692673,30,6,4,256,0,5,20,2.902528,0.184576,2.808000,5547850.065465,173815.747986,22723993868.146492,fused,shoup,natural,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix2,32,12,4096,1024,1073692673,30,6,4,256,0,5,20,2.914112,0.197939,2.686944,5173305.685146,176479.279708,21189860086.359631,fused,barrett,natural,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix4,32,12,4096,1024,1073692673,30,6,4,256,0,5,20,2.813856,0.157901,2.764992,6485084.497463,178508.275705,26562906101.608421,fused,shoup,natural,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix4,32,12,4096,1024,1073692673,30,6,4,256,0,5,20,2.896416,0.169830,2.790528,6029544.354954,175972.494573,24697013677.891777,fused,barrett,natural,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix8,32,12,4096,1024,1073692673,30,6,4,256,0,5,20,2.822624,0.195840,2.625760,5228758.140398,180768.493163,21416993343.071842,fused,shoup,natural,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix8,32,12,4096,1024,1073692673,30,6,4,256,0,5,20,2.893440,0.236646,2.819904,4327131.404622,172101.115665,17723930233.331635,fused,barrett,natural,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix2,64,12,4096,1024,1073692673,30,6,4,256,0,5,20,5.482656,0.276634,5.123904,3701647.360676,94095.339060,15161947589.329910,fused,shoup,natural,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix2,64,12,4096,1024,1073692673,30,6,4,256,0,5,20,5.465088,0.370739,5.135264,2762049.501995,93336.640438,11313354760.172777,fused,barrett,natural,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix4,64,12,4096,1024,1073692673,30,6,4,256,0,5,20,5.477824,0.268646,5.118784,3811701.654642,94159.963244,15612729977.412279,fused,shoup,natural,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix4,64,12,4096,1024,1073692673,30,6,4,256,0,5,20,5.475328,0.377293,5.130560,2714072.380343,93184.920901,11116840469.886286,fused,barrett,natural,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix8,64,12,4096,1024,1073692673,30,6,4,256,0,5,20,5.477536,0.433562,5.126528,2361832.656421,92771.692456,9674066560.699217,fused,shoup,natural,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix8,64,12,4096,1024,1073692673,30,6,4,256,0,5,20,5.464704,0.673075,5.123008,1521375.325265,91038.924264,6231553332.285779,fused,barrett,natural,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix2,64,12,4096,1024,1152921504606830593,60,6,4,256,0,5,20,5.473984,0.276019,5.135616,3709887.039558,94069.066818,15195697314.028673,fused,shoup,natural,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix2,64,12,4096,1024,1152921504606830593,60,6,4,256,0,5,20,5.472448,0.370790,5.141376,2761667.883921,93149.820810,11311791652.540312,fused,barrett,natural,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix4,64,12,4096,1024,1152921504606830593,60,6,4,256,0,5,20,5.481472,0.268646,5.146464,3811701.654642,94028.654608,15612729977.412279,fused,shoup,natural,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix4,64,12,4096,1024,1152921504606830593,60,6,4,256,0,5,20,5.468416,0.377395,5.142464,2713335.955718,93242.536215,11113824074.622046,fused,barrett,natural,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix8,64,12,4096,1024,1152921504606830593,60,6,4,256,0,5,20,5.468576,0.433459,5.143360,2362390.780225,92701.870850,9676352635.803129,fused,shoup,natural,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix8,64,12,4096,1024,1152921504606830593,60,6,4,256,0,5,20,5.483424,0.673126,5.134208,1521259.604043,90730.518285,6231079338.158838,fused,barrett,natural,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix2,32,20,1048576,4,1053818881,30,10,2,512,0,5,20,2.853536,0.386765,2.804480,10342.202951,661.761515,10844585801.732559,fused,shoup,natural,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix2,32,20,1048576,4,1053818881,30,10,2,512,0,5,20,2.849536,0.397107,2.800960,10072.847236,661.519868,10562145863.130339,fused,barrett,natural,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix4,32,20,1048576,4,1053818881,30,10,2,512,0,5,20,2.858304,0.325939,2.742112,12272.227147,674.116099,12868362852.918497,fused,shoup,natural,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix4,32,20,1048576,4,1053818881,30,10,2,512,0,5,20,2.853952,0.324096,2.799232,12342.022336,672.068324,12941548413.494356,fused,barrett,natural,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix8,32,20,1048576,4,1053818881,30,10,2,512,0,5,20,2.868256,0.349184,2.774752,11455.279358,667.922028,12011731008.497124,fused,shoup,natural,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix8,32,20,1048576,4,1053818881,30,10,2,512,0,5,20,2.850656,0.359629,2.813792,11122.579833,664.002157,11662870270.447514,fused,barrett,natural,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix2,64,20,1048576,4,1053818881,30,10,2,512,0,5,20,5.477536,0.516301,5.166752,7747.421696,358.176042,8123760452.461703,fused,shoup,natural,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix2,64,20,1048576,4,1053818881,30,10,2,512,0,5,20,5.466208,0.605798,5.134912,6602.857056,356.950920,6923597440.049746,fused,barrett,natural,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix4,64,20,1048576,4,1053818881,30,10,2,512,0,5,20,5.464672,0.476262,5.140032,8398.731621,360.976013,8806708408.355722,fused,shoup,natural,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix4,64,20,1048576,4,1053818881,30,10,2,512,0,5,20,5.489344,0.537958,5.111296,7435.519405,358.868298,7796707195.531212,fused,barrett,natural,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix8,64,20,1048576,4,1053818881,30,10,2,512,0,5,20,5.474144,0.538624,5.143104,7426.330955,358.562147,7787072407.749320,fused,shoup,natural,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix8,64,20,1048576,4,1053818881,30,10,2,512,0,5,20,5.460448,0.663654,5.173440,6027.233028,355.094281,6320011899.982343,fused,barrett,natural,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix2,64,20,1048576,4,1152921504577486849,60,10,2,512,0,5,20,5.473056,0.516250,5.165664,7748.190067,358.601030,8124566147.429159,fused,shoup,natural,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix2,64,20,1048576,4,1152921504577486849,60,10,2,512,0,5,20,5.507392,0.606310,5.161216,6597.280569,355.138471,6917750069.789617,fused,barrett,natural,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix4,64,20,1048576,4,1152921504577486849,60,10,2,512,0,5,20,5.457056,0.476262,5.135264,8398.731621,361.379883,8806708408.355722,fused,shoup,natural,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix4,64,20,1048576,4,1152921504577486849,60,10,2,512,0,5,20,5.496576,0.538163,5.113376,7432.689769,358.947039,7793740107.041406,fused,barrett,natural,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix8,64,20,1048576,4,1152921504577486849,60,10,2,512,0,5,20,5.464960,0.538726,5.113024,7424.919363,359.793807,7785592245.830397,fused,shoup,natural,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix8,64,20,1048576,4,1152921504577486849,60,10,2,512,0,5,20,5.483712,0.664064,5.107552,6023.515895,355.310875,6316114203.492011,fused,barrett,natural,1
