device,compute_capability,backend,stage_space,stage_handoff,compute_unit,word_bits,logN,N,batch,modulus,modulus_bits,n1_log,rows_per_block,threads_per_block,inverse,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,kernel_ntt_s,end_to_end_ntt_s,kernel_points_s,cross_twiddle,mod_multiply,output_order,correct,trial
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix8,64,20,1048576,4,1152921504577486849,60,10,2,512,0,5,20,5.464960,0.539494,5.113024,7414.349501,359.793807,7774508941.857303,fused,shoup,natural,1,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix2,64,12,4096,1024,1073692673,30,6,4,256,0,5,20,5.482656,0.276019,5.123904,3709887.039558,94095.339060,15195697314.028673,fused,shoup,natural,1,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix2,32,20,1048576,4,1053818881,30,10,2,512,0,5,20,2.866304,0.386765,2.817792,10342.202951,658.885161,10844585801.732559,fused,shoup,natural,1,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix8,64,12,4096,1024,1073692673,30,6,4,256,0,5,20,5.488288,0.433562,5.126528,2361832.656421,92683.293568,9674066560.699217,fused,shoup,natural,1,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix2,32,12,4096,1024,1073692673,30,6,4,256,0,5,20,2.894368,0.184576,2.812352,5547850.065465,173815.747986,22723993868.146492,fused,shoup,natural,1,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix8,32,20,1048576,4,1053818881,30,10,2,512,0,5,20,2.850656,0.359629,2.813792,11122.579833,664.002157,11662870270.447514,fused,barrett,natural,1,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix4,64,12,4096,1024,1073692673,30,6,4,256,0,5,20,5.463200,0.268134,5.143776,3818980.116478,94159.963244,15642542557.092075,fused,shoup,natural,1,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix4,64,12,4096,1024,1152921504606830593,60,6,4,256,0,5,20,5.475136,0.268698,5.146464,3810975.756752,94028.654608,15609756699.657440,fused,shoup,natural,1,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix4,64,20,1048576,4,1152921504577486849,60,10,2,512,0,5,20,5.491520,0.537600,5.113376,7440.476456,358.985992,7801905040.092218,fused,barrett,natural,1,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix2,64,20,1048576,4,1152921504577486849,60,10,2,512,0,5,20,5.473056,0.515738,5.165664,7755.882164,358.601030,8132631895.587024,fused,shoup,natural,1,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix8,64,12,4096,1024,1152921504606830593,60,6,4,256,0,5,20,5.542048,0.433459,5.165568,2362390.780225,91912.135577,9676352635.803129,fused,shoup,natural,1,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix2,64,20,1048576,4,1053818881,30,10,2,512,0,5,20,5.474336,0.516301,5.177056,7747.421696,358.176042,8123760452.461703,fused,shoup,natural,1,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix4,64,20,1048576,4,1053818881,30,10,2,512,0,5,20,5.457408,0.475853,5.138784,8405.960529,361.270218,8814288468.071245,fused,shoup,natural,1,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix4,64,12,4096,1024,1073692673,30,6,4,256,0,5,20,5.467616,0.377293,5.130560,2714072.380343,93298.975863,11116840469.886286,fused,barrett,natural,1,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix8,64,12,4096,1024,1073692673,30,6,4,256,0,5,20,5.464704,0.673024,5.110208,1521491.064094,91038.924264,6232027398.531051,fused,barrett,natural,1,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix8,64,20,1048576,4,1053818881,30,10,2,512,0,5,20,5.460448,0.664422,5.139744,6020.266690,355.094281,6312707165.150436,fused,barrett,natural,1,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix2,32,20,1048576,4,1053818881,30,10,2,512,0,5,20,2.810112,0.397107,2.757568,10072.847236,670.602312,10562145863.130339,fused,barrett,natural,1,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix8,32,12,4096,1024,1073692673,30,6,4,256,0,5,20,2.822624,0.195840,2.819840,5228758.140398,175393.404214,21416993343.071842,fused,shoup,natural,1,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix4,32,12,4096,1024,1073692673,30,6,4,256,0,5,20,2.813536,0.157901,2.764992,6485084.497463,178508.275705,26562906101.608421,fused,shoup,natural,1,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix2,64,12,4096,1024,1152921504606830593,60,6,4,256,0,5,20,5.482464,0.370944,5.140224,2760524.549292,93144.833091,11307108553.901379,fused,barrett,natural,1,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix2,64,12,4096,1024,1152921504606830593,60,6,4,256,0,5,20,5.466912,0.276019,5.135488,3709887.039558,94131.325415,15195697314.028673,fused,shoup,natural,1,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix4,32,12,4096,1024,1073692673,30,6,4,256,0,5,20,2.896416,0.169779,2.752896,6031362.687242,175972.494573,24704461566.942402,fused,barrett,natural,1,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix8,64,12,4096,1024,1152921504606830593,60,6,4,256,0,5,20,5.491680,0.672973,5.121088,1521606.820535,90733.962668,6232501536.911115,fused,barrett,natural,1,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix4,64,12,4096,1024,1152921504606830593,60,6,4,256,0,5,20,5.492384,0.377395,5.150752,2713335.955718,92917.480833,11113824074.622046,fused,barrett,natural,1,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix2,64,20,1048576,4,1152921504577486849,60,10,2,512,0,5,20,5.496608,0.605389,5.161216,6607.324517,355.138471,6928281912.722766,fused,barrett,natural,1,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix8,32,20,1048576,4,1053818881,30,10,2,512,0,5,20,2.868256,0.347699,2.830592,11504.196892,661.534569,12063024759.755440,fused,shoup,natural,1,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix8,32,12,4096,1024,1073692673,30,6,4,256,0,5,20,2.893440,0.236646,2.819904,4327131.404622,172101.115665,17723930233.331635,fused,barrett,natural,1,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix4,32,20,1048576,4,1053818881,30,10,2,512,0,5,20,2.866208,0.325376,2.742112,12293.469558,674.116099,12890637135.766184,fused,shoup,natural,1,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix2,64,12,4096,1024,1073692673,30,6,4,256,0,5,20,5.472832,0.370739,5.149344,2762049.501995,93150.903675,11313354760.172777,fused,barrett,natural,1,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix4,64,20,1048576,4,1053818881,30,10,2,512,0,5,20,5.476480,0.537958,5.131712,7435.519405,358.868298,7796707195.531212,fused,barrett,natural,1,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix2,64,20,1048576,4,1053818881,30,10,2,512,0,5,20,5.465312,0.605798,5.134912,6602.857056,356.950920,6923597440.049746,fused,barrett,natural,1,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix4,64,20,1048576,4,1152921504577486849,60,10,2,512,0,5,20,5.457056,0.476365,5.135264,8396.926205,361.379883,8804815292.356991,fused,shoup,natural,1,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix4,32,20,1048576,4,1053818881,30,10,2,512,0,5,20,2.815744,0.324096,2.811936,12342.022336,672.068324,12941548413.494356,fused,barrett,natural,1,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix2,32,12,4096,1024,1073692673,30,6,4,256,0,5,20,2.789216,0.197939,2.627392,5173305.685146,182383.359827,21189860086.359631,fused,barrett,natural,1,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix8,64,20,1048576,4,1152921504577486849,60,10,2,512,0,5,20,5.478816,0.664064,5.107552,6023.515895,355.541900,6316114203.492011,fused,barrett,natural,1,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix8,64,20,1048576,4,1053818881,30,10,2,512,0,5,20,5.473216,0.538624,5.135008,7426.330955,358.845840,7787072407.749320,fused,shoup,natural,1,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix2,64,12,4096,1024,1073692673,30,6,4,256,0,5,20,5.483584,0.276634,5.111072,3701647.360676,94193.057076,15161947589.329910,fused,shoup,natural,1,2
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix4,32,20,1048576,4,1053818881,30,10,2,512,0,5,20,2.853952,0.324096,2.799232,12342.022336,669.200714,12941548413.494356,fused,barrett,natural,1,2
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix8,64,12,4096,1024,1073692673,30,6,4,256,0,5,20,5.477536,0.433562,5.126752,2361832.656421,92771.692456,9674066560.699217,fused,shoup,natural,1,2
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix8,32,20,1048576,4,1053818881,30,10,2,512,0,5,20,2.856256,0.359526,2.819072,11125.747780,662.816321,11666192104.458797,fused,barrett,natural,1,2
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix4,64,20,1048576,4,1053818881,30,10,2,512,0,5,20,5.513088,0.538470,5.111296,7428.449351,358.331276,7789293706.185299,fused,barrett,natural,1,2
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix8,64,20,1048576,4,1152921504577486849,60,10,2,512,0,5,20,5.519936,0.538522,5.116256,7427.742262,357.950996,7788552270.526251,fused,shoup,natural,1,2
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix8,64,20,1048576,4,1053818881,30,10,2,512,0,5,20,5.487328,0.663654,5.173440,6027.233028,353.218895,6320011899.982343,fused,barrett,natural,1,2
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix2,64,12,4096,1024,1073692673,30,6,4,256,0,5,20,5.465088,0.370688,5.135264,2762430.781367,93336.640438,11314916480.479450,fused,barrett,natural,1,2
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix2,64,20,1048576,4,1152921504577486849,60,10,2,512,0,5,20,5.498816,0.516250,5.169536,7748.190067,357.634550,8124566147.429159,fused,shoup,natural,1,2
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix4,64,20,1048576,4,1053818881,30,10,2,512,0,5,20,5.497952,0.476262,5.168256,8398.731621,358.986826,8806708408.355722,fused,shoup,natural,1,2
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix2,64,20,1048576,4,1152921504577486849,60,10,2,512,0,5,20,5.516768,0.606310,5.161536,6597.280569,354.464918,6917750069.789617,fused,barrett,natural,1,2
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix8,64,12,4096,1024,1152921504606830593,60,6,4,256,0,5,20,5.474464,0.673178,5.138528,1521143.900423,90730.518285,6230605416.133775,fused,barrett,natural,1,2
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix8,64,12,4096,1024,1152921504606830593,60,6,4,256,0,5,20,5.461600,0.433459,5.130112,2362390.780225,92878.376427,9676352635.803129,fused,shoup,natural,1,2
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix2,32,12,4096,1024,1073692673,30,6,4,256,0,5,20,2.902528,0.184474,2.808000,5550929.661463,173706.479708,22736607893.354134,fused,shoup,natural,1,2
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix8,64,20,1048576,4,1152921504577486849,60,10,2,512,0,5,20,5.483712,0.664218,5.128704,6022.122950,354.715782,6314653593.984488,fused,barrett,natural,1,2
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix2,64,12,4096,1024,1152921504606830593,60,6,4,256,0,5,20,5.473984,0.276019,5.135616,3709887.039558,94069.066818,15195697314.028673,fused,shoup,natural,1,2
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix8,32,20,1048576,4,1053818881,30,10,2,512,0,5,20,2.863968,0.350003,2.774752,11428.467498,667.922028,11983616735.684925,fused,shoup,natural,1,2
