batch,ready_window,poll_sleep_cycles,aggregate_ms,online_ms,online_over_aggregate,trials
16,1,32,1.080382,1.142129,0.9459369300665686,3
16,2,64,1.080382,1.13791,0.9494441563919818,3
16,4,128,1.080382,1.132913,0.953631920544649,3
16,8,256,1.080382,1.136046,0.9510019840745886,3
16,16,512,1.080382,1.134264,0.9524960679348018,3
32,1,32,2.420347,2.519429,0.9606728349955486,3
32,2,64,2.420347,2.507797,0.9651287564344323,3
32,4,128,2.420347,2.529055,0.9570163559115954,3
32,8,256,2.420347,2.52119,0.9600018245352394,3
32,16,512,2.420347,2.513838,0.9628094570930984,3
64,1,32,4.938015,5.115843,0.9652397464112953,3
64,2,64,4.938015,5.124465,0.9636157140306354,3
64,4,128,4.938015,5.116785,0.965062045796335,3
64,8,256,4.938015,5.112381,0.9658933870538992,3
64,16,512,4.938015,5.108982,0.9665359948420252,3
