label,device,compute_capability,auto_select,selection_target,selected_implementation,selection_confidence,predicted_kernel_ms,selection_reason,backend,stage_space,stage_handoff,flow_tile_log,data_space,role_stages,target_ctas_per_sm,data_time,token_interleave,pipeline_buffers,dataflow_layout,dataflow_state,compute_unit,word_bits,logN,N,batch,modulus,modulus_bits,n1_log,rows_per_block,threads_per_block,hierarchical_core,stage_partition,segment_cores,segment_threads,segment_units,segment_data_space,segment_data_time,segment_role_stages,segment_token_interleave,segment_coefficient_reuse_stages,segment_cta_weights,boundary_storage,boundary_buffers,ready_window,packet_readiness,inverse,warmup,repeat,h2d_ms,kernel_ms,timed_region_wall_ms,host_timing_overhead_ms,appt_producer_weight,appt_tail_weight,appt_writer_weight,appt_fragment_width,appt_writer_tiles,appt_data_time_roles,input_order,output_order,appt_layout_id,d2h_ms,kernel_ntt_s,end_to_end_ntt_s,kernel_points_s,cross_twiddle,mod_multiply,correct
aggregate_b16_t1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-homogeneous-warp128-packet-shared-radix4-static-io-10x10","experimental",0.000000,"independent 128-thread packets fuse four rows through the resident shared radix-4 core",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,16,998244353,30,0,0,0,dataflow-radix4,"10+10","homogeneous-warp128-packet-shared-radix4-static-io+homogeneous-warp128-packet-shared-radix4-static-io","128+128","4+4","4+4","1+1","0+0","0+0","0+0","7+13","full-scratch","1",2,per-packet,0,10,50,10.911392,1.192387,1.192625,0.000239,0,0,0,0,0,7,natural,natural,"",10.141632,13418.467831,719.249473,14070283324.749914,fused,shoup,-1
per_packet_b16_rw4_t1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-homogeneous-warp128-packet-shared-radix4-static-io-10x10","experimental",0.000000,"independent 128-thread packets fuse four rows through the resident shared radix-4 core",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,16,998244353,30,0,0,0,dataflow-radix4,"10+10","homogeneous-warp128-packet-shared-radix4-static-io+homogeneous-warp128-packet-shared-radix4-static-io","128+128","4+4","4+4","1+1","0+0","0+16","0+0","7+13","full-scratch","1",4,per-packet,0,10,50,10.898176,1.166623,1.166880,0.000258,0,0,0,0,0,7,natural,natural,"",10.132608,13714.803287,720.804904,14381013571.501501,fused,shoup,-1
wave_bitmap_b16_rw1_t1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-homogeneous-warp128-packet-shared-radix4-static-io-10x10-wave-bitmap","experimental",0.000000,"independent 128-thread packets fuse four rows through the resident shared radix-4 core",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,16,998244353,30,0,0,0,dataflow-radix4,"10+10","homogeneous-warp128-packet-shared-radix4-static-io+homogeneous-warp128-packet-shared-radix4-static-io","128+128","4+4","4+4","1+1","0+0","0+16","0+0","7+13","full-scratch","1",1,wave-bitmap,0,10,50,10.876288,1.137029,1.137220,0.000190,0,0,0,0,0,7,natural,natural,"",10.113536,14071.758587,723.103266,14755308331.616846,fused,shoup,-1
wave_bitmap_b16_rw2_t1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-homogeneous-warp128-packet-shared-radix4-static-io-10x10-wave-bitmap","experimental",0.000000,"independent 128-thread packets fuse four rows through the resident shared radix-4 core",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,16,998244353,30,0,0,0,dataflow-radix4,"10+10","homogeneous-warp128-packet-shared-radix4-static-io+homogeneous-warp128-packet-shared-radix4-static-io","128+128","4+4","4+4","1+1","0+0","0+16","0+0","7+13","full-scratch","1",2,wave-bitmap,0,10,50,10.889344,1.143931,1.144173,0.000242,0,0,0,0,0,7,natural,natural,"",10.140864,13986.858675,721.561258,14666284321.669432,fused,shoup,-1
wave_bitmap_b16_rw4_t1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-homogeneous-warp128-packet-shared-radix4-static-io-10x10-wave-bitmap","experimental",0.000000,"independent 128-thread packets fuse four rows through the resident shared radix-4 core",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,16,998244353,30,0,0,0,dataflow-radix4,"10+10","homogeneous-warp128-packet-shared-radix4-static-io+homogeneous-warp128-packet-shared-radix4-static-io","128+128","4+4","4+4","1+1","0+0","0+16","0+0","7+13","full-scratch","1",4,wave-bitmap,0,10,50,10.874816,1.143173,1.143380,0.000207,0,0,0,0,0,7,natural,natural,"",10.114208,13996.130612,722.928673,14676006652.949213,fused,shoup,-1
wave_bitmap_b16_rw8_t1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-homogeneous-warp128-packet-shared-radix4-static-io-10x10-wave-bitmap","experimental",0.000000,"independent 128-thread packets fuse four rows through the resident shared radix-4 core",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,16,998244353,30,0,0,0,dataflow-radix4,"10+10","homogeneous-warp128-packet-shared-radix4-static-io+homogeneous-warp128-packet-shared-radix4-static-io","128+128","4+4","4+4","1+1","0+0","0+16","0+0","7+13","full-scratch","1",8,wave-bitmap,0,10,50,10.885824,1.144504,1.144749,0.000245,0,0,0,0,0,7,natural,natural,"",10.131712,13979.851258,721.955184,14658936512.915697,fused,shoup,-1
wave_bitmap_b16_rw16_t1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-homogeneous-warp128-packet-shared-radix4-static-io-10x10-wave-bitmap","experimental",0.000000,"independent 128-thread packets fuse four rows through the resident shared radix-4 core",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,16,998244353,30,0,0,0,dataflow-radix4,"10+10","homogeneous-warp128-packet-shared-radix4-static-io+homogeneous-warp128-packet-shared-radix4-static-io","128+128","4+4","4+4","1+1","0+0","0+16","0+0","7+13","full-scratch","1",16,wave-bitmap,0,10,50,10.886848,1.133220,1.133449,0.000229,0,0,0,0,0,7,natural,natural,"",10.134720,14119.060981,722.191515,14804908487.572605,fused,shoup,-1
aggregate_b16_t2,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-homogeneous-warp128-packet-shared-radix4-static-io-10x10","experimental",0.000000,"independent 128-thread packets fuse four rows through the resident shared radix-4 core",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,16,998244353,30,0,0,0,dataflow-radix4,"10+10","homogeneous-warp128-packet-shared-radix4-static-io+homogeneous-warp128-packet-shared-radix4-static-io","128+128","4+4","4+4","1+1","0+0","0+0","0+0","7+13","full-scratch","1",2,per-packet,0,10,50,10.883104,1.086300,1.086496,0.000195,0,0,0,0,0,7,natural,natural,"",10.120448,14728.894428,724.314476,15444365203.240456,fused,shoup,-1
per_packet_b16_rw4_t2,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-homogeneous-warp128-packet-shared-radix4-static-io-10x10","experimental",0.000000,"independent 128-thread packets fuse four rows through the resident shared radix-4 core",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,16,998244353,30,0,0,0,dataflow-radix4,"10+10","homogeneous-warp128-packet-shared-radix4-static-io+homogeneous-warp128-packet-shared-radix4-static-io","128+128","4+4","4+4","1+1","0+0","0+16","0+0","7+13","full-scratch","1",4,per-packet,0,10,50,10.886240,1.126134,1.126315,0.000182,0,0,0,0,0,7,natural,natural,"",10.114336,14207.904691,723.107964,14898067869.598402,fused,shoup,-1
wave_bitmap_b16_rw1_t2,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-homogeneous-warp128-packet-shared-radix4-static-io-10x10-wave-bitmap","experimental",0.000000,"independent 128-thread packets fuse four rows through the resident shared radix-4 core",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,16,998244353,30,0,0,0,dataflow-radix4,"10+10","homogeneous-warp128-packet-shared-radix4-static-io+homogeneous-warp128-packet-shared-radix4-static-io","128+128","4+4","4+4","1+1","0+0","0+16","0+0","7+13","full-scratch","1",1,wave-bitmap,0,10,50,10.877952,1.129308,1.129497,0.000188,0,0,0,0,0,7,natural,natural,"",10.121408,14167.965542,723.043962,14856188636.145876,fused,shoup,-1
