batch,mode,ready_window,sleep_cycles,kernel_ms,trials
16,aggregate,0,0,1.0863,3
16,per_packet,4,128,1.132974,3
16,wave_bitmap,1,32,1.137029,3
16,wave_bitmap,2,64,1.139528,3
16,wave_bitmap,4,128,1.143173,3
16,wave_bitmap,8,256,1.144504,3
16,wave_bitmap,16,512,1.136128,3
32,aggregate,0,0,2.424771,3
32,per_packet,2,64,2.522071,3
32,wave_bitmap,1,32,2.455142,3
32,wave_bitmap,2,64,2.452357,3
32,wave_bitmap,4,128,2.454098,3
32,wave_bitmap,8,256,2.444616,3
32,wave_bitmap,16,512,2.463437,3
64,aggregate,0,0,4.942787,3
64,per_packet,16,512,5.152133,3
64,wave_bitmap,1,32,5.001871,3
64,wave_bitmap,2,64,4.998267,3
64,wave_bitmap,4,128,5.010493,3
64,wave_bitmap,8,256,4.990546,3
64,wave_bitmap,16,512,5.005885,3
