batch,mode,producer_weight,consumer_weight,kernel_ms,trials
16,aggregate,0,0,1.086566,3
16,interleaved,7,13,1.146286,3
16,warp_rows,4,16,1.590907,3
16,warp_rows,5,15,1.236275,3
16,warp_rows,6,14,1.233961,3
16,warp_rows,7,13,1.152225,3
16,warp_rows,8,12,1.126359,3
16,warp_rows,9,11,1.427333,3
16,warp_rows,10,10,1.380168,3
16,warp_rows,11,9,1.720709,3
16,warp_rows,12,8,1.578435,3
32,aggregate,0,0,2.420593,3
32,interleaved,5,15,2.447749,3
32,warp_rows,4,16,3.2145,3
32,warp_rows,5,15,2.453094,3
32,warp_rows,6,14,2.623283,3
32,warp_rows,7,13,2.548388,3
32,warp_rows,8,12,2.8049,3
32,warp_rows,9,11,3.462759,3
32,warp_rows,10,10,3.552358,3
32,warp_rows,11,9,4.558766,3
32,warp_rows,12,8,4.565627,3
64,aggregate,0,0,4.957225,3
64,interleaved,5,15,5.03849,3
64,warp_rows,4,16,6.473666,3
64,warp_rows,5,15,5.045965,3
64,warp_rows,6,14,6.054564,3
64,warp_rows,7,13,6.288651,3
64,warp_rows,8,12,6.836163,3
64,warp_rows,9,11,7.977533,3
64,warp_rows,10,10,7.845867,3
64,warp_rows,11,9,10.489959,3
64,warp_rows,12,8,11.1164,3
