trial,device,compute_capability,operator,precision,direction,normalization,placement,backend,compute_unit,complex_multiply,stage_space,stage_handoff,tile_threads,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,0,named-barrier,32,0,0,0,0,8,256,16384,1,256,10,50,2.780896,0.072561,2.607488,225797352.515740,231.216489,57804122244.029419,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,0,named-barrier,32,0,0,0,0,8,256,16384,1,256,10,50,2.780256,0.072724,2.625472,225288638.980260,230.695566,57673891578.946434,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,0,named-barrier,32,0,0,0,0,8,256,16384,1,256,10,50,2.775104,0.072479,2.599616,226052560.164861,231.477822,57869455402.204521,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,0,named-barrier,64,0,0,0,0,8,256,16384,1,256,10,50,2.781984,0.058900,2.597216,278164120.478070,284.840059,71210014842.386017,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,0,named-barrier,64,0,0,0,0,8,256,16384,1,256,10,50,2.775872,0.058900,2.600768,278164120.478070,284.840059,71210014842.386017,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,0,named-barrier,64,0,0,0,0,8,256,16384,1,256,10,50,2.768096,0.058839,2.600128,278454586.493867,285.137497,71284374142.429977,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,0,named-barrier,128,0,0,0,0,8,256,16384,1,256,10,50,2.767872,0.055849,2.588224,293362670.475494,300.403375,75100843641.726456,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,0,named-barrier,128,0,0,0,0,8,256,16384,1,256,10,50,2.788128,0.055869,2.618336,293255124.199300,300.293247,75073311795.020706,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,0,named-barrier,128,0,0,0,0,8,256,16384,1,256,10,50,2.778304,0.055890,2.605536,293147676.286270,300.183221,75045805129.285156,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,0,named-barrier,256,0,0,0,0,8,256,16384,1,256,10,50,2.764224,0.063549,2.600896,257815001.174986,264.002561,66000640300.796463,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,0,named-barrier,256,0,0,0,0,8,256,16384,1,256,10,50,2.776576,0.063488,2.604672,258064519.619796,264.258068,66064517022.667778,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,0,named-barrier,256,0,0,0,0,8,256,16384,1,256,10,50,2.765280,0.063529,2.598656,257898120.360331,264.087675,66021918812.244766,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix4,four-mul,0,named-barrier,32,0,0,0,0,8,256,16384,1,256,10,50,2.763392,0.061850,2.600352,264900671.496465,271.258288,67814571903.095085,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix4,four-mul,0,named-barrier,32,0,0,0,0,8,256,16384,1,256,10,50,2.775008,0.061870,2.609088,264812978.029125,271.168490,67792122375.455917,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix4,four-mul,0,named-barrier,32,0,0,0,0,8,256,16384,1,256,10,50,2.781024,0.061809,2.604832,265076216.809560,271.438046,67859511503.247353,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix4,four-mul,0,named-barrier,64,0,0,0,0,8,256,16384,1,256,10,50,2.782592,0.052531,2.608128,311890852.057508,319.376233,79844058126.721939,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix4,four-mul,0,named-barrier,64,0,0,0,0,8,256,16384,1,256,10,50,2.777472,0.052593,2.610240,311526486.384885,319.003122,79750780514.530640,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix4,four-mul,0,named-barrier,64,0,0,0,0,8,256,16384,1,256,10,50,2.768576,0.052613,2.600320,311405212.923647,318.878938,79719734508.453629,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix4,four-mul,0,named-barrier,128,0,0,0,0,8,256,16384,1,256,10,50,2.768064,0.051364,2.601728,318979262.005547,326.634764,81658691073.420151,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix4,four-mul,0,named-barrier,128,0,0,0,0,8,256,16384,1,256,10,50,2.766464,0.051343,2.600480,319106507.679879,326.765064,81691265966.049103,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix4,four-mul,0,named-barrier,128,0,0,0,0,8,256,16384,1,256,10,50,2.768928,0.051405,2.601920,318725097.952144,326.374500,81593625075.748886,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix4,four-mul,0,named-barrier,256,0,0,0,0,8,256,16384,1,256,10,50,2.766784,0.052060,2.601760,314712819.796615,322.265927,80566481867.933502,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix4,four-mul,0,named-barrier,256,0,0,0,0,8,256,16384,1,256,10,50,2.769536,0.052101,2.599712,314465406.675977,322.012576,80503144109.050125,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix4,four-mul,0,named-barrier,256,0,0,0,0,8,256,16384,1,256,10,50,2.767008,0.052122,2.604576,314341834.703686,321.886039,80471509684.143692,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,0,named-barrier,32,0,0,0,0,8,256,16384,1,256,10,50,2.766784,0.064102,2.600800,255591039.083629,261.725224,65431306005.409081,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,0,named-barrier,32,0,0,0,0,8,256,16384,1,256,10,50,2.768800,0.064102,2.605120,255591039.083629,261.725224,65431306005.409081,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,0,named-barrier,32,0,0,0,0,8,256,16384,1,256,10,50,2.765408,0.064041,2.601344,255836269.259300,261.976340,65494084930.380692,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,0,named-barrier,64,0,0,0,0,8,256,16384,1,256,10,50,2.765696,0.054211,2.601728,302228946.595789,309.482441,77370610328.522003,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,0,named-barrier,64,0,0,0,0,8,256,16384,1,256,10,50,2.773728,0.054292,2.630016,301772928.846429,309.015479,77253869784.685715,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,0,named-barrier,64,0,0,0,0,8,256,16384,1,256,10,50,2.764672,0.054272,2.600064,301886793.862579,309.132077,77283019228.820145,0.000000,-1
