rank,operator,precision,direction,normalization,placement,logN,N,batch,element_stride,batch_stride,backend,compute_unit,complex_multiply,stage_space,tile_threads,local_stages,reorder_columns,warp_stages,pipeline_warps,stage_handoff,trials,median_kernel_ms,min_kernel_ms,max_kernel_ms,median_Gbutterfly_s,slowdown_vs_best
1,fft,fp32,forward,inverse,out-of-place,8,256,16384,1,256,temporal-tile,radix8,four-mul,0,64,0,0,0,0,named-barrier,3,0.110551,0.110469,0.110838,151.759905,1.000000
2,fft,fp32,forward,inverse,out-of-place,8,256,16384,1,256,temporal-tile,radix4,four-mul,0,128,0,0,0,0,named-barrier,3,0.110572,0.110469,0.110715,151.731804,1.000190
3,fft,fp32,forward,inverse,out-of-place,8,256,16384,1,256,temporal-tile,radix4,gauss3,0,128,0,0,0,0,named-barrier,3,0.110653,0.110612,0.110735,151.619474,1.000923
4,fft,fp32,forward,inverse,out-of-place,8,256,16384,1,256,temporal-tile,radix8,gauss3,0,64,0,0,0,0,named-barrier,3,0.110899,0.110858,0.110961,151.283468,1.003148
5,fft,fp32,forward,inverse,out-of-place,8,256,16384,1,256,temporal-tile,radix4,four-mul,0,64,0,0,0,0,named-barrier,3,0.111739,0.111636,0.111759,150.146624,1.010746
6,fft,fp32,forward,inverse,out-of-place,8,256,16384,1,256,temporal-tile,radix4,gauss3,0,64,0,0,0,0,named-barrier,3,0.111759,0.111616,0.111800,150.119117,1.010927
7,fft,fp32,forward,inverse,out-of-place,8,256,16384,1,256,temporal-tile,radix4,gauss3,0,256,0,0,0,0,named-barrier,3,0.112517,0.112497,0.112538,149.108120,1.017784
8,fft,fp32,forward,inverse,out-of-place,8,256,16384,1,256,temporal-tile,radix4,four-mul,0,256,0,0,0,0,named-barrier,3,0.112558,0.112415,0.112620,149.053855,1.018155
9,fft,fp32,forward,inverse,out-of-place,8,256,16384,1,256,temporal-tile,radix8,gauss3,0,128,0,0,0,0,named-barrier,3,0.114319,0.114299,0.114381,146.757432,1.034084
10,fft,fp32,forward,inverse,out-of-place,8,256,16384,1,256,temporal-tile,radix8,four-mul,0,128,0,0,0,0,named-barrier,3,0.114340,0.114094,0.114442,146.731153,1.034274
