trial,device,compute_capability,operator,precision,direction,normalization,placement,backend,compute_unit,complex_multiply,local_exchange,stage_space,stage_handoff,tile_threads,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,shared,0,named-barrier,32,0,0,0,0,8,256,16384,1,256,20,100,2.805568,0.072530,2.605088,225892984.926143,231.314417,57828604141.092567,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,shared,0,named-barrier,32,0,0,0,0,8,256,16384,1,256,20,100,2.792160,0.072571,2.619424,225765477.584620,231.183849,57795962261.662804,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,shared,0,named-barrier,32,0,0,0,0,8,256,16384,1,256,20,100,2.812288,0.072499,2.603712,225988698.377646,231.412427,57853106784.677490,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,shared,0,named-barrier,32,0,0,0,0,8,256,16384,1,256,20,100,2.823104,0.072530,2.604640,225892984.926143,231.314417,57828604141.092567,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,shared,0,named-barrier,32,0,0,0,0,8,256,16384,1,256,20,100,2.828320,0.072591,2.604864,225701777.878134,231.118621,57779655136.802361,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,shared,0,named-barrier,64,0,0,0,0,8,256,16384,1,256,20,100,2.793856,0.058880,2.605184,278260863.390672,284.939124,71234781028.012054,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,shared,0,named-barrier,64,0,0,0,0,8,256,16384,1,256,20,100,2.801600,0.058798,2.601536,278648561.867658,285.336127,71334031838.120453,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,shared,0,named-barrier,64,0,0,0,0,8,256,16384,1,256,20,100,2.795840,0.058696,2.605952,279134693.575102,285.833926,71458481555.226105,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,shared,0,named-barrier,64,0,0,0,0,8,256,16384,1,256,20,100,2.798560,0.058788,2.604928,278697084.699888,285.385815,71346453683.171402,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,shared,0,named-barrier,64,0,0,0,0,8,256,16384,1,256,20,100,2.818880,0.058737,2.607008,278940041.026458,285.634602,71408650502.773270,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,shared,0,named-barrier,128,0,0,0,0,8,256,16384,1,256,20,100,2.827776,0.055788,2.604672,293685763.503058,300.734222,75183555456.782974,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,shared,0,named-barrier,128,0,0,0,0,8,256,16384,1,256,20,100,2.791328,0.055828,2.606688,293470276.079610,300.513563,75128390676.380051,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,shared,0,named-barrier,128,0,0,0,0,8,256,16384,1,256,20,100,2.762080,0.055808,2.600128,293577980.249180,300.623852,75155962943.789963,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,shared,0,named-barrier,128,0,0,0,0,8,256,16384,1,256,20,100,2.777600,0.055828,2.599616,293470276.079610,300.513563,75128390676.380051,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,shared,0,named-barrier,128,0,0,0,0,8,256,16384,1,256,20,100,2.776384,0.055849,2.601088,293362670.475494,300.403375,75100843641.726456,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,shared,0,named-barrier,256,0,0,0,0,8,256,16384,1,256,20,100,2.811584,0.063488,2.609728,258064519.619796,264.258068,66064517022.667778,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,shared,0,named-barrier,256,0,0,0,0,8,256,16384,1,256,20,100,2.765408,0.063468,2.593984,258147769.493267,264.343316,66085828990.276299,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,shared,0,named-barrier,256,0,0,0,0,8,256,16384,1,256,20,100,2.793376,0.063478,2.606816,258106137.843652,264.300685,66075171287.974976,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,shared,0,named-barrier,256,0,0,0,0,8,256,16384,1,256,20,100,2.775360,0.063427,2.593024,258314491.166595,264.514039,66128509738.648415,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,shared,0,named-barrier,256,0,0,0,0,8,256,16384,1,256,20,100,2.780928,0.063457,2.598720,258189444.889406,264.385992,66096497891.687912,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,warp-register,0,named-barrier,32,0,0,0,0,8,256,16384,1,256,20,100,2.791488,0.043131,2.605152,379867060.985811,388.983870,97245967612.367645,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,warp-register,0,named-barrier,32,0,0,0,0,8,256,16384,1,256,20,100,2.774432,0.043182,2.596800,379416625.165702,388.522624,97130656042.419662,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,warp-register,0,named-barrier,32,0,0,0,0,8,256,16384,1,256,20,100,2.777312,0.043110,2.602912,380047502.074253,389.168642,97292160531.008713,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,warp-register,0,named-barrier,32,0,0,0,0,8,256,16384,1,256,20,100,2.798144,0.043090,2.598080,380228147.539410,389.353623,97338405770.089081,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,warp-register,0,named-barrier,32,0,0,0,0,8,256,16384,1,256,20,100,2.799040,0.043151,2.608480,379686758.379071,388.799241,97199810145.042099,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,shared,0,named-barrier,32,0,0,0,0,10,1024,4096,1,1024,20,100,2.778240,0.104714,2.596256,39115977.157507,200.273803,40054760609.287216,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,shared,0,named-barrier,32,0,0,0,0,10,1024,4096,1,1024,20,100,2.789856,0.104827,2.609152,39073946.520540,200.058606,40011721237.033020,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,shared,0,named-barrier,32,0,0,0,0,10,1024,4096,1,1024,20,100,2.763584,0.104745,2.595072,39104508.326060,200.215083,40043016525.885666,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,shared,0,named-barrier,32,0,0,0,0,10,1024,4096,1,1024,20,100,2.787488,0.104878,2.603904,39054871.026018,199.960940,39992187930.642410,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,shared,0,named-barrier,32,0,0,0,0,10,1024,4096,1,1024,20,100,2.776096,0.104776,2.598304,39093043.438081,200.156382,40031276480.594658,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,shared,0,named-barrier,64,0,0,0,0,10,1024,4096,1,1024,20,100,2.778784,0.072673,2.608704,56361846.082680,288.572652,57714530388.664726,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,shared,0,named-barrier,64,0,0,0,0,10,1024,4096,1,1024,20,100,2.765024,0.072673,2.595744,56361846.082680,288.572652,57714530388.664726,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,shared,0,named-barrier,64,0,0,0,0,10,1024,4096,1,1024,20,100,2.782336,0.072663,2.605120,56369786.594602,288.613307,57722661472.872040,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,shared,0,named-barrier,64,0,0,0,0,10,1024,4096,1,1024,20,100,2.772704,0.072673,2.593952,56361846.082680,288.572652,57714530388.664726,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,shared,0,named-barrier,64,0,0,0,0,10,1024,4096,1,1024,20,100,2.776192,0.072694,2.600960,56345965.993122,288.491346,57698269176.957062,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,shared,0,named-barrier,128,0,0,0,0,10,1024,4096,1,1024,20,100,2.765440,0.065362,2.597056,62666460.636646,320.852278,64170455691.925255,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,shared,0,named-barrier,128,0,0,0,0,10,1024,4096,1,1024,20,100,2.768736,0.065290,2.599392,62735254.876238,321.204505,64240900993.267685,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,shared,0,named-barrier,128,0,0,0,0,10,1024,4096,1,1024,20,100,2.769120,0.065311,2.593824,62715580.905324,321.103774,64220754847.051689,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,shared,0,named-barrier,128,0,0,0,0,10,1024,4096,1,1024,20,100,2.765344,0.065300,2.607808,62725419.926471,321.154150,64230830004.706726,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,shared,0,named-barrier,128,0,0,0,0,10,1024,4096,1,1024,20,100,2.769792,0.065270,2.604896,62754941.194533,321.305299,64261059783.202034,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,shared,0,named-barrier,256,0,0,0,0,10,1024,4096,1,1024,20,100,2.767136,0.061481,2.593152,66622249.946588,341.105920,68221183945.305748,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,shared,0,named-barrier,256,0,0,0,0,10,1024,4096,1,1024,20,100,2.769120,0.061430,2.596832,66677782.207985,341.390245,68278048980.976204,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,shared,0,named-barrier,256,0,0,0,0,10,1024,4096,1,1024,20,100,2.700640,0.061471,2.595392,66633353.035831,341.162768,68232553508.690674,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,shared,0,named-barrier,256,0,0,0,0,10,1024,4096,1,1024,20,100,2.793760,0.061532,2.608576,66566818.167954,340.822109,68164421803.984917,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,shared,0,named-barrier,256,0,0,0,0,10,1024,4096,1,1024,20,100,2.772096,0.061491,2.602944,66611158.627874,341.049132,68209826434.943298,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,warp-register,0,named-barrier,128,0,0,0,0,10,1024,4096,1,1024,20,100,2.782944,0.044626,2.598048,91785216.331669,469.940308,93988061523.628830,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,warp-register,0,named-barrier,128,0,0,0,0,10,1024,4096,1,1024,20,100,2.817472,0.044677,2.600160,91680037.283321,469.401791,93880358178.120880,0.000000,-1
