batch,logical_subgraphs,execution_groups,logical_partition,execution_partition,materialized_boundaries,trials,kernel_ms,min_kernel_ms,max_kernel_ms
1,2,2,10+10,10+10,1,3,0.14848,0.148378,0.148617
1,3,2,5+5+10,10+10,1,3,0.148924,0.148651,0.149777
1,4,2,5+5+5+5,10+10,1,3,0.149197,0.149163,0.149504
1,5,2,3+3+4+5+5,10+10,1,3,0.14848,0.147934,0.149127
1,6,2,3+3+4+3+3+4,10+10,1,3,0.148548,0.148207,0.149606
1,7,2,2+2+3+3+3+3+4,10+10,1,3,0.148617,0.148173,0.149026
1,8,2,2+2+3+3+2+2+3+3,10+10,1,3,0.149026,0.148958,0.149709
4,2,2,10+10,10+10,1,3,0.365158,0.364817,0.366148
4,3,2,5+5+10,10+10,1,3,0.367172,0.365602,0.367821
4,4,2,5+5+5+5,10+10,1,3,0.366933,0.366285,0.367104
4,5,2,3+3+4+5+5,10+10,1,3,0.366046,0.365056,0.367514
4,6,2,3+3+4+3+3+4,10+10,1,3,0.365636,0.365329,0.368094
4,7,2,2+2+3+3+3+3+4,10+10,1,3,0.366114,0.364476,0.368435
4,8,2,2+2+3+3+2+2+3+3,10+10,1,3,0.365466,0.364681,0.366626
16,2,2,10+10,10+10,1,3,1.154935,1.15241,1.159578
16,3,2,5+5+10,10+10,1,3,1.154048,1.153911,1.158895
16,4,2,5+5+5+5,10+10,1,3,1.145583,1.139473,1.154321
16,5,2,3+3+4+5+5,10+10,1,3,1.159987,1.137869,1.163332
16,6,2,3+3+4+3+3+4,10+10,1,3,1.158212,1.158076,1.159714
16,7,2,2+2+3+3+3+3+4,10+10,1,3,1.156096,1.152546,1.161591
16,8,2,2+2+3+3+2+2+3+3,10+10,1,3,1.154423,1.14688,1.15555
