batch,logical_subgraphs,execution_groups,logical_partition,execution_partition,materialized_boundaries,trials,kernel_ms,min_kernel_ms,max_kernel_ms
1,2,2,10+10,10+10,1,1,0.371302,0.371302,0.371302
1,3,2,5+5+10,10+10,1,1,0.372122,0.372122,0.372122
1,3,3,5+5+10,5+5+10,2,1,0.917299,0.917299,0.917299
1,3,3,6+6+8,6+6+8,2,1,0.490291,0.490291,0.490291
1,4,2,5+5+5+5,10+10,1,1,0.370278,0.370278,0.370278
1,4,3,5+5+5+5,5+5+10,2,1,0.918323,0.918323,0.918323
1,4,4,5+5+5+5,5+5+5+5,3,1,0.956621,0.956621,0.956621
1,5,2,3+3+4+5+5,10+10,1,1,0.372941,0.372941,0.372941
1,5,3,4+4+4+4+4,4+8+8,2,1,1.002086,1.002086,1.002086
1,5,4,4+4+4+4+4,4+4+4+8,3,1,1.882931,1.882931,1.882931
1,5,5,3+3+4+5+5,3+3+4+5+5,4,1,4.182631,4.182631,4.182631
1,5,5,4+4+4+4+4,4+4+4+4+4,4,1,1.906688,1.906688,1.906688
1,6,2,3+3+4+3+3+4,10+10,1,1,0.371712,0.371712,0.371712
1,6,3,3+3+3+3+4+4,3+9+8,2,1,2.296832,2.296832,2.296832
1,6,4,3+3+3+3+4+4,3+3+6+8,3,1,4.086579,4.086579,4.086579
1,6,5,3+3+3+3+4+4,3+3+3+3+8,4,1,4.54103,4.54103,4.54103
1,6,6,3+3+3+3+4+4,3+3+3+3+4+4,5,1,4.247552,4.247552,4.247552
1,6,6,3+3+4+3+3+4,3+3+4+3+3+4,5,1,4.21806,4.21806,4.21806
1,7,2,2+2+3+3+3+3+4,10+10,1,1,0.370483,0.370483,0.370483
1,7,3,2+3+3+3+3+3+3,2+9+9,2,1,5.198438,5.198438,5.198438
1,7,4,2+3+3+3+3+3+3,2+3+6+9,3,1,6.658458,6.658458,6.658458
1,7,5,2+3+3+3+3+3+3,2+3+3+3+9,4,1,7.36256,7.36256,7.36256
1,7,6,2+3+3+3+3+3+3,2+3+3+3+3+6,5,1,7.230464,7.230464,7.230464
1,7,7,2+2+3+3+3+3+4,2+2+3+3+3+3+4,6,1,10.064896,10.064896,10.064896
1,7,7,2+3+3+3+3+3+3,2+3+3+3+3+3+3,6,1,7.269785,7.269785,7.269785
1,8,2,2+2+3+3+2+2+3+3,10+10,1,1,0.370278,0.370278,0.370278
1,8,3,2+2+2+2+3+3+3+3,2+9+9,2,1,5.198848,5.198848,5.198848
1,8,4,2+2+2+2+3+3+3+3,2+2+7+9,3,1,10.746675,10.746675,10.746675
1,8,5,2+2+2+2+3+3+3+3,2+2+2+5+9,4,1,13.770343,13.770343,13.770343
