variant,trial,device,compute_capability,auto_select,selection_target,selected_implementation,selection_confidence,predicted_kernel_ms,selection_reason,backend,stage_space,stage_handoff,flow_tile_log,data_space,role_stages,target_ctas_per_sm,data_time,token_interleave,pipeline_buffers,dataflow_layout,dataflow_state,compute_unit,word_bits,logN,N,batch,modulus,modulus_bits,n1_log,rows_per_block,threads_per_block,hierarchical_core,stage_partition,logical_subgraphs,execution_stage_partition,execution_groups,materialized_boundaries,segment_cores,segment_threads,segment_units,segment_data_space,segment_data_time,segment_role_stages,segment_token_interleave,segment_coefficient_reuse_stages,segment_cta_weights,execution_group_cores,boundary_storage,boundary_buffers,ready_window,packet_readiness,packet_compute_layout,packet_fold_wave_barriers,inverse,warmup,repeat,h2d_ms,kernel_ms,timed_region_wall_ms,host_timing_overhead_ms,appt_producer_weight,appt_tail_weight,appt_writer_weight,appt_fragment_width,appt_writer_tiles,appt_data_time_roles,input_order,output_order,appt_layout_id,d2h_ms,kernel_ntt_s,end_to_end_ntt_s,kernel_points_s,cross_twiddle,mod_multiply,correct
v06_hybrid2d,1,"Tesla V100-SXM2-16GB",7.0,0,"","","",0.000000,"",hybrid2d,0,named-barrier,0,0,0,0,0,0,0,hermes-xor,inplace,radix4,32,12,4096,1,998244353,30,6,4,256,dataflow-radix4,"",0,"",0,0,"","","","","","","","","","","","",0,per-packet,interleaved-rows,0,0,10,50,0.012288,0.007148,0.007290,0.000143,0,0,0,0,0,7,natural,natural,"",0.023520,139908.661458,23279.894553,573065877.330930,fused,shoup,-1
v07_full,1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,12,4096,1,998244353,30,0,0,0,dataflow-radix4,"3+3+3+3",4,"3+3+3+3",4,3,"radix4+radix4+radix4+radix4","256+256+256+256","1+1+1+1","0+0+0+0","0+0+0+0","0+0+0+0","0+0+0+0","0+0+0+0","3+3+3+3","radix4+radix4+radix4+radix4","full-scratch+full-scratch+full-scratch","1+1+1",8,per-packet,interleaved-rows,0,0,10,50,0.012288,0.036516,0.036687,0.000171,0,0,0,0,0,7,natural,natural,"",0.025440,27385.376223,13469.130938,112170501.008249,fused,shoup,-1
v07_resident_generic,1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4-resident-fused-m4-g2","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness; logical subgraphs are lowered into resident physical execution groups",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,12,4096,1,998244353,30,0,0,0,dataflow-radix4,"3+3+3+3",4,"6+6",2,1,"radix4+radix4+radix4+radix4","256+256+256+256","1+1+1+1","0+0+0+0","0+0+0+0","0+0+0+0","0+0+0+0","0+0+0+0","3+3+3+3","radix4+radix4","resident-fused+full-scratch+resident-fused","1+1+1",8,per-packet,interleaved-rows,0,0,10,50,0.012288,0.021565,0.021743,0.000178,0,0,0,0,0,7,natural,natural,"",0.024096,46370.490843,17256.422540,189933530.492906,fused,shoup,-1
v07_resident_core,1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4-resident-fused-m4-g2","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness; logical subgraphs are lowered into resident physical execution groups",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,12,4096,1,998244353,30,0,0,0,dataflow-radix4,"3+3+3+3",4,"6+6",2,1,"radix4+radix4+radix4+radix4","256+256+256+256","1+1+1+1","0+0+0+0","0+0+0+0","0+0+0+0","0+0+0+0","0+0+0+0","3+3+3+3","dataflow-radix4+dataflow-radix4","resident-fused+full-scratch+resident-fused","1+1+1",8,per-packet,interleaved-rows,0,0,10,50,0.012288,0.031560,0.031731,0.000171,0,0,0,0,0,7,natural,natural,"",0.023744,31685.999695,14794.720250,129785854.751629,fused,shoup,-1
v07_full,2,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,12,4096,1,998244353,30,0,0,0,dataflow-radix4,"3+3+3+3",4,"3+3+3+3",4,3,"radix4+radix4+radix4+radix4","256+256+256+256","1+1+1+1","0+0+0+0","0+0+0+0","0+0+0+0","0+0+0+0","0+0+0+0","3+3+3+3","radix4+radix4+radix4+radix4","full-scratch+full-scratch+full-scratch","1+1+1",8,per-packet,interleaved-rows,0,0,10,50,0.011264,0.036393,0.036568,0.000176,0,0,0,0,0,7,natural,natural,"",0.023872,27477.841342,13980.351451,112549238.135803,fused,shoup,-1
v07_resident_generic,2,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4-resident-fused-m4-g2","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness; logical subgraphs are lowered into resident physical execution groups",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,12,4096,1,998244353,30,0,0,0,dataflow-radix4,"3+3+3+3",4,"6+6",2,1,"radix4+radix4+radix4+radix4","256+256+256+256","1+1+1+1","0+0+0+0","0+0+0+0","0+0+0+0","0+0+0+0","0+0+0+0","3+3+3+3","radix4+radix4","resident-fused+full-scratch+resident-fused","1+1+1",8,per-packet,interleaved-rows,0,0,10,50,0.011264,0.021524,0.021699,0.000175,0,0,0,0,0,7,natural,natural,"",0.023776,46458.730617,17678.939130,190294960.607629,fused,shoup,-1
v07_resident_core,2,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4-resident-fused-m4-g2","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness; logical subgraphs are lowered into resident physical execution groups",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,12,4096,1,998244353,30,0,0,0,dataflow-radix4,"3+3+3+3",4,"6+6",2,1,"radix4+radix4+radix4+radix4","256+256+256+256","1+1+1+1","0+0+0+0","0+0+0+0","0+0+0+0","0+0+0+0","0+0+0+0","3+3+3+3","dataflow-radix4+dataflow-radix4","resident-fused+full-scratch+resident-fused","1+1+1",8,per-packet,interleaved-rows,0,0,10,50,0.011264,0.031498,0.031659,0.000161,0,0,0,0,0,7,natural,natural,"",0.023712,31747.807160,15043.421691,130039018.126029,fused,shoup,-1
v06_hybrid2d,2,"Tesla V100-SXM2-16GB",7.0,0,"","","",0.000000,"",hybrid2d,0,named-barrier,0,0,0,0,0,0,0,hermes-xor,inplace,radix4,32,12,4096,1,998244353,30,6,4,256,dataflow-radix4,"",0,"",0,0,"","","","","","","","","","","","",0,per-packet,interleaved-rows,0,0,10,50,0.011264,0.007086,0.007253,0.000166,0,0,0,0,0,7,natural,natural,"",0.022304,141121.757165,24597.777155,578034717.347430,fused,shoup,-1
v07_resident_generic,3,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4-resident-fused-m4-g2","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness; logical subgraphs are lowered into resident physical execution groups",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,12,4096,1,998244353,30,0,0,0,dataflow-radix4,"3+3+3+3",4,"6+6",2,1,"radix4+radix4+radix4+radix4","256+256+256+256","1+1+1+1","0+0+0+0","0+0+0+0","0+0+0+0","0+0+0+0","0+0+0+0","3+3+3+3","radix4+radix4","resident-fused+full-scratch+resident-fused","1+1+1",8,per-packet,interleaved-rows,0,0,10,50,0.011264,0.021545,0.021686,0.000141,0,0,0,0,0,7,natural,natural,"",0.024448,46414.568791,17465.125827,190114073.769705,fused,shoup,-1
v07_resident_core,3,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4-resident-fused-m4-g2","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness; logical subgraphs are lowered into resident physical execution groups",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,12,4096,1,998244353,30,0,0,0,dataflow-radix4,"3+3+3+3",4,"6+6",2,1,"radix4+radix4+radix4+radix4","256+256+256+256","1+1+1+1","0+0+0+0","0+0+0+0","0+0+0+0","0+0+0+0","0+0+0+0","3+3+3+3","dataflow-radix4+dataflow-radix4","resident-fused+full-scratch+resident-fused","1+1+1",8,per-packet,interleaved-rows,0,0,10,50,0.011264,0.031519,0.031682,0.000163,0,0,0,0,0,7,natural,natural,"",0.023200,31727.176647,15155.483159,129954515.546745,fused,shoup,-1
