word_bits,logN,batch,v06_hybrid2d_ms,v06_resident_ms,v06_selected,v06_best_ms,v07_full_ms,v07_resident_generic_ms,v07_resident_core_ms,mg_selected,mg_best_ms,lowering_speedup,core_speedup,mg_best_vs_v06,v07_core_vs_v06,v07_core_vs_v06_resident,trials
32,12,1,0.007127,,v06_hybrid2d,0.007127,0.036516,0.021545,0.031519,v07_resident_generic,0.021545,1.694871199814342,0.6835559503791365,0.3307960083546066,0.2261175798724579,,3
32,12,4,0.007455,,v06_hybrid2d,0.007455,0.053719,0.02175,0.031601,v07_resident_generic,0.02175,2.4698390804597703,0.6882693585646024,0.3427586206896552,0.23591025600455684,,3
32,12,16,0.009093,,v06_hybrid2d,0.009093,0.120709,0.033792,0.041738,v07_resident_generic,0.033792,3.572117660984848,0.8096219272605301,0.26908735795454547,0.2178590253486032,,3
32,14,1,0.008458,,v06_hybrid2d,0.008458,0.075121,0.023634,0.03156,v07_resident_generic,0.023634,3.1785140052466785,0.7488593155893536,0.3578742489633579,0.2679974651457541,,3
32,14,4,0.010342,,v06_hybrid2d,0.010342,0.155013,0.033464,0.035226,v07_resident_generic,0.033464,4.632231651924457,0.9499801283143133,0.30904852976332775,0.293589961959916,,3
32,14,16,0.016589,,v06_hybrid2d,0.016589,0.467948,0.064901,0.070246,v07_resident_generic,0.064901,7.210181661299517,0.9239102582353443,0.25560469022048965,0.23615579534777778,,3
32,16,1,0.012022,,v06_hybrid2d,0.012022,0.122143,0.041185,0.042537,v07_resident_generic,0.041185,2.965715673181984,0.9682159061522909,0.29190239164744447,0.28262453863695136,,3
32,16,4,0.020255,,v06_hybrid2d,0.020255,0.279224,0.079544,0.083149,v07_resident_generic,0.079544,3.5103087599316103,0.9566440967419934,0.25463894196922454,0.24359884063548568,,3
32,16,16,0.053105,,v06_hybrid2d,0.053105,0.895447,0.204083,0.222822,v07_resident_generic,0.204083,4.387660902671953,0.9159014819003509,0.26021275657453097,0.2383292493559882,,3
32,18,1,0.024433,,v06_hybrid2d,0.024433,0.485294,0.112108,0.115282,v07_resident_generic,0.112108,4.3288079352053375,0.9724675144428445,0.21794162771613088,0.21194115299873353,,3
32,18,4,0.061215,,v06_hybrid2d,0.061215,1.196093,0.227533,0.245412,v07_resident_generic,0.227533,5.256789125093943,0.9271470017766044,0.26903789779944004,0.24943768030903135,,3
32,18,16,0.186061,,v06_hybrid2d,0.186061,3.512689,0.66816,0.716964,v07_resident_generic,0.66816,5.257257243773947,0.9319296366344753,0.2784677322796935,0.2595123325578411,,3
32,20,1,0.085914,0.129024,v06_hybrid2d,0.085914,0.957604,0.37034,0.128737,v07_resident_core,0.128737,2.585742830912135,2.876717649160692,0.6673605878651826,0.6673605878651826,1.0022293513131424,3
32,20,4,0.28076,0.310354,v06_hybrid2d,0.28076,2.768507,0.981606,0.309105,v07_resident_core,0.309105,2.8203851647198572,3.1756393458533507,0.9082997686870157,0.9082997686870157,1.0040406981446435,3
