label,device,compute_capability,auto_select,selection_target,selected_implementation,selection_confidence,predicted_kernel_ms,selection_reason,backend,stage_space,stage_handoff,flow_tile_log,data_space,role_stages,target_ctas_per_sm,data_time,token_interleave,pipeline_buffers,dataflow_layout,dataflow_state,compute_unit,word_bits,logN,N,batch,modulus,modulus_bits,n1_log,rows_per_block,threads_per_block,hierarchical_core,stage_partition,segment_cores,segment_threads,segment_units,segment_data_space,segment_data_time,segment_role_stages,segment_token_interleave,segment_coefficient_reuse_stages,segment_cta_weights,boundary_storage,boundary_buffers,ready_window,packet_readiness,packet_compute_layout,packet_fold_wave_barriers,inverse,warmup,repeat,h2d_ms,kernel_ms,timed_region_wall_ms,host_timing_overhead_ms,appt_producer_weight,appt_tail_weight,appt_writer_weight,appt_fragment_width,appt_writer_tiles,appt_data_time_roles,input_order,output_order,appt_layout_id,d2h_ms,kernel_ntt_s,end_to_end_ntt_s,kernel_points_s,cross_twiddle,mod_multiply,correct
m3_p6-6-8_b4_t1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,4,998244353,30,0,0,0,dataflow-radix4,"6+6+8","radix4+radix4+radix4","256+256+256","1+1+1","0+0+0","0+0+0","0+0+0","0+0+0","0+0+0","6+6+8","full-scratch+full-scratch","1+1",8,per-packet,interleaved-rows,0,0,2,5,2.819584,1.783603,1.785417,0.001813,0,0,0,0,0,7,natural,natural,"",2.620064,2242.651141,553.767255,2351590163.075145,fused,shoup,-1
m4_p5-5-5-5_b4_t1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,4,998244353,30,0,0,0,dataflow-radix4,"5+5+5+5","radix4+radix4+radix4+radix4","256+256+256+256","1+1+1+1","0+0+0+0","0+0+0+0","0+0+0+0","0+0+0+0","0+0+0+0","5+5+5+5","full-scratch+full-scratch+full-scratch","1+1+1",8,per-packet,interleaved-rows,0,0,2,5,2.811136,2.948301,2.949935,0.001634,0,0,0,0,0,7,natural,natural,"",2.615488,1356.713653,477.616223,1422617375.157669,fused,shoup,-1
m5_p4-4-4-4-4_b4_t1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,4,998244353,30,0,0,0,dataflow-radix4,"4+4+4+4+4","radix4+radix4+radix4+radix4+radix4","256+256+256+256+256","1+1+1+1+1","0+0+0+0+0","0+0+0+0+0","0+0+0+0+0","0+0+0+0+0","0+0+0+0+0","4+4+4+4+4","full-scratch+full-scratch+full-scratch+full-scratch","1+1+1+1",8,per-packet,interleaved-rows,0,0,2,5,2.809120,5.741773,5.743559,0.001787,0,0,0,0,0,7,natural,natural,"",2.625632,696.648969,357.893006,730489389.679746,fused,shoup,-1
m6_p3-3-3-3-4-4_b4_t1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,4,998244353,30,0,0,0,dataflow-radix4,"3+3+3+3+4+4","radix4+radix4+radix4+radix4+radix4+radix4","256+256+256+256+256+256","1+1+1+1+1+1","0+0+0+0+0+0","0+0+0+0+0+0","0+0+0+0+0+0","0+0+0+0+0+0","0+0+0+0+0+0","3+3+3+3+4+4","full-scratch+full-scratch+full-scratch+full-scratch+full-scratch","1+1+1+1+1",8,per-packet,interleaved-rows,0,0,2,5,2.810432,13.005824,13.007432,0.001608,0,0,0,0,0,7,natural,natural,"",2.628576,307.554521,216.862912,322494289.579944,fused,shoup,-1
m7_p2-3-3-3-3-3-3_b4_t1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,4,998244353,30,0,0,0,dataflow-radix4,"2+3+3+3+3+3+3","radix4+radix4+radix4+radix4+radix4+radix4+radix4","256+256+256+256+256+256+256","1+1+1+1+1+1+1","0+0+0+0+0+0+0","0+0+0+0+0+0+0","0+0+0+0+0+0+0","0+0+0+0+0+0+0","0+0+0+0+0+0+0","2+3+3+3+3+3+3","full-scratch+full-scratch+full-scratch+full-scratch+full-scratch+full-scratch","1+1+1+1+1+1",8,per-packet,interleaved-rows,0,0,2,5,2.806592,23.475201,23.476856,0.001655,0,0,0,0,0,7,natural,natural,"",2.625856,170.392580,138.371684,178669569.729551,fused,shoup,-1
m8_p2-2-2-2-3-3-3-3_b4_t1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,4,998244353,30,0,0,0,dataflow-radix4,"2+2+2+2+3+3+3+3","radix4+radix4+radix4+radix4+radix4+radix4+radix4+radix4","256+256+256+256+256+256+256+256","1+1+1+1+1+1+1+1","0+0+0+0+0+0+0+0","0+0+0+0+0+0+0+0","0+0+0+0+0+0+0+0","0+0+0+0+0+0+0+0","0+0+0+0+0+0+0+0","2+2+2+2+3+3+3+3","full-scratch+full-scratch+full-scratch+full-scratch+full-scratch+full-scratch+full-scratch","1+1+1+1+1+1+1",8,per-packet,interleaved-rows,0,0,2,5,2.804832,28.848537,28.849836,0.001299,0,0,0,0,0,7,natural,natural,"",2.623264,138.655209,116.697575,145390524.839831,fused,shoup,-1
m2_p10-10_b4_t1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,4,998244353,30,0,0,0,dataflow-radix4,"10+10","radix4+radix4","256+256","1+1","0+0","0+0","0+0","0+0","0+0","10+10","full-scratch","1",8,per-packet,interleaved-rows,0,0,2,5,2.808128,1.017242,1.018919,0.001677,0,0,0,0,0,7,natural,natural,"",2.618496,3932.202548,620.745405,4123213218.615530,fused,shoup,-1
m3_p6-6-8_b16_t1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,16,998244353,30,0,0,0,dataflow-radix4,"6+6+8","radix4+radix4+radix4","256+256+256","1+1+1","0+0+0","0+0+0","0+0+0","0+0+0","0+0+0","6+6+8","full-scratch+full-scratch","1+1",8,per-packet,interleaved-rows,0,0,2,5,10.879584,11.519385,11.521054,0.001669,0,0,0,0,0,7,natural,natural,"",10.121728,1388.962999,491.994366,1456433265.141650,fused,shoup,-1
m4_p5-5-5-5_b16_t1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,16,998244353,30,0,0,0,dataflow-radix4,"5+5+5+5","radix4+radix4+radix4+radix4","256+256+256+256","1+1+1+1","0+0+0+0","0+0+0+0","0+0+0+0","0+0+0+0","0+0+0+0","5+5+5+5","full-scratch+full-scratch+full-scratch","1+1+1",8,per-packet,interleaved-rows,0,0,2,5,10.876384,9.560473,9.562196,0.001723,0,0,0,0,0,7,natural,natural,"",10.127008,1673.557287,523.493990,1754852006.194586,fused,shoup,-1
m5_p4-4-4-4-4_b16_t1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,16,998244353,30,0,0,0,dataflow-radix4,"4+4+4+4+4","radix4+radix4+radix4+radix4+radix4","256+256+256+256+256","1+1+1+1+1","0+0+0+0+0","0+0+0+0+0","0+0+0+0+0","0+0+0+0+0","0+0+0+0+0","4+4+4+4+4","full-scratch+full-scratch+full-scratch+full-scratch","1+1+1+1",8,per-packet,interleaved-rows,0,0,2,5,10.875040,17.431553,17.434215,0.002662,0,0,0,0,0,7,natural,natural,"",10.129984,917.875768,416.270160,962462501.694139,fused,shoup,-1
