batch,segment_count,partition,trials,kernel_ms,min_kernel_ms,max_kernel_ms
4,2,10+10,1,1.017242,1.017242,1.017242
4,3,6+6+8,1,1.783603,1.783603,1.783603
4,4,5+5+5+5,1,2.948301,2.948301,2.948301
4,5,4+4+4+4+4,1,5.741773,5.741773,5.741773
4,6,3+3+3+3+4+4,1,13.005824,13.005824,13.005824
4,7,2+3+3+3+3+3+3,1,23.475201,23.475201,23.475201
4,8,2+2+2+2+3+3+3+3,1,28.848537,28.848537,28.848537
16,2,10+10,1,3.704422,3.704422,3.704422
16,3,6+6+8,1,11.519385,11.519385,11.519385
16,4,5+5+5+5,1,9.560473,9.560473,9.560473
16,5,4+4+4+4+4,1,17.431553,17.431553,17.431553
16,6,3+3+3+3+4+4,1,39.270401,39.270401,39.270401
16,7,2+3+3+3+3+3+3,1,84.023087,84.023087,84.023087
16,8,2+2+2+2+3+3+3+3,1,101.388901,101.388901,101.388901
