trial,device,compute_capability,backend,stage_space,stage_handoff,compute_unit,word_bits,logN,N,batch,modulus,modulus_bits,n1_log,rows_per_block,threads_per_block,inverse,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,kernel_ntt_s,end_to_end_ntt_s,kernel_points_s,cross_twiddle,output_order,correct
1,"Tesla V100-SXM2-16GB",7.0,tile256,0,atomic,auto,64,8,256,16384,1152921504606584833,60,0,0,0,0,20,100,5.493824,0.277371,5.117472,59068928.158545,1504683.716496,15121645608.587580,fused,natural,-1
2,"Tesla V100-SXM2-16GB",7.0,tile256,0,atomic,auto,64,8,256,16384,1152921504606584833,60,0,0,0,0,20,100,5.459104,0.277361,5.110112,59071105.158779,1510522.642500,15122202920.647419,fused,natural,-1
3,"Tesla V100-SXM2-16GB",7.0,tile256,0,atomic,auto,64,8,256,16384,1152921504606584833,60,0,0,0,0,20,100,5.457920,0.277381,5.107360,59066744.972530,1511068.166289,15121086712.967772,fused,natural,-1
4,"Tesla V100-SXM2-16GB",7.0,tile256,0,atomic,auto,64,8,256,16384,1152921504606584833,60,0,0,0,0,20,100,5.481152,0.277340,5.112928,59075465.988795,1507070.813327,15123319293.131565,fused,natural,-1
5,"Tesla V100-SXM2-16GB",7.0,tile256,0,atomic,auto,64,8,256,16384,1152921504606584833,60,0,0,0,0,20,100,5.481280,0.277350,5.107808,59073288.667128,1507761.739282,15122761898.784861,fused,natural,-1
1,"Tesla V100-SXM2-16GB",7.0,stage-pipeline,1,atomic,radix2,64,8,256,16384,1152921504606584833,60,0,0,256,0,20,100,5.484096,0.791101,5.112032,20710365.127241,1438804.766567,5301853472.573627,fused,natural,-1
2,"Tesla V100-SXM2-16GB",7.0,stage-pipeline,1,atomic,radix2,64,8,256,16384,1152921504606584833,60,0,0,256,0,20,100,5.483168,0.788029,5.112192,20791101.611837,1439290.089807,5322522012.630266,fused,natural,-1
3,"Tesla V100-SXM2-16GB",7.0,stage-pipeline,1,atomic,radix2,64,8,256,16384,1152921504606584833,60,0,0,256,0,20,100,5.479744,0.787364,5.132256,20808677.555928,1437273.190396,5327021454.317497,fused,natural,-1
4,"Tesla V100-SXM2-16GB",7.0,stage-pipeline,1,atomic,radix2,64,8,256,16384,1152921504606584833,60,0,0,256,0,20,100,5.502976,0.785736,5.120768,20851794.630713,1435998.869121,5338059425.462535,fused,natural,-1
5,"Tesla V100-SXM2-16GB",7.0,stage-pipeline,1,atomic,radix2,64,8,256,16384,1152921504606584833,60,0,0,256,0,20,100,5.467840,0.786063,5.100256,20843103.191056,1442995.401903,5335834416.910279,fused,natural,-1
1,"Tesla V100-SXM2-16GB",7.0,stage-pipeline,2,atomic,radix2,64,8,256,16384,1152921504606584833,60,0,0,256,0,20,100,5.545376,0.484700,5.172544,33802339.895765,1462515.018854,8653399013.315861,fused,natural,-1
2,"Tesla V100-SXM2-16GB",7.0,stage-pipeline,2,atomic,radix2,64,8,256,16384,1152921504606584833,60,0,0,256,0,20,100,5.508032,0.484649,5.147488,33805910.919492,1470713.783203,8654313195.389950,fused,natural,-1
