device,compute_capability,operator,precision,direction,normalization,placement,auto_select,selection_target,selected_implementation,selection_confidence,predicted_kernel_ms,selection_reason,backend,compute_unit,complex_multiply,cross_twiddle,direct_boundary,stage_matrices,decomposition_count,stages_per_decomposition,segment_threads,segment_ept,boundary_twiddles,boundary_layouts,boundary_residencies,execution_group_count,group_threads,group_ept,local_exchange,shared_layout,fft_core,stage_space,stage_handoff,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
"Tesla V100-SXM2-16GB",7.0,structured-2x2,fp32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix4,four-mul,table,direct-strided,1:0.25:-0.5:1,1,8,,,,,,0,,,shared,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,8,256,4,1,256,0,1,0.009216,12.836864,0.021120,311.602573,0.000319,79770.258717,0.000000,1
"Tesla V100-SXM2-16GB",7.0,structured-2x2,fp64,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix4,four-mul,table,direct-strided,1:0.25:-0.5:1,1,8,,,,,,0,,,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,8,256,4,1,256,0,1,0.008192,9.379840,0.019008,426.446511,0.000437,109170.306874,0.000000,1
"Tesla V100-SXM2-16GB",7.0,structured-2x2,fp32,forward,none,out-of-place,0,"","","",0.000000,"",hierarchical,radix8,four-mul,table,direct-strided,1:0.25:-0.5:1,1,12,,,,,,0,,,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,10,0,0,0,12,4096,4,1,4096,0,1,0.030720,10.920960,0.033920,366.268153,0.009001,1500234.353061,0.000000,1
"Tesla V100-SXM2-16GB",7.0,structured-2x2,fp64,forward,none,out-of-place,0,"","","",0.000000,"",hierarchical,radix4,four-mul,table,direct-strided,1:0.25:-0.5:1,1,12,,,,,,0,,,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,10,0,0,0,12,4096,4,1,4096,0,1,0.037696,8.755264,0.047296,456.867991,0.011228,1871331.289595,0.000000,1
"Tesla V100-SXM2-16GB",7.0,structured-2x2,fp32,forward,none,out-of-place,0,"","","",0.000000,"",online-reorder,radix4,four-mul,table,direct-strided,1:0.25:-0.5:1,2,8x8,0x0,8x8,table,direct-strided,global-scratch,2,0x0,8x8,shared,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,8,1,0,0,16,65536,4,1,65536,0,1,0.251360,8.750688,0.303520,457.106936,0.239656,29956960.184992,0.000000,1
"Tesla V100-SXM2-16GB",7.0,structured-2x2,fp64,forward,none,out-of-place,0,"","","",0.000000,"",online-reorder,radix4,four-mul,table,direct-strided,1:0.25:-0.5:1,2,8x8,0x0,8x8,table,direct-strided,global-scratch,2,0x0,8x8,shared,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,8,1,0,0,16,65536,4,1,65536,0,1,0.424448,10.878272,0.436192,367.705457,0.192784,24097944.842393,0.000000,1
"Tesla V100-SXM2-16GB",7.0,structured-2x2,fp32,forward,none,out-of-place,0,"","","",0.000000,"",online-reorder,radix8,four-mul,table,direct-strided,1:0.25:-0.5:1,2,10x10,0x0,8x8,table,direct-strided,global-scratch,2,0x0,8x8,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,10,1,0,0,20,1048576,4,1,1048576,0,1,2.761824,10.245568,2.597344,390.412703,4.093774,409377390.032092,0.000000,1
"Tesla V100-SXM2-16GB",7.0,structured-2x2,fp64,forward,none,out-of-place,0,"","","",0.000000,"",online-reorder,radix8,four-mul,table,direct-strided,1:0.25:-0.5:1,2,10x10,0x0,8x8,table,direct-strided,global-scratch,2,0x0,8x8,shared,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,10,1,0,0,20,1048576,4,1,1048576,0,1,5.466624,12.356864,5.115776,323.706728,3.394311,339431105.522211,0.000000,1
"Tesla V100-SXM2-16GB",7.0,structured-2x2,fp32,inverse,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix4,four-mul,table,direct-strided,1:0.25:-0.5:1,1,8,,,,,,0,,,shared,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,8,256,4,1,256,0,1,0.009216,11.175936,0.019840,357.911864,0.000367,91625.437309,0.000000,1
"Tesla V100-SXM2-16GB",7.0,structured-2x2,fp64,inverse,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix4,four-mul,table,direct-strided,1:0.25:-0.5:1,1,8,,,,,,0,,,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,8,256,4,1,256,0,1,0.008192,9.422848,0.018560,424.500120,0.000435,108672.030729,0.000000,1
