rank,operator,precision,direction,normalization,placement,stage_matrices,logN,N,batch,element_stride,batch_stride,backend,compute_unit,complex_multiply,cross_twiddle,local_exchange,shared_layout,fft_core,stage_space,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,stage_handoff,trials,median_kernel_ms,min_kernel_ms,max_kernel_ms,median_Gbutterfly_s,slowdown_vs_best
1,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,12,4096,1024,1,4096,hierarchical,radix8,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,10,0,0,0,named-barrier,3,0.143954,0.143790,0.148275,174.818609,1.000000
2,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,12,4096,1024,1,4096,hierarchical,radix4,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,10,0,0,0,named-barrier,3,0.145367,0.145326,0.145531,173.119187,1.009816
3,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,12,4096,1024,1,4096,hierarchical,radix8,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,10,0,0,0,named-barrier,3,0.145490,0.145449,0.145572,172.972977,1.010670
4,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,12,4096,1024,1,4096,hierarchical,radix4,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,10,0,0,0,named-barrier,3,0.145592,0.145551,0.145674,172.851319,1.011379
5,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,12,4096,1024,1,4096,hierarchical,radix2,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,10,0,0,0,named-barrier,3,0.150405,0.150262,0.150446,167.320257,1.044813
6,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,12,4096,1024,1,4096,hierarchical,radix2,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,10,0,0,0,named-barrier,3,0.153477,0.153354,0.153539,163.971180,1.066153
7,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,12,4096,1024,1,4096,hierarchical,radix4,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,8,0,0,0,named-barrier,3,0.224666,0.224502,0.224748,112.014587,1.560679
8,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,12,4096,1024,1,4096,hierarchical,radix4,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,8,0,0,0,named-barrier,3,0.227348,0.227287,0.227369,110.692732,1.579310
9,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,12,4096,1024,1,4096,hierarchical,radix8,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,8,0,0,0,named-barrier,3,0.227860,0.227820,0.227881,110.443998,1.582867
10,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,12,4096,1024,1,4096,hierarchical,radix8,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,8,0,0,0,named-barrier,3,0.236646,0.236503,0.236708,106.343575,1.643900
11,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,12,4096,1024,1,4096,hierarchical,radix2,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,8,0,0,0,named-barrier,3,0.236974,0.236954,0.237036,106.196521,1.646179
12,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,12,4096,1024,1,4096,hierarchical,radix2,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,8,0,0,0,named-barrier,3,0.240681,0.240640,0.240763,104.560925,1.671930
13,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,12,4096,1024,1,4096,online-reorder,radix4,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,6,1,0,0,named-barrier,3,0.318587,0.318566,0.318689,78.992027,2.213117
14,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,12,4096,1024,1,4096,online-reorder,radix2,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,6,1,0,0,named-barrier,3,0.320778,0.320758,0.321065,78.452401,2.228337
15,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,12,4096,1024,1,4096,online-reorder,radix8,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,6,1,0,0,named-barrier,3,0.326349,0.326349,0.326513,77.113270,2.267037
16,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,12,4096,1024,1,4096,hierarchical,radix8,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,6,0,0,0,named-barrier,3,0.358830,0.358810,0.358912,70.132986,2.492671
17,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,12,4096,1024,1,4096,hierarchical,radix4,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,6,0,0,0,named-barrier,3,0.359035,0.358932,0.359096,70.092975,2.494095
18,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,12,4096,1024,1,4096,hierarchical,radix2,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,6,0,0,0,named-barrier,3,0.359199,0.359178,0.359219,70.061007,2.495235
19,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,12,4096,1024,1,4096,online-reorder,radix4,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,6,1,0,0,named-barrier,3,0.375767,0.375706,0.375787,66.971880,2.610327
20,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,12,4096,1024,1,4096,hierarchical,radix4,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,6,0,0,0,named-barrier,3,0.391148,0.391045,0.391148,64.338446,2.717174
21,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,12,4096,1024,1,4096,online-reorder,radix2,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,6,1,0,0,named-barrier,3,0.404664,0.404644,0.404787,62.189384,2.811065
22,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,12,4096,1024,1,4096,hierarchical,radix2,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,6,0,0,0,named-barrier,3,0.410829,0.410829,0.410849,61.256236,2.853891
23,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,12,4096,1024,1,4096,hierarchical,radix8,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,6,0,0,0,named-barrier,3,0.421908,0.421888,0.421970,59.647587,2.930853
24,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,12,4096,1024,1,4096,online-reorder,radix8,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,6,1,0,0,named-barrier,3,0.427684,0.427643,0.427745,58.842122,2.970977
25,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,12,4096,1024,1,4096,online-reorder,radix4,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,8,1,0,0,named-barrier,3,0.494572,0.494551,0.494572,50.884093,3.435625
26,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,12,4096,1024,1,4096,online-reorder,radix2,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,8,1,0,0,named-barrier,3,0.496087,0.496005,0.496108,50.728646,3.446149
27,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,12,4096,1024,1,4096,online-reorder,radix8,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,8,1,0,0,named-barrier,3,0.503194,0.503173,0.503194,50.012208,3.495519
28,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,12,4096,1024,1,4096,online-reorder,radix4,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,8,1,0,0,named-barrier,3,0.690094,0.690074,0.690156,36.467238,4.793851
29,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,12,4096,1024,1,4096,online-reorder,radix2,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,8,1,0,0,named-barrier,3,0.767467,0.767386,0.767488,32.790736,5.331335
30,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,12,4096,1024,1,4096,online-reorder,radix8,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,8,1,0,0,named-barrier,3,0.850145,0.850084,0.850166,29.601792,5.905671
31,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,12,4096,1024,1,4096,online-reorder,radix8,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,10,1,0,0,named-barrier,3,1.551852,1.551811,1.558794,16.216644,10.780194
32,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,12,4096,1024,1,4096,online-reorder,radix4,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,10,1,0,0,named-barrier,3,1.551974,1.551933,1.552241,16.215361,10.781041
33,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,12,4096,1024,1,4096,online-reorder,radix2,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,10,1,0,0,named-barrier,3,1.557791,1.555804,1.783460,16.154818,10.821450
34,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,12,4096,1024,1,4096,online-reorder,radix4,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,10,1,0,0,named-barrier,3,1.996616,1.996554,1.999401,12.604240,13.869820
35,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,12,4096,1024,1,4096,online-reorder,radix8,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,10,1,0,0,named-barrier,3,2.150892,2.150830,2.151035,11.700183,14.941523
36,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,12,4096,1024,1,4096,online-reorder,radix2,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,10,1,0,0,named-barrier,3,2.156872,2.156831,2.156954,11.667743,14.983064
1,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,16,65536,64,1,65536,online-reorder,radix4,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,8,1,0,0,named-barrier,3,0.314184,0.314143,0.314184,106.798774,1.000000
2,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,16,65536,64,1,65536,online-reorder,radix4,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,8,1,0,0,named-barrier,3,0.314860,0.314819,0.314880,106.569537,1.002152
