trial,coefficient_policy,device,compute_capability,operator,precision,direction,normalization,placement,auto_select,selection_target,selected_implementation,selection_confidence,predicted_kernel_ms,selection_reason,backend,compute_unit,complex_multiply,cross_twiddle,direct_boundary,stage_matrices,decomposition_count,stages_per_decomposition,segment_threads,segment_ept,boundary_twiddles,boundary_layouts,boundary_residencies,execution_group_count,group_threads,group_ept,local_exchange,shared_layout,fft_core,stage_space,stage_handoff,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
1,broadcast,"Tesla V100-SXM2-16GB",7.0,structured-2x2,fp32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,8,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,32,0,0,8,8,0,0,0,0,0,0,8,256,16384,1,256,20,100,2.779744,0.043448,2.607808,377091699.543576,386.141900,96535475083.155563,0.000000,-1
1,per-stage,"Tesla V100-SXM2-16GB",7.0,structured-2x2,fp32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1,1,8,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,32,0,0,8,8,0,0,0,0,0,0,8,256,16384,1,256,20,100,2.777248,0.043817,2.612160,373919128.482117,382.893188,95723296891.421936,0.000000,-1
2,per-stage,"Tesla V100-SXM2-16GB",7.0,structured-2x2,fp32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1,1,8,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,32,0,0,8,8,0,0,0,0,0,0,8,256,16384,1,256,20,100,2.777824,0.043858,2.605888,373569951.559073,382.535630,95633907599.122742,0.000000,-1
2,broadcast,"Tesla V100-SXM2-16GB",7.0,structured-2x2,fp32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,8,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,32,0,0,8,8,0,0,0,0,0,0,8,256,16384,1,256,20,100,2.761216,0.043387,2.594080,377625675.862015,386.688692,96672173020.675873,0.000000,-1
3,broadcast,"Tesla V100-SXM2-16GB",7.0,structured-2x2,fp32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,8,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,32,0,0,8,8,0,0,0,0,0,0,8,256,16384,1,256,20,100,2.760992,0.043387,2.596096,377625675.862015,386.688692,96672173020.675873,0.000000,-1
3,per-stage,"Tesla V100-SXM2-16GB",7.0,structured-2x2,fp32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1,1,8,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,32,0,0,8,8,0,0,0,0,0,0,8,256,16384,1,256,20,100,2.762816,0.043817,2.594528,373919128.482117,382.893188,95723296891.421936,0.000000,-1
4,per-stage,"Tesla V100-SXM2-16GB",7.0,structured-2x2,fp32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1,1,8,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,32,0,0,8,8,0,0,0,0,0,0,8,256,16384,1,256,20,100,2.761472,0.043817,2.593216,373919128.482117,382.893188,95723296891.421936,0.000000,-1
4,broadcast,"Tesla V100-SXM2-16GB",7.0,structured-2x2,fp32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,8,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,32,0,0,8,8,0,0,0,0,0,0,8,256,16384,1,256,20,100,2.770720,0.043459,2.599264,377002807.184305,386.050875,96512718639.182053,0.000000,-1
5,broadcast,"Tesla V100-SXM2-16GB",7.0,structured-2x2,fp32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,8,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,32,0,0,8,8,0,0,0,0,0,0,8,256,16384,1,256,20,100,2.757856,0.043489,2.595040,376736510.470346,385.778187,96444546680.408569,0.000000,-1
5,per-stage,"Tesla V100-SXM2-16GB",7.0,structured-2x2,fp32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1,1,8,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,32,0,0,8,8,0,0,0,0,0,0,8,256,16384,1,256,20,100,2.771648,0.043786,2.602880,374181487.596798,383.161843,95790460824.780182,0.000000,-1
1,broadcast,"Tesla V100-SXM2-16GB",7.0,structured-2x2,fp32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,10,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,10,1024,4096,1,1024,20,100,2.770656,0.043295,2.599616,94607378.607067,484.389778,96877955693.636765,0.000000,-1
1,per-stage,"Tesla V100-SXM2-16GB",7.0,structured-2x2,fp32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1,1,10,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,10,1024,4096,1,1024,20,100,2.770624,0.047913,2.602656,85488353.979466,437.700372,87540074474.973251,0.000000,-1
2,per-stage,"Tesla V100-SXM2-16GB",7.0,structured-2x2,fp32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1,1,10,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,10,1024,4096,1,1024,20,100,2.757600,0.047923,2.593696,85470092.412909,437.606873,87521374630.818893,0.000000,-1
2,broadcast,"Tesla V100-SXM2-16GB",7.0,structured-2x2,fp32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,10,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,10,1024,4096,1,1024,20,100,2.770848,0.043315,2.605408,94562643.392777,484.160734,96832146834.203812,0.000000,-1
3,broadcast,"Tesla V100-SXM2-16GB",7.0,structured-2x2,fp32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,10,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,10,1024,4096,1,1024,20,100,2.775680,0.043295,2.607008,94607378.607067,484.389778,96877955693.636765,0.000000,-1
3,per-stage,"Tesla V100-SXM2-16GB",7.0,structured-2x2,fp32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1,1,10,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,10,1024,4096,1,1024,20,100,2.758848,0.047759,2.591168,85763290.499930,439.108047,87821609471.928665,0.000000,-1
4,per-stage,"Tesla V100-SXM2-16GB",7.0,structured-2x2,fp32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1,1,10,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,10,1024,4096,1,1024,20,100,2.777312,0.048026,2.603488,85287852.010426,436.673802,87334760458.675781,0.000000,-1
4,broadcast,"Tesla V100-SXM2-16GB",7.0,structured-2x2,fp32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,10,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,10,1024,4096,1,1024,20,100,2.758208,0.043264,2.590144,94674560.846512,484.733752,96946750306.827927,0.000000,-1
