trial,implementation,device,compute_capability,operator,precision,direction,normalization,placement,auto_select,selection_target,selected_implementation,selection_confidence,predicted_kernel_ms,selection_reason,backend,compute_unit,complex_multiply,cross_twiddle,direct_boundary,stage_matrices,decomposition_count,stages_per_decomposition,segment_threads,segment_ept,boundary_twiddles,boundary_layouts,boundary_residencies,execution_group_count,group_threads,group_ept,local_exchange,shared_layout,fft_core,stage_space,stage_handoff,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
1,structured,"Tesla V100-SXM2-16GB",7.0,structured-2x2,fp32,forward,none,out-of-place,0,"","","",0.000000,"",online-reorder,radix8,four-mul,table,direct-strided,1:0.25:-0.5:1,2,10x10,0x0,8x8,table,direct-strided,global-scratch,2,0x0,8x8,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,10,1,0,0,20,1048576,4,1,1048576,50,200,2.765632,0.379361,2.594624,10544.038880,110.562261,11056226112.526329,0.000000,-1
1,fwht,"Tesla V100-SXM2-16GB",7.0,fwht,fp32,forward,none,out-of-place,0,"","","",0.000000,"",online-reorder,radix8,four-mul,table,direct-strided,,2,10x10,0x0,8x8,table,direct-strided,global-scratch,2,0x0,8x8,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,10,1,0,0,20,1048576,4,1,1048576,50,200,2.780320,0.338985,2.603712,11799.934362,123.731280,12373127973.195356,0.000000,-1
2,fwht,"Tesla V100-SXM2-16GB",7.0,fwht,fp32,forward,none,out-of-place,0,"","","",0.000000,"",online-reorder,radix8,four-mul,table,direct-strided,,2,10x10,0x0,8x8,table,direct-strided,global-scratch,2,0x0,8x8,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,10,1,0,0,20,1048576,4,1,1048576,50,200,2.779232,0.339026,2.599488,11798.508099,123.716324,12371632428.437084,0.000000,-1
2,structured,"Tesla V100-SXM2-16GB",7.0,structured-2x2,fp32,forward,none,out-of-place,0,"","","",0.000000,"",online-reorder,radix8,four-mul,table,direct-strided,1:0.25:-0.5:1,2,10x10,0x0,8x8,table,direct-strided,global-scratch,2,0x0,8x8,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,10,1,0,0,20,1048576,4,1,1048576,50,200,2.778560,0.324864,2.603200,12312.844757,129.109535,12910953503.438656,0.000000,-1
3,structured,"Tesla V100-SXM2-16GB",7.0,structured-2x2,fp32,forward,none,out-of-place,0,"","","",0.000000,"",online-reorder,radix8,four-mul,table,direct-strided,1:0.25:-0.5:1,2,10x10,0x0,8x8,table,direct-strided,global-scratch,2,0x0,8x8,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,10,1,0,0,20,1048576,4,1,1048576,50,200,2.786272,0.326303,2.595584,12258.555972,128.540276,12854027586.997126,0.000000,-1
3,fwht,"Tesla V100-SXM2-16GB",7.0,fwht,fp32,forward,none,out-of-place,0,"","","",0.000000,"",online-reorder,radix8,four-mul,table,direct-strided,,2,10x10,0x0,8x8,table,direct-strided,global-scratch,2,0x0,8x8,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,10,1,0,0,20,1048576,4,1,1048576,50,200,2.777120,0.319549,2.599616,12517.624763,131.256809,13125680903.847870,0.000000,-1
4,fwht,"Tesla V100-SXM2-16GB",7.0,fwht,fp32,forward,none,out-of-place,0,"","","",0.000000,"",online-reorder,radix8,four-mul,table,direct-strided,,2,10x10,0x0,8x8,table,direct-strided,global-scratch,2,0x0,8x8,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,10,1,0,0,20,1048576,4,1,1048576,50,200,2.772160,0.319473,2.593632,12520.633975,131.288363,13128836291.322826,0.000000,-1
4,structured,"Tesla V100-SXM2-16GB",7.0,structured-2x2,fp32,forward,none,out-of-place,0,"","","",0.000000,"",online-reorder,radix8,four-mul,table,direct-strided,1:0.25:-0.5:1,2,10x10,0x0,8x8,table,direct-strided,global-scratch,2,0x0,8x8,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,10,1,0,0,20,1048576,4,1,1048576,50,200,2.772800,0.324833,2.622304,12314.008307,129.121736,12912173574.429220,0.000000,-1
5,structured,"Tesla V100-SXM2-16GB",7.0,structured-2x2,fp32,forward,none,out-of-place,0,"","","",0.000000,"",online-reorder,radix8,four-mul,table,direct-strided,1:0.25:-0.5:1,2,10x10,0x0,8x8,table,direct-strided,global-scratch,2,0x0,8x8,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,10,1,0,0,20,1048576,4,1,1048576,50,200,2.783712,0.324859,2.639232,12313.037913,129.111560,12911156042.951597,0.000000,-1
5,fwht,"Tesla V100-SXM2-16GB",7.0,fwht,fp32,forward,none,out-of-place,0,"","","",0.000000,"",online-reorder,radix8,four-mul,table,direct-strided,,2,10x10,0x0,8x8,table,direct-strided,global-scratch,2,0x0,8x8,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,10,1,0,0,20,1048576,4,1,1048576,50,200,2.764512,0.319524,2.593696,12518.627673,131.267325,13126732531.133453,0.000000,-1
6,fwht,"Tesla V100-SXM2-16GB",7.0,fwht,fp32,forward,none,out-of-place,0,"","","",0.000000,"",online-reorder,radix8,four-mul,table,direct-strided,,2,10x10,0x0,8x8,table,direct-strided,global-scratch,2,0x0,8x8,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,10,1,0,0,20,1048576,4,1,1048576,50,200,2.775936,0.320353,2.632608,12486.215625,130.927460,13092746034.831753,0.000000,-1
6,structured,"Tesla V100-SXM2-16GB",7.0,structured-2x2,fp32,forward,none,out-of-place,0,"","","",0.000000,"",online-reorder,radix8,four-mul,table,direct-strided,1:0.25:-0.5:1,2,10x10,0x0,8x8,table,direct-strided,global-scratch,2,0x0,8x8,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,10,1,0,0,20,1048576,4,1,1048576,50,200,2.772960,0.327040,2.605344,12230.920257,128.250494,12825049439.409218,0.000000,-1
7,structured,"Tesla V100-SXM2-16GB",7.0,structured-2x2,fp32,forward,none,out-of-place,0,"","","",0.000000,"",online-reorder,radix8,four-mul,table,direct-strided,1:0.25:-0.5:1,2,10x10,0x0,8x8,table,direct-strided,global-scratch,2,0x0,8x8,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,10,1,0,0,20,1048576,4,1,1048576,50,200,2.812704,0.324823,2.603328,12314.398089,129.125823,12912582290.539570,0.000000,-1
7,fwht,"Tesla V100-SXM2-16GB",7.0,fwht,fp32,forward,none,out-of-place,0,"","","",0.000000,"",online-reorder,radix8,four-mul,table,direct-strided,,2,10x10,0x0,8x8,table,direct-strided,global-scratch,2,0x0,8x8,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,10,1,0,0,20,1048576,4,1,1048576,50,200,2.777472,0.319503,2.602560,12519.429883,131.275737,13127573709.398424,0.000000,-1
8,fwht,"Tesla V100-SXM2-16GB",7.0,fwht,fp32,forward,none,out-of-place,0,"","","",0.000000,"",online-reorder,radix8,four-mul,table,direct-strided,,2,10x10,0x0,8x8,table,direct-strided,global-scratch,2,0x0,8x8,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,10,1,0,0,20,1048576,4,1,1048576,50,200,2.762432,0.319468,2.591136,12520.834875,131.290469,13129046949.385101,0.000000,-1
8,structured,"Tesla V100-SXM2-16GB",7.0,structured-2x2,fp32,forward,none,out-of-place,0,"","","",0.000000,"",online-reorder,radix8,four-mul,table,direct-strided,1:0.25:-0.5:1,2,10x10,0x0,8x8,table,direct-strided,global-scratch,2,0x0,8x8,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,10,1,0,0,20,1048576,4,1,1048576,50,200,2.832320,0.324956,2.604928,12309.352038,129.072911,12907291122.234247,0.000000,-1
9,structured,"Tesla V100-SXM2-16GB",7.0,structured-2x2,fp32,forward,none,out-of-place,0,"","","",0.000000,"",online-reorder,radix8,four-mul,table,direct-strided,1:0.25:-0.5:1,2,10x10,0x0,8x8,table,direct-strided,global-scratch,2,0x0,8x8,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,10,1,0,0,20,1048576,4,1,1048576,50,200,2.774496,0.324920,2.612000,12310.711399,129.087165,12908716516.015936,0.000000,-1
9,fwht,"Tesla V100-SXM2-16GB",7.0,fwht,fp32,forward,none,out-of-place,0,"","","",0.000000,"",online-reorder,radix8,four-mul,table,direct-strided,,2,10x10,0x0,8x8,table,direct-strided,global-scratch,2,0x0,8x8,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,10,1,0,0,20,1048576,4,1,1048576,50,200,2.765824,0.319529,2.595616,12518.426845,131.265219,13126521947.334604,0.000000,-1
10,fwht,"Tesla V100-SXM2-16GB",7.0,fwht,fp32,forward,none,out-of-place,0,"","","",0.000000,"",online-reorder,radix8,four-mul,table,direct-strided,,2,10x10,0x0,8x8,table,direct-strided,global-scratch,2,0x0,8x8,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,10,1,0,0,20,1048576,4,1,1048576,50,200,2.795488,0.319468,2.602976,12520.834875,131.290469,13129046949.385101,0.000000,-1
10,structured,"Tesla V100-SXM2-16GB",7.0,structured-2x2,fp32,forward,none,out-of-place,0,"","","",0.000000,"",online-reorder,radix8,four-mul,table,direct-strided,1:0.25:-0.5:1,2,10x10,0x0,8x8,table,direct-strided,global-scratch,2,0x0,8x8,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,10,1,0,0,20,1048576,4,1,1048576,50,200,2.813536,0.324925,2.597792,12310.517186,129.085129,12908512869.058346,0.000000,-1
