operator,precision,core,coefficient_policy,logN,threads,registers_per_thread,shared_bytes,local_bytes,ctas_per_transform
structured-2x2,fp32,warp-register,broadcast,8,32,35,1024,0,1
structured-2x2,fp32,warp-register,broadcast,10,128,32,4096,0,1
structured-2x2,fp32,warp-register,broadcast,12,256,40,16384,0,1
structured-2x2,fp32,warp-register,broadcast,13,256,64,32768,0,1
structured-2x2,fp32,warp-register,broadcast,14,256,128,32768,0,1
structured-2x2,fp32,warp-register,broadcast,15,256,254,32768,0,1
structured-2x2,fp32,warp-register,per-stage,8,32,58,1024,0,1
structured-2x2,fp32,warp-register,per-stage,10,128,34,4096,0,1
structured-2x2,fp32,warp-register,per-stage,12,256,43,16384,0,1
structured-2x2,fp32,warp-register,per-stage,13,256,76,32768,0,1
structured-2x2,fp32,warp-register,per-stage,14,256,128,32768,0,1
structured-2x2,fp32,warp-register,per-stage,15,256,214,32768,0,1
