trial,device,compute_capability,operator,precision,direction,normalization,placement,auto_select,selection_target,selected_implementation,selection_confidence,predicted_kernel_ms,selection_reason,backend,compute_unit,complex_multiply,cross_twiddle,direct_boundary,stage_matrices,decomposition_count,stages_per_decomposition,segment_threads,segment_ept,boundary_twiddles,boundary_layouts,boundary_residencies,execution_group_count,group_threads,group_ept,local_exchange,shared_layout,fft_core,stage_space,stage_handoff,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
1,Tesla V100-SXM2-16GB,7.0,structured-2x2,fp32,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,8,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,32,0,0,8,8,0,0,0,0,0,0,8,256,16384,1,256,20,100,2.768928,0.043889,2.603680,373308449.006715,382.267852,95566962945.719162,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,structured-2x2,fp32,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,8,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,32,0,0,8,8,0,0,0,0,0,0,8,256,16384,1,256,20,100,2.780448,0.043868,2.607456,373482711.627690,382.446297,95611574176.688568,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,structured-2x2,fp32,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,8,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,32,0,0,8,8,0,0,0,0,0,0,8,256,16384,1,256,20,100,2.763456,0.043858,2.609792,373569951.559073,382.535630,95633907599.122742,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,structured-2x2,fp32,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,8,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,32,0,0,8,8,0,0,0,0,0,0,8,256,16384,1,256,20,100,2.767296,0.043858,2.601248,373569951.559073,382.535630,95633907599.122742,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,structured-2x2,fp32,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,8,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,32,0,0,8,8,0,0,0,0,0,0,8,256,16384,1,256,20,100,2.776768,0.043827,2.612544,373831788.957782,382.803752,95700937973.192184,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,structured-2x2,fp32,inverse,none,out-of-place,0,,,,0.000000,,temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,8,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,32,0,0,8,8,0,0,0,0,0,0,8,256,16384,1,256,20,100,2.763712,0.043848,2.600608,373657168.764154,382.624941,95656235203.623489,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,structured-2x2,fp32,inverse,none,out-of-place,0,,,,0.000000,,temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,8,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,32,0,0,8,8,0,0,0,0,0,0,8,256,16384,1,256,20,100,2.778592,0.043858,2.609664,373569951.559073,382.535630,95633907599.122742,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,structured-2x2,fp32,inverse,none,out-of-place,0,,,,0.000000,,temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,8,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,32,0,0,8,8,0,0,0,0,0,0,8,256,16384,1,256,20,100,2.766304,0.043817,2.601824,373919128.482117,382.893188,95723296891.421936,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,structured-2x2,fp32,inverse,none,out-of-place,0,,,,0.000000,,temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,8,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,32,0,0,8,8,0,0,0,0,0,0,8,256,16384,1,256,20,100,2.768736,0.043868,2.602176,373482711.627690,382.446297,95611574176.688568,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,structured-2x2,fp32,inverse,none,out-of-place,0,,,,0.000000,,temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,8,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,32,0,0,8,8,0,0,0,0,0,0,8,256,16384,1,256,20,100,2.846944,0.043848,2.611296,373657168.764154,382.624941,95656235203.623489,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,structured-2x2,fp32,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,10,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,10,1024,4096,1,1024,20,100,2.761920,0.047882,2.600704,85543192.185784,437.981144,87596228798.242813,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,structured-2x2,fp32,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,10,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,10,1024,4096,1,1024,20,100,2.777760,0.047944,2.608768,85433579.398813,437.419927,87483985304.385010,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,structured-2x2,fp32,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,10,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,10,1024,4096,1,1024,20,100,2.763488,0.047903,2.598784,85506623.351235,437.793912,87558782311.664337,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,structured-2x2,fp32,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,10,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,10,1024,4096,1,1024,20,100,2.779680,0.047872,2.614144,85561498.322483,438.074871,87614974282.222809,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,structured-2x2,fp32,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,10,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,10,1024,4096,1,1024,20,100,2.762240,0.047903,2.600480,85506623.351235,437.793912,87558782311.664337,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,structured-2x2,fp32,inverse,none,out-of-place,0,,,,0.000000,,temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,10,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,10,1024,4096,1,1024,20,100,2.776704,0.047923,2.602048,85470092.412909,437.606873,87521374630.818893,0.000000,-1
