trial,implementation,device,compute_capability,operator,precision,direction,normalization,placement,auto_select,selection_target,selected_implementation,selection_confidence,predicted_kernel_ms,selection_reason,backend,compute_unit,complex_multiply,cross_twiddle,direct_boundary,stage_matrices,decomposition_count,stages_per_decomposition,segment_threads,segment_ept,boundary_twiddles,boundary_layouts,boundary_residencies,execution_group_count,group_threads,group_ept,local_exchange,shared_layout,fft_core,stage_space,stage_handoff,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
1,structured,"Tesla V100-SXM2-16GB",7.0,structured-2x2,fp32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,8,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,32,0,0,8,8,0,0,0,0,0,0,8,256,16384,1,256,20,100,2.770016,0.043766,2.599296,374356566.441289,383.341124,95835281008.970001,0.000000,-1
1,fwht,"Tesla V100-SXM2-16GB",7.0,fwht,fp32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,,1,8,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,32,0,0,8,8,0,0,0,0,0,0,8,256,16384,1,256,20,100,2.785696,0.043151,2.596512,379686758.379071,388.799241,97199810145.042099,0.000000,-1
2,fwht,"Tesla V100-SXM2-16GB",7.0,fwht,fp32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,,1,8,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,32,0,0,8,8,0,0,0,0,0,0,8,256,16384,1,256,20,100,2.776192,0.043100,2.603392,380137770.489105,389.261077,97315269245.210999,0.000000,-1
2,structured,"Tesla V100-SXM2-16GB",7.0,structured-2x2,fp32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,8,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,32,0,0,8,8,0,0,0,0,0,0,8,256,16384,1,256,20,100,2.761632,0.043909,2.596768,373134317.270600,382.089541,95522385221.273529,0.000000,-1
3,structured,"Tesla V100-SXM2-16GB",7.0,structured-2x2,fp32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,8,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,32,0,0,8,8,0,0,0,0,0,0,8,256,16384,1,256,20,100,2.764800,0.043807,2.605088,374006540.632047,382.982698,95745674401.804123,0.000000,-1
3,fwht,"Tesla V100-SXM2-16GB",7.0,fwht,fp32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,,1,8,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,32,0,0,8,8,0,0,0,0,0,0,8,256,16384,1,256,20,100,2.769376,0.043100,2.600352,380137770.489105,389.261077,97315269245.210999,0.000000,-1
4,fwht,"Tesla V100-SXM2-16GB",7.0,fwht,fp32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,,1,8,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,32,0,0,8,8,0,0,0,0,0,0,8,256,16384,1,256,20,100,2.773792,0.043069,2.604640,380408964.816262,389.538780,97384694992.963120,0.000000,-1
4,structured,"Tesla V100-SXM2-16GB",7.0,structured-2x2,fp32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,8,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,32,0,0,8,8,0,0,0,0,0,0,8,256,16384,1,256,20,100,2.761472,0.043837,2.598208,373744458.464538,382.714325,95678581366.921829,0.000000,-1
5,structured,"Tesla V100-SXM2-16GB",7.0,structured-2x2,fp32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,8,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,32,0,0,8,8,0,0,0,0,0,0,8,256,16384,1,256,20,100,2.761856,0.043807,2.598624,374006540.632047,382.982698,95745674401.804123,0.000000,-1
5,fwht,"Tesla V100-SXM2-16GB",7.0,fwht,fp32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,,1,8,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,32,0,0,8,8,0,0,0,0,0,0,8,256,16384,1,256,20,100,2.781344,0.043172,2.611776,379506659.598725,388.614819,97153704857.273514,0.000000,-1
