rank,operator,precision,direction,normalization,placement,stage_matrices,logN,N,batch,element_stride,batch_stride,backend,compute_unit,complex_multiply,cross_twiddle,local_exchange,shared_layout,fft_core,stage_space,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,stage_handoff,trials,median_kernel_ms,min_kernel_ms,max_kernel_ms,median_Gbutterfly_s,slowdown_vs_best
1,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,10,1024,4096,1,1024,hierarchical,radix4,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,8,0,0,0,named-barrier,3,0.136591,0.136561,0.136663,153.534748,1.000000
2,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,10,1024,4096,1,1024,hierarchical,radix4,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,8,0,0,0,named-barrier,3,0.138957,0.138947,0.138988,150.921149,1.017322
3,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,10,1024,4096,1,1024,hierarchical,radix8,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,8,0,0,0,named-barrier,3,0.139643,0.139622,0.139715,150.179659,1.022344
4,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,10,1024,4096,1,1024,hierarchical,radix8,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,8,0,0,0,named-barrier,3,0.148357,0.148316,0.156815,141.358363,1.086140
5,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,10,1024,4096,1,1024,hierarchical,radix2,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,8,0,0,0,named-barrier,3,0.148869,0.148849,0.148951,140.872190,1.089889
6,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,10,1024,4096,1,1024,hierarchical,radix2,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,8,0,0,0,named-barrier,3,0.152443,0.152433,0.152463,137.569685,1.116054
7,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,10,1024,4096,1,1024,hierarchical,radix8,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,6,0,0,0,named-barrier,3,0.286095,0.286075,0.286177,73.302554,2.094538
8,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,10,1024,4096,1,1024,hierarchical,radix4,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,6,0,0,0,named-barrier,3,0.286454,0.286444,0.286474,73.210840,2.097166
9,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,10,1024,4096,1,1024,hierarchical,radix2,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,6,0,0,0,named-barrier,3,0.286710,0.286648,0.286781,73.145471,2.099040
10,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,10,1024,4096,1,1024,hierarchical,radix4,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,6,0,0,0,named-barrier,3,0.320276,0.320184,0.320328,65.479422,2.344781
11,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,10,1024,4096,1,1024,hierarchical,radix2,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,6,0,0,0,named-barrier,3,0.343869,0.343839,0.343910,60.986866,2.517508
12,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,10,1024,4096,1,1024,hierarchical,radix8,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,6,0,0,0,named-barrier,3,0.355328,0.355277,0.355338,59.020174,2.601401
13,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,10,1024,4096,1,1024,online-reorder,radix4,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,6,1,0,0,named-barrier,3,0.494090,0.494039,0.494100,42.444717,3.617295
14,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,10,1024,4096,1,1024,online-reorder,radix2,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,6,1,0,0,named-barrier,3,0.499517,0.499425,0.576440,41.983559,3.657027
15,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,10,1024,4096,1,1024,online-reorder,radix8,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,6,1,0,0,named-barrier,3,0.500787,0.500777,0.500838,41.877109,3.666325
16,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,10,1024,4096,1,1024,online-reorder,radix4,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,6,1,0,0,named-barrier,3,0.714588,0.714568,0.714619,29.347701,5.231589
17,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,10,1024,4096,1,1024,online-reorder,radix2,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,6,1,0,0,named-barrier,3,0.804721,0.804680,0.805233,26.060621,5.891464
18,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,10,1024,4096,1,1024,online-reorder,radix8,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,6,1,0,0,named-barrier,3,0.895990,0.895898,0.897188,23.405981,6.559656
