trial,device,compute_capability,operator,precision,direction,normalization,placement,auto_select,selection_target,selected_implementation,selection_confidence,predicted_kernel_ms,selection_reason,backend,compute_unit,complex_multiply,cross_twiddle,direct_boundary,stage_matrices,decomposition_count,stages_per_decomposition,segment_threads,segment_ept,boundary_twiddles,boundary_layouts,boundary_residencies,execution_group_count,group_threads,group_ept,local_exchange,shared_layout,fft_core,stage_space,stage_handoff,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
1,Tesla V100-SXM2-16GB,7.0,structured-2x2,fp32,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,10,,,,,,0,,,shared,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,10,1024,4096,1,1024,20,100,2.780512,0.069908,2.610752,58590891.324345,299.985364,59997072716.129036,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,structured-2x2,fp32,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,10,,,,,,0,,,shared,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,10,1024,4096,1,1024,20,100,2.764160,0.069929,2.603296,58573730.509777,299.897500,59979500042.011971,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,structured-2x2,fp32,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,10,,,,,,0,,,shared,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,10,1024,4096,1,1024,20,100,2.777472,0.070001,2.604416,58513749.855433,299.590399,59918079851.963860,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,structured-2x2,fp32,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,10,,,,,,0,,,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,10,1024,4096,1,1024,20,100,2.773600,0.068628,2.605536,59683680.801914,305.580446,61116089141.160324,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,structured-2x2,fp32,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,10,,,,,,0,,,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,10,1024,4096,1,1024,20,100,2.764512,0.068608,2.602208,59701491.776322,305.671638,61134327578.953590,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,structured-2x2,fp32,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,10,,,,,,0,,,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,10,1024,4096,1,1024,20,100,2.767968,0.068618,2.602720,59692584.960516,305.626035,61125206999.568291,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,structured-2x2,fp32,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix4,four-mul,table,direct-strided,1:0.25:-0.5:1,1,10,,,,,,0,,,shared,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,10,1024,4096,1,1024,20,100,2.766432,0.061051,2.598144,67091579.237063,343.508886,68701777138.752518,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,structured-2x2,fp32,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix4,four-mul,table,direct-strided,1:0.25:-0.5:1,1,10,,,,,,0,,,shared,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,10,1024,4096,1,1024,20,100,2.765824,0.061051,2.598016,67091579.237063,343.508886,68701777138.752518,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,structured-2x2,fp32,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix4,four-mul,table,direct-strided,1:0.25:-0.5:1,1,10,,,,,,0,,,shared,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,10,1024,4096,1,1024,20,100,2.764352,0.061030,2.597120,67114090.903076,343.624145,68724829084.749527,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,structured-2x2,fp32,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix4,four-mul,table,direct-strided,1:0.25:-0.5:1,1,10,,,,,,0,,,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,10,1024,4096,1,1024,20,100,2.769088,0.060928,2.595712,67226888.549697,344.201669,68840333874.890213,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,structured-2x2,fp32,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix4,four-mul,table,direct-strided,1:0.25:-0.5:1,1,10,,,,,,0,,,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,10,1024,4096,1,1024,20,100,2.768128,0.060918,2.603552,67238194.105532,344.259554,68851910764.065109,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,structured-2x2,fp32,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix4,four-mul,table,direct-strided,1:0.25:-0.5:1,1,10,,,,,,0,,,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,10,1024,4096,1,1024,20,100,2.766144,0.060918,2.603264,67238194.105532,344.259554,68851910764.065109,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,structured-2x2,fp32,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix8,four-mul,table,direct-strided,1:0.25:-0.5:1,1,10,,,,,,0,,,shared,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,10,1024,4096,1,1024,20,100,2.764160,0.061327,2.599104,66789112.753287,341.960257,68392051459.366112,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,structured-2x2,fp32,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix8,four-mul,table,direct-strided,1:0.25:-0.5:1,1,10,,,,,,0,,,shared,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,10,1024,4096,1,1024,20,100,2.763904,0.061338,2.598816,66777961.755065,341.903164,68380632837.186958,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,structured-2x2,fp32,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix8,four-mul,table,direct-strided,1:0.25:-0.5:1,1,10,,,,,,0,,,shared,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,10,1024,4096,1,1024,20,100,2.768288,0.061245,2.600416,66878446.851083,342.417648,68483529575.509377,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,structured-2x2,fp32,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix8,four-mul,table,direct-strided,1:0.25:-0.5:1,1,10,,,,,,0,,,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,10,1024,4096,1,1024,20,100,2.776288,0.060099,2.634976,68154708.484474,348.952107,69790421488.101501,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,structured-2x2,fp32,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix8,four-mul,table,direct-strided,1:0.25:-0.5:1,1,10,,,,,,0,,,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,10,1024,4096,1,1024,20,100,2.776544,0.060047,2.604704,68212825.971100,349.249669,69849933794.406052,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,structured-2x2,fp32,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix8,four-mul,table,direct-strided,1:0.25:-0.5:1,1,10,,,,,,0,,,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,10,1024,4096,1,1024,20,100,2.778304,0.060037,2.635424,68224457.131171,349.309221,69861844102.318604,0.000000,-1
