label,device,compute_capability,auto_select,selection_target,selected_implementation,selection_confidence,predicted_kernel_ms,selection_reason,backend,stage_space,stage_handoff,flow_tile_log,data_space,role_stages,target_ctas_per_sm,data_time,token_interleave,pipeline_buffers,dataflow_layout,dataflow_state,compute_unit,word_bits,logN,N,batch,modulus,modulus_bits,n1_log,rows_per_block,threads_per_block,hierarchical_core,stage_partition,segment_cores,segment_threads,segment_units,segment_data_space,segment_data_time,segment_role_stages,segment_token_interleave,segment_coefficient_reuse_stages,segment_cta_weights,boundary_storage,boundary_buffers,ready_window,packet_readiness,packet_compute_layout,packet_fold_wave_barriers,inverse,warmup,repeat,h2d_ms,kernel_ms,timed_region_wall_ms,host_timing_overhead_ms,appt_producer_weight,appt_tail_weight,appt_writer_weight,appt_fragment_width,appt_writer_tiles,appt_data_time_roles,input_order,output_order,appt_layout_id,d2h_ms,kernel_ntt_s,end_to_end_ntt_s,kernel_points_s,cross_twiddle,mod_multiply,correct
p7-6-7_b1_t1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-three-level-resident-radix4","experimental",0.000000,"intra-transform dependency waves with generated resident radix-4 cores",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"7+6+7","dataflow-radix4+dataflow-radix4+dataflow-radix4","256+256+256","32+32+32","0+0+0","0+0+0","0+0+0","0+0+0","0+0+0","7+6+7","full-scratch+full-scratch","1+1",8,per-packet,interleaved-rows,0,0,2,5,0.805248,0.528794,0.530900,0.002106,0,0,0,0,0,7,natural,natural,"",0.730816,1891.096900,484.294883,1982958822.863526,fused,shoup,1
p7-7-6_b1_t1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-7x7x6-resident-radix4","experimental",0.000000,"intra-transform dependency waves with generated resident radix-4 cores",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"7+7+6","dataflow-radix4+dataflow-radix4+dataflow-radix4","256+256+256","32+32+32","0+0+0","0+0+0","0+0+0","0+0+0","0+0+0","7+7+6","full-scratch+full-scratch","1+1",8,per-packet,interleaved-rows,0,0,2,5,0.800832,0.600678,0.602337,0.001659,0,0,0,0,0,7,natural,natural,"",0.752352,1664.784394,464.282222,1745652960.718560,fused,shoup,1
p6-6-8_b1_t1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-three-level-resident-radix4","experimental",0.000000,"intra-transform dependency waves with generated resident radix-4 cores",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"6+6+8","dataflow-radix4+dataflow-radix4+dataflow-radix4","256+256+256","32+32+32","0+0+0","0+0+0","0+0+0","0+0+0","0+0+0","6+6+8","full-scratch+full-scratch","1+1",8,per-packet,interleaved-rows,0,0,2,5,0.796736,0.476365,0.478134,0.001769,0,0,0,0,0,7,natural,natural,"",0.741568,2099.231551,496.359495,2201203823.089248,fused,shoup,1
p6-8-6_b1_t1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-three-level-resident-radix4","experimental",0.000000,"intra-transform dependency waves with generated resident radix-4 cores",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"6+8+6","dataflow-radix4+dataflow-radix4+dataflow-radix4","256+256+256","32+32+32","0+0+0","0+0+0","0+0+0","0+0+0","0+0+0","6+8+6","full-scratch+full-scratch","1+1",8,per-packet,interleaved-rows,0,0,2,5,0.787072,0.650445,0.652046,0.001601,0,0,0,0,0,7,natural,natural,"",0.733536,1537.409464,460.606022,1612090666.166697,fused,shoup,1
p8-6-6_b1_t1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-three-level-resident-radix4","experimental",0.000000,"intra-transform dependency waves with generated resident radix-4 cores",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"8+6+6","dataflow-radix4+dataflow-radix4+dataflow-radix4","256+256+256","32+32+32","0+0+0","0+0+0","0+0+0","0+0+0","0+0+0","8+6+6","full-scratch+full-scratch","1+1",8,per-packet,interleaved-rows,0,0,2,5,0.780288,0.538419,0.540076,0.001657,0,0,0,0,0,7,natural,natural,"",0.734432,1857.288938,487.059048,1947508605.159980,fused,shoup,1
p6-7-7_b1_t1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-three-level-resident-radix4","experimental",0.000000,"intra-transform dependency waves with generated resident radix-4 cores",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"6+7+7","dataflow-radix4+dataflow-radix4+dataflow-radix4","256+256+256","32+32+32","0+0+0","0+0+0","0+0+0","0+0+0","0+0+0","6+7+7","full-scratch+full-scratch","1+1",8,per-packet,interleaved-rows,0,0,2,5,0.791616,0.572416,0.573942,0.001526,0,0,0,0,0,7,natural,natural,"",0.738816,1746.981194,475.545534,1831842551.967101,fused,shoup,1
p7-6-7_b4_t1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-three-level-resident-radix4","experimental",0.000000,"intra-transform dependency waves with generated resident radix-4 cores",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,4,998244353,30,0,0,0,dataflow-radix4,"7+6+7","dataflow-radix4+dataflow-radix4+dataflow-radix4","256+256+256","32+32+32","0+0+0","0+0+0","0+0+0","0+0+0","0+0+0","7+6+7","full-scratch+full-scratch","1+1",8,per-packet,interleaved-rows,0,0,2,5,2.826368,2.290483,2.292353,0.001870,0,0,0,0,0,7,natural,natural,"",2.621696,1746.356374,516.892878,1831187381.555271,fused,shoup,1
p7-7-6_b4_t1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-7x7x6-resident-radix4","experimental",0.000000,"intra-transform dependency waves with generated resident radix-4 cores",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,4,998244353,30,0,0,0,dataflow-radix4,"7+7+6","dataflow-radix4+dataflow-radix4+dataflow-radix4","256+256+256","32+32+32","0+0+0","0+0+0","0+0+0","0+0+0","0+0+0","7+7+6","full-scratch+full-scratch","1+1",8,per-packet,interleaved-rows,0,0,2,5,2.806496,2.575974,2.577542,0.001568,0,0,0,0,0,7,natural,natural,"",2.620096,1552.810424,499.839655,1628239743.032574,fused,shoup,1
p6-6-8_b4_t1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-three-level-resident-radix4","experimental",0.000000,"intra-transform dependency waves with generated resident radix-4 cores",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,4,998244353,30,0,0,0,dataflow-radix4,"6+6+8","dataflow-radix4+dataflow-radix4+dataflow-radix4","256+256+256","32+32+32","0+0+0","0+0+0","0+0+0","0+0+0","0+0+0","6+6+8","full-scratch+full-scratch","1+1",8,per-packet,interleaved-rows,0,0,2,5,2.813152,1.993728,1.995857,0.002129,0,0,0,0,0,7,natural,natural,"",2.613184,2006.291689,539.078902,2103749314.039443,fused,shoup,1
p6-8-6_b4_t1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-three-level-resident-radix4","experimental",0.000000,"intra-transform dependency waves with generated resident radix-4 cores",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,4,998244353,30,0,0,0,dataflow-radix4,"6+8+6","dataflow-radix4+dataflow-radix4+dataflow-radix4","256+256+256","32+32+32","0+0+0","0+0+0","0+0+0","0+0+0","0+0+0","6+8+6","full-scratch+full-scratch","1+1",8,per-packet,interleaved-rows,0,0,2,5,2.809248,2.659738,2.661383,0.001645,0,0,0,0,0,7,natural,natural,"",2.611616,1503.907761,495.012658,1576961584.684057,fused,shoup,1
