batch,partition,trials,kernel_ms,min_kernel_ms,max_kernel_ms,correct
1,6+6+8,1,0.476365,0.476365,0.476365,1
1,7+6+7,1,0.528794,0.528794,0.528794,1
1,8+6+6,1,0.538419,0.538419,0.538419,1
1,6+7+7,1,0.572416,0.572416,0.572416,1
1,7+7+6,1,0.600678,0.600678,0.600678,1
1,6+8+6,1,0.650445,0.650445,0.650445,1
4,6+6+8,1,1.993728,1.993728,1.993728,1
4,8+6+6,1,2.137088,2.137088,2.137088,1
4,7+6+7,1,2.290483,2.290483,2.290483,1
4,6+7+7,1,2.53481,2.53481,2.53481,1
4,7+7+6,1,2.575974,2.575974,2.575974,1
4,6+8+6,1,2.659738,2.659738,2.659738,1
