case_id,variant,trial,device,compute_capability,auto_select,selection_target,selected_implementation,selection_confidence,predicted_kernel_ms,selection_reason,backend,stage_space,stage_handoff,flow_tile_log,data_space,role_stages,target_ctas_per_sm,data_time,token_interleave,pipeline_buffers,dataflow_layout,dataflow_state,compute_unit,word_bits,logN,N,batch,modulus,modulus_bits,n1_log,rows_per_block,threads_per_block,hierarchical_core,stage_partition,logical_subgraphs,execution_stage_partition,execution_groups,materialized_boundaries,segment_cores,segment_threads,segment_units,segment_data_space,segment_data_time,segment_role_stages,segment_token_interleave,segment_coefficient_reuse_stages,segment_cta_weights,execution_group_cores,boundary_storage,boundary_buffers,ready_window,packet_readiness,packet_compute_layout,packet_fold_wave_barriers,inverse,warmup,repeat,h2d_ms,kernel_ms,timed_region_wall_ms,host_timing_overhead_ms,appt_producer_weight,appt_tail_weight,appt_writer_weight,appt_fragment_width,appt_writer_tiles,appt_data_time_roles,input_order,output_order,appt_layout_id,d2h_ms,kernel_ntt_s,end_to_end_ntt_s,kernel_points_s,cross_twiddle,mod_multiply,correct
n12_u32,hybrid2d_b80,1,"Tesla V100-SXM2-16GB",7.0,0,"","","",0.000000,"",hybrid2d,0,named-barrier,0,0,0,0,0,0,0,hermes-xor,inplace,radix4,32,12,4096,80,1073479681,30,6,4,256,dataflow-radix4,"",0,"",0,0,"","","","","","","","","","","","",0,per-packet,interleaved-rows,0,0,30,500,0.325408,0.018872,0.018889,0.000016,0,0,0,0,0,7,natural,natural,"",0.281696,4239012.333202,127800.360688,17362994516.794315,fused,shoup,-1
n12_u32,hybrid_td6_b80,1,"Tesla V100-SXM2-16GB",7.0,0,"","","",0.000000,"",hybrid-dataflow,6,named-barrier,6,32,6,1,6,1,2,hermes-xor,inplace,radix4,32,12,4096,80,1073479681,30,0,0,256,dataflow-radix4,"",0,"",0,0,"","","","","","","","","","","","",0,per-packet,interleaved-rows,0,0,30,500,0.333344,0.017906,0.017925,0.000019,0,0,0,0,0,7,natural,natural,"",0.285696,4467860.077416,125599.408249,18300354877.094940,fused,shoup,-1
n12_u32,hybrid_td12_b80,1,"Tesla V100-SXM2-16GB",7.0,0,"","","",0.000000,"",hybrid-dataflow,6,named-barrier,6,32,6,1,12,1,2,hermes-xor,inplace,radix4,32,12,4096,80,1073479681,30,0,0,256,dataflow-radix4,"",0,"",0,0,"","","","","","","","","","","","",0,per-packet,interleaved-rows,0,0,30,500,0.330560,0.017902,0.017921,0.000020,0,0,0,0,0,7,natural,natural,"",0.290944,4468882.343265,125116.206268,18304542078.011776,fused,shoup,-1
n12_u32,hybrid2d_b80,2,"Tesla V100-SXM2-16GB",7.0,0,"","","",0.000000,"",hybrid2d,0,named-barrier,0,0,0,0,0,0,0,hermes-xor,inplace,radix4,32,12,4096,80,1073479681,30,6,4,256,dataflow-radix4,"",0,"",0,0,"","","","","","","","","","","","",0,per-packet,interleaved-rows,0,0,30,500,0.326208,0.018872,0.018887,0.000015,0,0,0,0,0,7,natural,natural,"",0.285472,4239012.333202,126872.897380,17362994516.794315,fused,shoup,-1
n12_u32,hybrid_td6_b80,2,"Tesla V100-SXM2-16GB",7.0,0,"","","",0.000000,"",hybrid-dataflow,6,named-barrier,6,32,6,1,6,1,2,hermes-xor,inplace,radix4,32,12,4096,80,1073479681,30,0,0,256,dataflow-radix4,"",0,"",0,0,"","","","","","","","","","","","",0,per-packet,interleaved-rows,0,0,30,500,0.337024,0.017895,0.017915,0.000020,0,0,0,0,0,7,natural,natural,"",0.284800,4470416.386808,125054.824613,18310825520.366154,fused,shoup,-1
n12_u32,hybrid_td12_b80,2,"Tesla V100-SXM2-16GB",7.0,0,"","","",0.000000,"",hybrid-dataflow,6,named-barrier,6,32,6,1,12,1,2,hermes-xor,inplace,radix4,32,12,4096,80,1073479681,30,0,0,256,dataflow-radix4,"",0,"",0,0,"","","","","","","","","","","","",0,per-packet,interleaved-rows,0,0,30,500,0.325984,0.017908,0.017927,0.000019,0,0,0,0,0,7,natural,natural,"",0.274528,4467348.887523,129361.982866,18298261043.293571,fused,shoup,-1
n12_u32,hybrid2d_b80,3,"Tesla V100-SXM2-16GB",7.0,0,"","","",0.000000,"",hybrid2d,0,named-barrier,0,0,0,0,0,0,0,hermes-xor,inplace,radix4,32,12,4096,80,1073479681,30,6,4,256,dataflow-radix4,"",0,"",0,0,"","","","","","","","","","","","",0,per-packet,interleaved-rows,0,0,30,500,0.329024,0.018868,0.018888,0.000020,0,0,0,0,0,7,natural,natural,"",0.310688,4239932.966100,121473.436547,17366765429.145691,fused,shoup,-1
n12_u32,hybrid_td6_b80,3,"Tesla V100-SXM2-16GB",7.0,0,"","","",0.000000,"",hybrid-dataflow,6,named-barrier,6,32,6,1,6,1,2,hermes-xor,inplace,radix4,32,12,4096,80,1073479681,30,0,0,256,dataflow-radix4,"",0,"",0,0,"","","","","","","","","","","","",0,per-packet,interleaved-rows,0,0,30,500,0.334464,0.017908,0.017928,0.000021,0,0,0,0,0,7,natural,natural,"",0.281568,4467348.887523,126194.964378,18298261043.293571,fused,shoup,-1
n12_u32,hybrid_td12_b80,3,"Tesla V100-SXM2-16GB",7.0,0,"","","",0.000000,"",hybrid-dataflow,6,named-barrier,6,32,6,1,12,1,2,hermes-xor,inplace,radix4,32,12,4096,80,1073479681,30,0,0,256,dataflow-radix4,"",0,"",0,0,"","","","","","","","","","","","",0,per-packet,interleaved-rows,0,0,30,500,0.333024,0.017893,0.017914,0.000021,0,0,0,0,0,7,natural,natural,"",0.300640,4470928.278998,122782.743560,18312922230.775978,fused,shoup,-1
n12_u32,hybrid2d_b160,1,"Tesla V100-SXM2-16GB",7.0,0,"","","",0.000000,"",hybrid2d,0,named-barrier,0,0,0,0,0,0,0,hermes-xor,inplace,radix4,32,12,4096,160,1073479681,30,6,4,256,dataflow-radix4,"",0,"",0,0,"","","","","","","","","","","","",0,per-packet,interleaved-rows,0,0,30,500,0.560768,0.031316,0.031335,0.000019,0,0,0,0,0,7,natural,natural,"",0.459968,5109214.661928,152083.740728,20927343255.257118,fused,shoup,-1
n12_u32,hybrid_td6_b160,1,"Tesla V100-SXM2-16GB",7.0,0,"","","",0.000000,"",hybrid-dataflow,6,named-barrier,6,32,6,1,6,1,2,hermes-xor,inplace,radix4,32,12,4096,160,1073479681,30,0,0,256,dataflow-radix4,"",0,"",0,0,"","","","","","","","","","","","",0,per-packet,interleaved-rows,0,0,30,500,0.564448,0.027677,0.027698,0.000021,0,0,0,0,0,7,natural,natural,"",0.458592,5781041.936092,152277.017027,23679147770.231785,fused,shoup,-1
n12_u32,hybrid_td12_b160,1,"Tesla V100-SXM2-16GB",7.0,0,"","","",0.000000,"",hybrid-dataflow,6,named-barrier,6,32,6,1,12,1,2,hermes-xor,inplace,radix4,32,12,4096,160,1073479681,30,0,0,256,dataflow-radix4,"",0,"",0,0,"","","","","","","","","","","","",0,per-packet,interleaved-rows,0,0,30,500,0.556736,0.027673,0.027692,0.000020,0,0,0,0,0,7,natural,natural,"",0.453792,5781897.227913,154112.802208,23682651045.529789,fused,shoup,-1
n12_u32,hybrid2d_b160,2,"Tesla V100-SXM2-16GB",7.0,0,"","","",0.000000,"",hybrid2d,0,named-barrier,0,0,0,0,0,0,0,hermes-xor,inplace,radix4,32,12,4096,160,1073479681,30,6,4,256,dataflow-radix4,"",0,"",0,0,"","","","","","","","","","","","",0,per-packet,interleaved-rows,0,0,30,500,0.563552,0.031322,0.031343,0.000021,0,0,0,0,0,7,natural,natural,"",0.467392,5108212.624577,150621.389011,20923238910.266632,fused,shoup,-1
n12_u32,hybrid_td6_b160,2,"Tesla V100-SXM2-16GB",7.0,0,"","","",0.000000,"",hybrid-dataflow,6,named-barrier,6,32,6,1,6,1,2,hermes-xor,inplace,radix4,32,12,4096,160,1073479681,30,0,0,256,dataflow-radix4,"",0,"",0,0,"","","","","","","","","","","","",0,per-packet,interleaved-rows,0,0,30,500,0.553472,0.027761,0.027781,0.000021,0,0,0,0,0,7,natural,natural,"",0.461760,5763555.927718,153404.726353,23607525079.933548,fused,shoup,-1
n12_u32,hybrid_td12_b160,2,"Tesla V100-SXM2-16GB",7.0,0,"","","",0.000000,"",hybrid-dataflow,6,named-barrier,6,32,6,1,12,1,2,hermes-xor,inplace,radix4,32,12,4096,160,1073479681,30,0,0,256,dataflow-radix4,"",0,"",0,0,"","","","","","","","","","","","",0,per-packet,interleaved-rows,0,0,30,500,0.566752,0.027671,0.027690,0.000019,0,0,0,0,0,7,natural,natural,"",0.468288,5782325.357972,150558.399978,23684404666.252274,fused,shoup,-1
n12_u32,hybrid2d_b160,3,"Tesla V100-SXM2-16GB",7.0,0,"","","",0.000000,"",hybrid2d,0,named-barrier,0,0,0,0,0,0,0,hermes-xor,inplace,radix4,32,12,4096,160,1073479681,30,6,4,256,dataflow-radix4,"",0,"",0,0,"","","","","","","","","","","","",0,per-packet,interleaved-rows,0,0,30,500,0.555712,0.031320,0.031341,0.000021,0,0,0,0,0,7,natural,natural,"",0.457248,5108546.188270,153215.605014,20924605187.153820,fused,shoup,-1
n12_u32,hybrid_td6_b160,3,"Tesla V100-SXM2-16GB",7.0,0,"","","",0.000000,"",hybrid-dataflow,6,named-barrier,6,32,6,1,6,1,2,hermes-xor,inplace,radix4,32,12,4096,160,1073479681,30,0,0,256,dataflow-radix4,"",0,"",0,0,"","","","","","","","","","","","",0,per-packet,interleaved-rows,0,0,30,500,0.561408,0.027689,0.027710,0.000021,0,0,0,0,0,7,natural,natural,"",0.459808,5778476.412033,152540.039308,23668639383.685478,fused,shoup,-1
n12_u32,hybrid_td12_b160,3,"Tesla V100-SXM2-16GB",7.0,0,"","","",0.000000,"",hybrid-dataflow,6,named-barrier,6,32,6,1,12,1,2,hermes-xor,inplace,radix4,32,12,4096,160,1073479681,30,0,0,256,dataflow-radix4,"",0,"",0,0,"","","","","","","","","","","","",0,per-packet,interleaved-rows,0,0,30,500,0.556384,0.027677,0.027693,0.000016,0,0,0,0,0,7,natural,natural,"",0.454080,5781041.936092,154121.693148,23679147770.231785,fused,shoup,-1
n12_u32,hybrid2d_b256,1,"Tesla V100-SXM2-16GB",7.0,0,"","","",0.000000,"",hybrid2d,0,named-barrier,0,0,0,0,0,0,0,hermes-xor,inplace,radix4,32,12,4096,256,1073479681,30,6,4,256,dataflow-radix4,"",0,"",0,0,"","","","","","","","","","","","",0,per-packet,interleaved-rows,0,0,30,500,0.821600,0.048923,0.048942,0.000019,0,0,0,0,0,7,natural,natural,"",0.745312,5232752.799662,158432.055394,21433355467.415932,fused,shoup,-1
n12_u32,hybrid_td6_b256,1,"Tesla V100-SXM2-16GB",7.0,0,"","","",0.000000,"",hybrid-dataflow,6,named-barrier,6,32,6,1,6,1,2,hermes-xor,inplace,radix4,32,12,4096,256,1073479681,30,0,0,256,dataflow-radix4,"",0,"",0,0,"","","","","","","","","","","","",0,per-packet,interleaved-rows,0,0,30,500,0.814880,0.057309,0.057331,0.000022,0,0,0,0,0,7,natural,natural,"",0.728000,4466997.802691,159981.083946,18296822999.822216,fused,shoup,-1
n12_u32,hybrid_td12_b256,1,"Tesla V100-SXM2-16GB",7.0,0,"","","",0.000000,"",hybrid-dataflow,6,named-barrier,6,32,6,1,12,1,2,hermes-xor,inplace,radix4,32,12,4096,256,1073479681,30,0,0,256,dataflow-radix4,"",0,"",0,0,"","","","","","","","","","","","",0,per-packet,interleaved-rows,0,0,30,500,0.816128,0.056891,0.056911,0.000020,0,0,0,0,0,7,natural,natural,"",0.728992,4499801.936226,159799.113164,18431188730.782043,fused,shoup,-1
n12_u32,hybrid2d_b256,2,"Tesla V100-SXM2-16GB",7.0,0,"","","",0.000000,"",hybrid2d,0,named-barrier,0,0,0,0,0,0,0,hermes-xor,inplace,radix4,32,12,4096,256,1073479681,30,6,4,256,dataflow-radix4,"",0,"",0,0,"","","","","","","","","","","","",0,per-packet,interleaved-rows,0,0,30,500,0.820544,0.048912,0.048932,0.000019,0,0,0,0,0,7,natural,natural,"",0.729344,5233848.385103,160120.050167,21437842985.383041,fused,shoup,-1
n12_u32,hybrid_td6_b256,2,"Tesla V100-SXM2-16GB",7.0,0,"","","",0.000000,"",hybrid-dataflow,6,named-barrier,6,32,6,1,6,1,2,hermes-xor,inplace,radix4,32,12,4096,256,1073479681,30,0,0,256,dataflow-radix4,"",0,"",0,0,"","","","","","","","","","","","",0,per-packet,interleaved-rows,0,0,30,500,0.818976,0.056889,0.056911,0.000022,0,0,0,0,0,7,natural,natural,"",0.731488,4499963.999752,159268.032147,18431852542.983986,fused,shoup,-1
n12_u32,hybrid_td12_b256,2,"Tesla V100-SXM2-16GB",7.0,0,"","","",0.000000,"",hybrid-dataflow,6,named-barrier,6,32,6,1,12,1,2,hermes-xor,inplace,radix4,32,12,4096,256,1073479681,30,0,0,256,dataflow-radix4,"",0,"",0,0,"","","","","","","","","","","","",0,per-packet,interleaved-rows,0,0,30,500,0.815712,0.056949,0.056971,0.000022,0,0,0,0,0,7,natural,natural,"",0.727872,4495271.244521,159946.745558,18412631017.559101,fused,shoup,-1
n12_u32,hybrid2d_b256,3,"Tesla V100-SXM2-16GB",7.0,0,"","","",0.000000,"",hybrid2d,0,named-barrier,0,0,0,0,0,0,0,hermes-xor,inplace,radix4,32,12,4096,256,1073479681,30,6,4,256,dataflow-radix4,"",0,"",0,0,"","","","","","","","","","","","",0,per-packet,interleaved-rows,0,0,30,500,0.787744,0.048908,0.048924,0.000015,0,0,0,0,0,7,natural,natural,"",0.726176,5234286.907221,163805.583013,21439639171.978252,fused,shoup,-1
n12_u32,hybrid_td6_b256,3,"Tesla V100-SXM2-16GB",7.0,0,"","","",0.000000,"",hybrid-dataflow,6,named-barrier,6,32,6,1,6,1,2,hermes-xor,inplace,radix4,32,12,4096,256,1073479681,30,0,0,256,dataflow-radix4,"",0,"",0,0,"","","","","","","","","","","","",0,per-packet,interleaved-rows,0,0,30,500,0.816416,0.056918,0.056939,0.000021,0,0,0,0,0,7,natural,natural,"",0.728512,4497697.349657,159815.609931,18422568344.193752,fused,shoup,-1
n12_u32,hybrid_td12_b256,3,"Tesla V100-SXM2-16GB",7.0,0,"","","",0.000000,"",hybrid-dataflow,6,named-barrier,6,32,6,1,12,1,2,hermes-xor,inplace,radix4,32,12,4096,256,1073479681,30,0,0,256,dataflow-radix4,"",0,"",0,0,"","","","","","","","","","","","",0,per-packet,interleaved-rows,0,0,30,500,0.821120,0.056949,0.056969,0.000020,0,0,0,0,0,7,natural,natural,"",0.730112,4495271.244521,159186.084286,18412631017.559101,fused,shoup,-1
n12_u32,hybrid2d_b512,1,"Tesla V100-SXM2-16GB",7.0,0,"","","",0.000000,"",hybrid2d,0,named-barrier,0,0,0,0,0,0,0,hermes-xor,inplace,radix4,32,12,4096,512,1073479681,30,6,4,256,dataflow-radix4,"",0,"",0,0,"","","","","","","","","","","","",0,per-packet,interleaved-rows,0,0,30,500,1.510848,0.085256,0.085276,0.000020,0,0,0,0,0,7,natural,natural,"",1.357280,6005428.586635,173360.441886,24598235490.854980,fused,shoup,-1
n12_u32,hybrid_td6_b512,1,"Tesla V100-SXM2-16GB",7.0,0,"","","",0.000000,"",hybrid-dataflow,6,named-barrier,6,32,6,1,6,1,2,hermes-xor,inplace,radix4,32,12,4096,512,1073479681,30,0,0,256,dataflow-radix4,"",0,"",0,0,"","","","","","","","","","","","",0,per-packet,interleaved-rows,0,0,30,500,1.500384,0.099375,0.099395,0.000020,0,0,0,0,0,7,natural,natural,"",1.356128,5152195.741744,173213.654699,21103393758.182491,fused,shoup,-1
n12_u32,hybrid_td12_b512,1,"Tesla V100-SXM2-16GB",7.0,0,"","","",0.000000,"",hybrid-dataflow,6,named-barrier,6,32,6,1,12,1,2,hermes-xor,inplace,radix4,32,12,4096,512,1073479681,30,0,0,256,dataflow-radix4,"",0,"",0,0,"","","","","","","","","","","","",0,per-packet,interleaved-rows,0,0,30,500,1.516640,0.098488,0.098509,0.000020,0,0,0,0,0,7,natural,natural,"",1.358240,5198586.198919,172195.285996,21293409070.774086,fused,shoup,-1
n12_u32,hybrid2d_b512,2,"Tesla V100-SXM2-16GB",7.0,0,"","","",0.000000,"",hybrid2d,0,named-barrier,0,0,0,0,0,0,0,hermes-xor,inplace,radix4,32,12,4096,512,1073479681,30,6,4,256,dataflow-radix4,"",0,"",0,0,"","","","","","","","","","","","",0,per-packet,interleaved-rows,0,0,30,500,1.508864,0.085316,0.085333,0.000018,0,0,0,0,0,7,natural,natural,"",1.358368,6001248.179701,173409.562631,24581112544.053970,fused,shoup,-1
n12_u32,hybrid_td6_b512,2,"Tesla V100-SXM2-16GB",7.0,0,"","","",0.000000,"",hybrid-dataflow,6,named-barrier,6,32,6,1,6,1,2,hermes-xor,inplace,radix4,32,12,4096,512,1073479681,30,0,0,256,dataflow-radix4,"",0,"",0,0,"","","","","","","","","","","","",0,per-packet,interleaved-rows,0,0,30,500,1.506304,0.097958,0.097979,0.000021,0,0,0,0,0,7,natural,natural,"",1.357472,5226735.865363,172871.711306,21408710104.528366,fused,shoup,-1
n12_u32,hybrid_td12_b512,2,"Tesla V100-SXM2-16GB",7.0,0,"","","",0.000000,"",hybrid-dataflow,6,named-barrier,6,32,6,1,12,1,2,hermes-xor,inplace,radix4,32,12,4096,512,1073479681,30,0,0,256,dataflow-radix4,"",0,"",0,0,"","","","","","","","","","","","",0,per-packet,interleaved-rows,0,0,30,500,1.502080,0.098343,0.098362,0.000019,0,0,0,0,0,7,natural,natural,"",1.370848,5206272.601358,172316.840826,21324892575.160526,fused,shoup,-1
