case_id,group,trial,implementation,reference,runner,device,operator,precision,direction,normalization,placement,output_order,logN,N,batch,modulus,modulus_bits,warmup,repeat,backend,kernel_ms,throughput_s,correct
fwht15_dao_b256,fwht15-batch256,5,Dao-AILab-FHT,0,dao-fht,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,15,32768,256,,,1000,100,dao-fast-hadamard-transform-sm70-local,0.117606,2176752.258873,1
ntt20_cub_b16,ntt20-batch16,4,cuNTT-compact-stage,1,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,bit-reversed,20,1048576,16,576460756061519873,60,1000,100,compact-stage,1.315605,12161.705071,1
ntt20_gpuntt_b2,ntt20-batch2,3,GPU-NTT-Merge-native,0,gpuntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,bit-reversed,20,1048576,2,576460756061519873,60,1000,100,GPU-NTT-Merge,0.20393,9807.31,1
fwht8_dao_b65536,fwht8-batch65536,2,Dao-AILab-FHT,0,dao-fht,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,8,256,65536,,,1000,100,dao-fast-hadamard-transform-sm70-local,0.164506,398381584.149301,1
fwht8_warp_b4096,fwht8-batch4096,5,cuButterfly-warp-register,1,butterfly,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,8,256,4096,,,1000,100,temporal-tile,0.011233,364630828.133019,1
fwht15_dao_b4,fwht15-batch4,1,Dao-AILab-FHT,0,dao-fht,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,15,32768,4,,,1000,100,dao-fast-hadamard-transform-sm70-local,0.015401,259724.061638,1
fwht15_dao_b16,fwht15-batch16,2,Dao-AILab-FHT,0,dao-fht,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,15,32768,16,,,1000,100,dao-fast-hadamard-transform-sm70-local,0.015462,1034768.230582,1
ntt20_cub_b16,ntt20-batch16,1,cuNTT-compact-stage,1,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,bit-reversed,20,1048576,16,576460756061519873,60,1000,100,compact-stage,1.311406,12200.645719,1
ntt16_cub_b4,ntt16-batch4,2,cuNTT-Hybrid2D-radix4,1,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,16,65536,4,576460756061519873,60,1000,100,hybrid2d,0.029737,134512.560110,1
ntt20_gpuntt_b4,ntt20-batch4,3,GPU-NTT-Merge-native,0,gpuntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,bit-reversed,20,1048576,4,576460756061519873,60,1000,100,GPU-NTT-Merge,0.399534,10011.7,1
ntt16_cub_b256,ntt16-batch256,5,cuNTT-Hybrid2D-radix4,1,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,16,65536,256,576460756061519873,60,1000,100,hybrid2d,1.066465,240045.383580,1
fwht8_dao_b65536,fwht8-batch65536,3,Dao-AILab-FHT,0,dao-fht,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,8,256,65536,,,1000,100,dao-fast-hadamard-transform-sm70-local,0.164598,398158518.681436,1
fwht8_dao_b65536,fwht8-batch65536,1,Dao-AILab-FHT,0,dao-fht,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,8,256,65536,,,1000,100,dao-fast-hadamard-transform-sm70-local,0.164495,398406389.763614,1
fwht15_dao_b512,fwht15-batch512,2,Dao-AILab-FHT,0,dao-fht,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,15,32768,512,,,1000,100,dao-fast-hadamard-transform-sm70-local,0.207831,2463539.620489,1
fwht15_warp_b512,fwht15-batch512,3,cuButterfly-warp-register,1,butterfly,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,15,32768,512,,,1000,100,temporal-tile,0.192891,2654350.651198,1
fwht8_dao_b65536,fwht8-batch65536,4,Dao-AILab-FHT,0,dao-fht,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,8,256,65536,,,1000,100,dao-fast-hadamard-transform-sm70-local,0.164454,398505596.900633,1
ntt16_gpuntt_b64,ntt16-batch64,1,GPU-NTT-Merge-natural,0,gpuntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,16,65536,64,576460756061519873,60,1000,100,GPU-NTT-Merge,0.385198,166148,1
ntt20_cub_b4,ntt20-batch4,3,cuNTT-compact-stage,1,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,bit-reversed,20,1048576,4,576460756061519873,60,1000,100,compact-stage,0.341760,11704.119850,1
fwht15_warp_b256,fwht15-batch256,2,cuButterfly-warp-register,1,butterfly,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,15,32768,256,,,1000,100,temporal-tile,0.108851,2351834.391268,1
ntt20_cub_b4,ntt20-batch4,2,cuNTT-compact-stage,1,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,bit-reversed,20,1048576,4,576460756061519873,60,1000,100,compact-stage,0.341617,11709.019165,1
fwht15_warp_b16,fwht15-batch16,3,cuButterfly-warp-register,1,butterfly,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,15,32768,16,,,1000,100,temporal-tile,0.017766,900576.309484,1
fwht15_warp_b16,fwht15-batch16,2,cuButterfly-warp-register,1,butterfly,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,15,32768,16,,,1000,100,temporal-tile,0.017777,900057.597000,1
ntt16_gpuntt_b256,ntt16-batch256,4,GPU-NTT-Merge-natural,0,gpuntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,16,65536,256,576460756061519873,60,1000,100,GPU-NTT-Merge,1.52184,168218,1
ntt16_gpuntt_b4,ntt16-batch4,3,GPU-NTT-Merge-natural,0,gpuntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,16,65536,4,576460756061519873,60,1000,100,GPU-NTT-Merge,0.0328806,121652,1
fwht15_warp_b4,fwht15-batch4,3,cuButterfly-warp-register,1,butterfly,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,15,32768,4,,,1000,100,temporal-tile,0.017807,224626.236147,1
ntt16_gpuntt_b256,ntt16-batch256,3,GPU-NTT-Merge-natural,0,gpuntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,16,65536,256,576460756061519873,60,1000,100,GPU-NTT-Merge,1.52491,167879,1
fwht15_warp_b512,fwht15-batch512,4,cuButterfly-warp-register,1,butterfly,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,15,32768,512,,,1000,100,temporal-tile,0.194499,2632410.317748,1
ntt16_gpuntt_b64,ntt16-batch64,2,GPU-NTT-Merge-natural,0,gpuntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,16,65536,64,576460756061519873,60,1000,100,GPU-NTT-Merge,0.388762,164625,1
ntt20_gpuntt_b2,ntt20-batch2,4,GPU-NTT-Merge-native,0,gpuntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,bit-reversed,20,1048576,2,576460756061519873,60,1000,100,GPU-NTT-Merge,0.205353,9739.33,1
fwht15_dao_b4,fwht15-batch4,2,Dao-AILab-FHT,0,dao-fht,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,15,32768,4,,,1000,100,dao-fast-hadamard-transform-sm70-local,0.015606,256315.623028,1
ntt16_gpuntt_b4,ntt16-batch4,2,GPU-NTT-Merge-natural,0,gpuntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,16,65536,4,576460756061519873,60,1000,100,GPU-NTT-Merge,0.0330957,120862,1
ntt16_cub_b4,ntt16-batch4,1,cuNTT-Hybrid2D-radix4,1,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,16,65536,4,576460756061519873,60,1000,100,hybrid2d,0.029645,134930.005060,1
ntt20_cub_b16,ntt20-batch16,2,cuNTT-compact-stage,1,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,bit-reversed,20,1048576,16,576460756061519873,60,1000,100,compact-stage,1.317018,12148.657042,1
ntt20_cub_b16,ntt20-batch16,5,cuNTT-compact-stage,1,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,bit-reversed,20,1048576,16,576460756061519873,60,1000,100,compact-stage,1.315482,12162.842213,1
fwht8_warp_b4096,fwht8-batch4096,1,cuButterfly-warp-register,1,butterfly,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,8,256,4096,,,1000,100,temporal-tile,0.011397,359389050.884964,1
ntt20_gpuntt_b2,ntt20-batch2,2,GPU-NTT-Merge-native,0,gpuntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,bit-reversed,20,1048576,2,576460756061519873,60,1000,100,GPU-NTT-Merge,0.206234,9697.74,1
fwht15_warp_b256,fwht15-batch256,3,cuButterfly-warp-register,1,butterfly,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,15,32768,256,,,1000,100,temporal-tile,0.107377,2384131.166514,1
fwht8_warp_b65536,fwht8-batch65536,2,cuButterfly-warp-register,1,butterfly,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,8,256,65536,,,1000,100,temporal-tile,0.164321,398828420.904083,1
ntt16_cub_b64,ntt16-batch64,4,cuNTT-Hybrid2D-radix4,1,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,16,65536,64,576460756061519873,60,1000,100,hybrid2d,0.277678,230482.789418,1
ntt16_gpuntt_b64,ntt16-batch64,4,GPU-NTT-Merge-natural,0,gpuntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,16,65536,64,576460756061519873,60,1000,100,GPU-NTT-Merge,0.386632,165532,1
fwht15_warp_b16,fwht15-batch16,1,cuButterfly-warp-register,1,butterfly,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,15,32768,16,,,1000,100,temporal-tile,0.017807,898504.944587,1
ntt20_gpuntt_b16,ntt20-batch16,4,GPU-NTT-Merge-native,0,gpuntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,bit-reversed,20,1048576,16,576460756061519873,60,1000,100,GPU-NTT-Merge,1.56002,10256.3,1
ntt16_cub_b256,ntt16-batch256,4,cuNTT-Hybrid2D-radix4,1,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,16,65536,256,576460756061519873,60,1000,100,hybrid2d,1.075866,237947.848524,1
fwht15_warp_b16,fwht15-batch16,4,cuButterfly-warp-register,1,butterfly,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,15,32768,16,,,1000,100,temporal-tile,0.018872,847802.550316,1
fwht8_dao_b4096,fwht8-batch4096,3,Dao-AILab-FHT,0,dao-fht,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,8,256,4096,,,1000,100,dao-fast-hadamard-transform-sm70-local,0.011919,343642607.047087,1
fwht15_dao_b256,fwht15-batch256,1,Dao-AILab-FHT,0,dao-fht,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,15,32768,256,,,1000,100,dao-fast-hadamard-transform-sm70-local,0.116429,2198768.606485,1
fwht8_warp_b65536,fwht8-batch65536,1,cuButterfly-warp-register,1,butterfly,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,8,256,65536,,,1000,100,temporal-tile,0.164260,398977629.376200,1
ntt20_gpuntt_b16,ntt20-batch16,2,GPU-NTT-Merge-native,0,gpuntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,bit-reversed,20,1048576,16,576460756061519873,60,1000,100,GPU-NTT-Merge,1.56805,10203.7,1
fwht15_warp_b256,fwht15-batch256,1,cuButterfly-warp-register,1,butterfly,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,15,32768,256,,,1000,100,temporal-tile,0.107786,2375071.291944,1
ntt16_gpuntt_b64,ntt16-batch64,3,GPU-NTT-Merge-natural,0,gpuntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,16,65536,64,576460756061519873,60,1000,100,GPU-NTT-Merge,0.386324,165664,1
fwht8_dao_b4096,fwht8-batch4096,4,Dao-AILab-FHT,0,dao-fht,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,8,256,4096,,,1000,100,dao-fast-hadamard-transform-sm70-local,0.011561,354295842.663401,1
fwht15_warp_b4,fwht15-batch4,1,cuButterfly-warp-register,1,butterfly,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,15,32768,4,,,1000,100,temporal-tile,0.017766,225144.077371,1
fwht15_dao_b16,fwht15-batch16,3,Dao-AILab-FHT,0,dao-fht,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,15,32768,16,,,1000,100,dao-fast-hadamard-transform-sm70-local,0.015596,1025935.683399,1
ntt16_cub_b4,ntt16-batch4,3,cuNTT-Hybrid2D-radix4,1,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,16,65536,4,576460756061519873,60,1000,100,hybrid2d,0.029624,135025.654874,1
