group,implementation,reference,runner,operator,precision,direction,normalization,placement,output_order,logN,N,batch,modulus,modulus_bits,warmup,repeat,trials,median_kernel_ms,min_kernel_ms,max_kernel_ms,relative_range,central_relative_range,stability_class,timing_quality,correct,throughput_vs_reference
fwht15-batch16,Dao-AILab-FHT,0,dao-fht,fwht,fp32,forward,none,out-of-place,natural,15,32768,16,,,1000,100,5,0.015483,0.015462,0.015790,0.021185,0.008655,stable,below-timing-floor,1,1.148163
fwht15-batch16,cuButterfly-warp-register,1,butterfly,fwht,fp32,forward,none,out-of-place,natural,15,32768,16,,,1000,100,5,0.017777,0.017592,0.018872,0.072003,0.002306,stable-with-outlier,below-timing-floor,1,1.000000
fwht15-batch256,Dao-AILab-FHT,0,dao-fht,fwht,fp32,forward,none,out-of-place,natural,15,32768,256,,,1000,100,5,0.116429,0.115558,0.117658,0.018037,0.016267,stable,stable,1,0.923748
fwht15-batch256,cuButterfly-warp-register,1,butterfly,fwht,fp32,forward,none,out-of-place,natural,15,32768,256,,,1000,100,5,0.107551,0.107059,0.108851,0.016662,0.003803,stable,stable,1,1.000000
fwht15-batch4,Dao-AILab-FHT,0,dao-fht,fwht,fp32,forward,none,out-of-place,natural,15,32768,4,,,1000,100,5,0.015606,0.015401,0.017828,0.155517,0.011790,stable-with-outlier,below-timing-floor,1,1.141740
fwht15-batch4,cuButterfly-warp-register,1,butterfly,fwht,fp32,forward,none,out-of-place,natural,15,32768,4,,,1000,100,5,0.017818,0.017766,0.018534,0.043102,0.001740,stable-with-outlier,below-timing-floor,1,1.000000
fwht15-batch512,Dao-AILab-FHT,0,dao-fht,fwht,fp32,forward,none,out-of-place,natural,15,32768,512,,,1000,100,5,0.207882,0.207800,0.208159,0.001727,0.001381,stable,stable,1,0.929710
fwht15-batch512,cuButterfly-warp-register,1,butterfly,fwht,fp32,forward,none,out-of-place,natural,15,32768,512,,,1000,100,5,0.193270,0.192891,0.200448,0.039101,0.006468,stable-with-outlier,stable-with-outlier,1,1.000000
fwht8-batch4096,Dao-AILab-FHT,0,dao-fht,fwht,fp32,forward,none,out-of-place,natural,8,256,4096,,,1000,100,5,0.011561,0.011448,0.011919,0.040740,0.032783,unstable,below-timing-floor,1,0.977857
fwht8-batch4096,cuButterfly-warp-register,1,butterfly,fwht,fp32,forward,none,out-of-place,natural,8,256,4096,,,1000,100,5,0.011305,0.011233,0.011397,0.014507,0.003627,stable,below-timing-floor,1,1.000000
fwht8-batch65536,Dao-AILab-FHT,0,dao-fht,fwht,fp32,forward,none,out-of-place,natural,8,256,65536,,,1000,100,5,0.164506,0.164454,0.164628,0.001058,0.000626,stable,stable,1,0.998626
fwht8-batch65536,cuButterfly-warp-register,1,butterfly,fwht,fp32,forward,none,out-of-place,natural,8,256,65536,,,1000,100,5,0.164280,0.164260,0.164321,0.000371,0.000250,stable,stable,1,1.000000
ntt16-batch256,GPU-NTT-Merge-natural,0,gpuntt,ntt,uint64,forward,none,out-of-place,natural,16,65536,256,576460756061519873,60,1000,100,5,1.522080,1.521590,1.524910,0.002181,0.001347,stable,stable,1,0.702089
ntt16-batch256,cuNTT-Hybrid2D-radix4,1,ntt,ntt,uint64,forward,none,out-of-place,natural,16,65536,256,576460756061519873,60,1000,100,5,1.068636,1.066465,1.075866,0.008797,0.002214,stable,stable,1,1.000000
ntt16-batch4,GPU-NTT-Merge-natural,0,gpuntt,ntt,uint64,forward,none,out-of-place,natural,16,65536,4,576460756061519873,60,1000,100,5,0.032881,0.032666,0.034591,0.058548,0.011524,stable-with-outlier,stable-with-outlier,1,0.901595
ntt16-batch4,cuNTT-Hybrid2D-radix4,1,ntt,ntt,uint64,forward,none,out-of-place,natural,16,65536,4,576460756061519873,60,1000,100,5,0.029645,0.029512,0.031232,0.058020,0.003812,stable-with-outlier,stable-with-outlier,1,1.000000
ntt16-batch64,GPU-NTT-Merge-natural,0,gpuntt,ntt,uint64,forward,none,out-of-place,natural,16,65536,64,576460756061519873,60,1000,100,5,0.386632,0.385198,0.388762,0.009218,0.001324,stable,stable,1,0.718197
ntt16-batch64,cuNTT-Hybrid2D-radix4,1,ntt,ntt,uint64,forward,none,out-of-place,natural,16,65536,64,576460756061519873,60,1000,100,5,0.277678,0.276931,0.281549,0.016631,0.014124,stable,stable,1,1.000000
ntt20-batch16,GPU-NTT-Merge-native,0,gpuntt,ntt,uint64,forward,none,out-of-place,bit-reversed,20,1048576,16,576460756061519873,60,1000,100,5,1.568900,1.560020,1.577870,0.011377,0.000701,stable,stable,1,0.838552
