candidate_id,group,implementation,reference,static_score,mapping_id,decomposition_count,stages_per_decomposition,segment_threads,segment_ept,boundary_twiddles,boundary_layouts,boundary_residencies,execution_group_count,execution_group_stages,group_threads,group_ept,processing_unit,prefix_log_n,suffix_log_n,prefix_threads,suffix_threads,prefix_ept,suffix_ept,cross_twiddle,direct_boundary,operator,precision,direction,normalization,placement,backend,fft_core,logN,N,batch,trials,median_kernel_ms,min_kernel_ms,max_kernel_ms,correct,rank,cufft_median_ms,throughput_vs_cufft,slowdown_vs_internal_best
fft18-fp32_b2_d4_3x6x3x6_t512x512x512x512_e8x16x8x16_rrr_fgf_gt256x256_ge8x8,fft18-fp32-batch2,fft18-fp32_b2_d4_3x6x3x6_t512x512x512x512_e8x16x8x16_rrr_fgf_gt256x256_ge8x8,0,166948.6229159711,fft18-fp32,4,3x6x3x6,512x512x512x512,8x16x8x16,recurrencexrecurrencexrecurrence,direct-stridedxdirect-stridedxdirect-strided,fusedxglobal-scratchxfused,2,9x9,256x256,8x8,cufftdx-online-shared+cufftdx-online-shared+cufftdx-online-shared+cufftdx-online-shared,3,6,512,512,8,16,recurrence,direct-strided,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,18,262144,2,3,0.026010,0.025969,0.026153,1,1,0.028099,1.080315,1.000000
fft18-fp32_b2_d4_3x3x3x9_t512x512x512x512_e8x8x8x16_rrr_ffg_gt256x256_ge8x8,fft18-fp32-batch2,fft18-fp32_b2_d4_3x3x3x9_t512x512x512x512_e8x8x8x16_rrr_ffg_gt256x256_ge8x8,0,166948.6229159711,fft18-fp32,4,3x3x3x9,512x512x512x512,8x8x8x16,recurrencexrecurrencexrecurrence,direct-stridedxdirect-stridedxdirect-strided,fusedxfusedxglobal-scratch,2,9x9,256x256,8x8,cufftdx-online-shared+cufftdx-online-shared+cufftdx-online-shared+cufftdx-online-shared,3,9,512,512,8,16,recurrence,direct-strided,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,18,262144,2,3,0.026010,0.025989,0.026071,1,2,0.028099,1.080315,1.000000
fft18-fp32_b2_d3_3x6x9_t512x512x512_e8x16x16_rr_fg_gt256x256_ge8x8,fft18-fp32-batch2,fft18-fp32_b2_d3_3x6x9_t512x512x512_e8x16x16_rr_fg_gt256x256_ge8x8,0,166948.6229159711,fft18-fp32,3,3x6x9,512x512x512,8x16x16,recurrencexrecurrence,direct-stridedxdirect-strided,fusedxglobal-scratch,2,9x9,256x256,8x8,cufftdx-online-shared+cufftdx-online-shared+cufftdx-online-shared,3,9,512,512,8,16,recurrence,direct-strided,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,18,262144,2,3,0.026030,0.025969,0.026071,1,3,0.028099,1.079485,1.000769
fft18-fp32_b2_p9s9_t256x256_e8x8_rec,fft18-fp32-batch2,fft18-fp32_b2_p9s9_t256x256_e8x8_rec,0,175170.20085765165,fft18-fp32,2,9x9,256x256,8x8,recurrence,direct-strided,global-scratch,2,,,,cufftdx-online-shared+cufftdx-online-shared,9,9,256,256,8,8,recurrence,direct-strided,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,18,262144,2,3,0.026051,0.026030,0.026051,1,4,0.028099,1.078615,1.001576
fft18-fp32_b2_d4_9x3x3x3_t512x512x512x512_e16x8x8x8_rrr_gff_gt256x256_ge8x8,fft18-fp32-batch2,fft18-fp32_b2_d4_9x3x3x3_t512x512x512x512_e16x8x8x8_rrr_gff_gt256x256_ge8x8,0,166948.6229159711,fft18-fp32,4,9x3x3x3,512x512x512x512,16x8x8x8,recurrencexrecurrencexrecurrence,direct-stridedxdirect-stridedxdirect-strided,global-scratchxfusedxfused,2,9x9,256x256,8x8,cufftdx-online-shared+cufftdx-online-shared+cufftdx-online-shared+cufftdx-online-shared,9,3,512,512,16,8,recurrence,direct-strided,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,18,262144,2,3,0.026051,0.025969,0.026092,1,5,0.028099,1.078615,1.001576
fft18-fp32_b2_d3_9x3x6_t512x512x512_e16x8x16_rr_gf_gt256x256_ge8x8,fft18-fp32-batch2,fft18-fp32_b2_d3_9x3x6_t512x512x512_e16x8x16_rr_gf_gt256x256_ge8x8,0,166948.6229159711,fft18-fp32,3,9x3x6,512x512x512,16x8x16,recurrencexrecurrence,direct-stridedxdirect-strided,global-scratchxfused,2,9x9,256x256,8x8,cufftdx-online-shared+cufftdx-online-shared+cufftdx-online-shared,9,6,512,512,16,16,recurrence,direct-strided,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,18,262144,2,3,0.026071,0.026051,0.026092,1,6,0.028099,1.077788,1.002345
fft18-fp32_b2_p6s12_t128x256_e16x16_rec_tx,fft18-fp32-batch2,fft18-fp32_b2_p6s12_t128x256_e16x16_rec_tx,0,91438.61722882584,fft18-fp32,2,6x12,128x256,16x16,recurrence,tiled-transpose,global-scratch,2,,,,cufftdx-online-shared+cufftdx-large-online,6,12,128,256,16,16,recurrence,tiled-transpose,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,18,262144,2,3,0.036209,0.036106,0.036229,1,7,0.028099,0.776023,1.392118
fft18-fp32_b2_p7s11_t128x256_e16x8_rec_tx,fft18-fp32-batch2,fft18-fp32_b2_p7s11_t128x256_e16x8_rec_tx,0,135794.93600280714,fft18-fp32,2,7x11,128x256,16x8,recurrence,tiled-transpose,global-scratch,2,,,,cufftdx-online-shared+cufftdx-large-online,7,11,128,256,16,8,recurrence,tiled-transpose,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,18,262144,2,3,0.036209,0.036209,0.036229,1,8,0.028099,0.776023,1.392118
fft18-fp32_b2_p10s8_t512x512_e16x16_rec,fft18-fp32-batch2,fft18-fp32_b2_p10s8_t512x512_e16x16_rec,0,81804.82522882584,fft18-fp32,2,10x8,512x512,16x16,recurrence,direct-strided,global-scratch,2,,,,cufftdx-online-shared+cufftdx-online-shared,10,8,512,512,16,16,recurrence,direct-strided,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,18,262144,2,3,0.038728,0.038666,0.038769,1,9,0.028099,0.725547,1.488966
fft18-fp32_b2_p8s10_t512x512_e16x16_rec,fft18-fp32-batch2,fft18-fp32_b2_p8s10_t512x512_e16x16_rec,0,81804.82522882584,fft18-fp32,2,8x10,512x512,16x16,recurrence,direct-strided,global-scratch,2,,,,cufftdx-online-shared+cufftdx-online-shared,8,10,512,512,16,16,recurrence,direct-strided,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,18,262144,2,3,0.041636,0.041595,0.047862,1,10,0.028099,0.674873,1.600769
