group,precision,logN,batch,v06_best,v06_best_ms,v07_pipeline_ms,v07_resident_radix4_ms,radix4_speedup_vs_pipeline,radix4_throughput_vs_v06,winner,correct
ntt10_u64-batch1,uint64,10,1,v0.6-tile256,0.011057,0.03611,0.006103,5.916762248074718,1.8117319351138785,v0.7-resident-radix4,1
ntt10_u64-batch16,uint64,10,16,v0.6-tile256,0.012466,0.03106,0.006197,5.0121026303049865,2.0116185250927865,v0.7-resident-radix4,1
ntt10_u64-batch160,uint64,10,160,v0.6-tile256,0.022813,0.033976,0.009124,3.7238053485313456,2.5003288031565103,v0.7-resident-radix4,1
ntt10_u64-batch256,uint64,10,256,v0.6-tile256,0.030497,0.040401,0.014801,2.729612863995676,2.0604688872373487,v0.7-resident-radix4,1
ntt10_u64-batch512,uint64,10,512,v0.6-tile256,0.052978,0.085606,0.025723,3.327994401897135,2.0595575943707964,v0.7-resident-radix4,1
ntt10_u64-batch80,uint64,10,80,v0.6-tile256,0.017175,0.031238,0.007053,4.429037289096838,2.435133985538069,v0.7-resident-radix4,1
ntt12_u32-batch1,uint32,12,1,v0.6-hybrid2d-radix4,0.005962,0.068157,0.013101,5.202427295626288,0.45507976490344254,v0.6-hybrid2d-radix4,1
ntt12_u32-batch16,uint32,12,16,v0.6-hybrid2d-radix2,0.008479,0.068176,0.013482,5.056816496068833,0.6289126242397272,v0.6-hybrid2d-radix2,1
ntt12_u32-batch160,uint32,12,160,v0.6-hybrid2d-radix4,0.027066,0.090034,0.023699,3.799063251613992,1.1420735052111903,v0.7-resident-radix4,1
ntt12_u32-batch256,uint32,12,256,v0.6-hybrid2d-radix4,0.045158,0.12475,0.050289,2.4806617749408417,0.8979697349320924,v0.6-hybrid2d-radix4,1
ntt12_u32-batch512,uint32,12,512,v0.6-hybrid2d-radix4,0.074924,0.224899,0.085965,2.6161693712557437,0.8715640086081545,v0.6-hybrid2d-radix4,1
ntt12_u32-batch80,uint32,12,80,v0.6-hybrid2d-radix4,0.016087,0.068352,0.015268,4.47681425203039,1.0536416033534188,v0.7-resident-radix4,1
ntt12_u64-batch1,uint64,12,1,v0.6-hybrid2d-radix4,0.007692,0.096545,0.019569,4.933568398998417,0.3930706730032194,v0.6-hybrid2d-radix4,1
ntt12_u64-batch16,uint64,12,16,v0.6-hybrid2d-radix4,0.009107,0.097083,0.019683,4.932327389117513,0.46268353401412393,v0.6-hybrid2d-radix4,1
ntt12_u64-batch160,uint64,12,160,v0.6-hybrid2d-radix2,0.046918,0.137511,0.049011,2.8057170839199363,0.9572953010548653,v0.6-hybrid2d-radix2,1
ntt12_u64-batch256,uint64,12,256,v0.6-hybrid2d-radix4,0.068846,0.256842,0.119343,2.1521329277795935,0.5768750576070654,v0.6-hybrid2d-radix4,1
ntt12_u64-batch512,uint64,12,512,v0.6-hybrid2d-radix4,0.125809,0.512705,0.177195,2.8934507181353877,0.7100031039250544,v0.6-hybrid2d-radix4,1
ntt12_u64-batch80,uint64,12,80,v0.6-hybrid2d-radix4,0.024224,0.101263,0.02356,4.298089983022072,1.028183361629881,v0.7-resident-radix4,1
