case_id,group,trial,implementation,reference,runner,device,operator,precision,direction,normalization,placement,output_order,logN,N,batch,modulus,modulus_bits,warmup,repeat,backend,kernel_ms,throughput_s,correct
ntt10_u64_v07_pipe_b160,ntt10_u64-batch160,2,v0.7-pipeline-radix2,0,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,10,1024,160,1152921504606584833,60,30,500,hybrid-dataflow,0.039776,4022500.037931,1
ntt10_u64_v07_pipe_b1,ntt10_u64-batch1,1,v0.7-pipeline-radix2,0,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,10,1024,1,1152921504606584833,60,30,500,hybrid-dataflow,0.036112,27691.332355,1
ntt12_u64_v06_r4_b16,ntt12_u64-batch16,2,v0.6-hybrid2d-radix4,0,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,12,4096,16,1152921504606584833,60,30,500,hybrid2d,0.010568,1514050.387417,1
ntt10_u64_v07_pipe_b1,ntt10_u64-batch1,3,v0.7-pipeline-radix2,0,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,10,1024,1,1152921504606584833,60,30,500,hybrid-dataflow,0.036110,27692.900711,1
ntt12_u64_v07_r4_b1,ntt12_u64-batch1,3,v0.7-resident-radix4,0,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,12,4096,1,1152921504606584833,60,30,500,hybrid-dataflow,0.022870,43725.375107,1
ntt10_u64_v06_tile_b256,ntt10_u64-batch256,2,v0.6-tile256,1,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,10,1024,256,1152921504606584833,60,30,500,tile256,0.035598,7191347.790020,1
ntt10_u64_v06_tile_b16,ntt10_u64-batch16,1,v0.6-tile256,1,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,10,1024,16,1152921504606584833,60,30,500,tile256,0.014399,1111150.583459,1
ntt12_u32_v07_pipe_b160,ntt12_u32-batch160,1,v0.7-pipeline-radix2,0,ntt,Tesla V100-SXM2-16GB,ntt,uint32,forward,none,out-of-place,natural,12,4096,160,1073479681,30,30,500,hybrid-dataflow,0.090034,1777102.885648,1
ntt12_u32_v07_r4_b512,ntt12_u32-batch512,2,v0.7-resident-radix4,0,ntt,Tesla V100-SXM2-16GB,ntt,uint32,forward,none,out-of-place,natural,12,4096,512,1073479681,30,30,500,hybrid-dataflow,0.099580,5141599.835037,1
ntt12_u64_v07_r4_b160,ntt12_u64-batch160,1,v0.7-resident-radix4,0,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,12,4096,160,1152921504606584833,60,30,500,hybrid-dataflow,0.054725,2923730.419792,1
