group,implementation,reference,runner,operator,precision,direction,normalization,placement,output_order,logN,N,batch,modulus,modulus_bits,warmup,repeat,trials,median_kernel_ms,min_kernel_ms,max_kernel_ms,relative_range,central_relative_range,stability_class,timing_quality,correct,throughput_vs_reference
ntt10_u64-batch1,v0.6-tile256,1,ntt,ntt,uint64,forward,none,out-of-place,natural,10,1024,1,1152921504606584833,60,30,500,3,0.011057,0.011051,0.011061,0.000904,0.000904,stable,below-timing-floor,1,1.000000
ntt10_u64-batch1,v0.7-pipeline-radix2,0,ntt,ntt,uint64,forward,none,out-of-place,natural,10,1024,1,1152921504606584833,60,30,500,3,0.036110,0.030839,0.036112,0.146026,0.146026,unstable,unstable,1,0.306203
ntt10_u64-batch1,v0.7-resident-radix4,0,ntt,ntt,uint64,forward,none,out-of-place,natural,10,1024,1,1152921504606584833,60,30,500,3,0.006103,0.006099,0.006103,0.000655,0.000655,stable,below-timing-floor,1,1.811732
ntt10_u64-batch16,v0.6-tile256,1,ntt,ntt,uint64,forward,none,out-of-place,natural,10,1024,16,1152921504606584833,60,30,500,3,0.012466,0.012364,0.014399,0.163244,0.163244,unstable,below-timing-floor,1,1.000000
ntt10_u64-batch16,v0.7-pipeline-radix2,0,ntt,ntt,uint64,forward,none,out-of-place,natural,10,1024,16,1152921504606584833,60,30,500,3,0.031060,0.031052,0.031236,0.005924,0.005924,stable,stable,1,0.401352
ntt10_u64-batch16,v0.7-resident-radix4,0,ntt,ntt,uint64,forward,none,out-of-place,natural,10,1024,16,1152921504606584833,60,30,500,3,0.006197,0.006195,0.006199,0.000645,0.000645,stable,below-timing-floor,1,2.011619
ntt10_u64-batch160,v0.6-tile256,1,ntt,ntt,uint64,forward,none,out-of-place,natural,10,1024,160,1152921504606584833,60,30,500,3,0.022813,0.022813,0.022815,0.000088,0.000088,stable,stable,1,1.000000
ntt10_u64-batch160,v0.7-pipeline-radix2,0,ntt,ntt,uint64,forward,none,out-of-place,natural,10,1024,160,1152921504606584833,60,30,500,3,0.033976,0.033962,0.039776,0.171121,0.171121,unstable,unstable,1,0.671445
ntt10_u64-batch160,v0.7-resident-radix4,0,ntt,ntt,uint64,forward,none,out-of-place,natural,10,1024,160,1152921504606584833,60,30,500,3,0.009124,0.009110,0.009130,0.002192,0.002192,stable,below-timing-floor,1,2.500329
ntt10_u64-batch256,v0.6-tile256,1,ntt,ntt,uint64,forward,none,out-of-place,natural,10,1024,256,1152921504606584833,60,30,500,3,0.030497,0.030491,0.035598,0.167459,0.167459,unstable,unstable,1,1.000000
ntt10_u64-batch256,v0.7-pipeline-radix2,0,ntt,ntt,uint64,forward,none,out-of-place,natural,10,1024,256,1152921504606584833,60,30,500,3,0.040401,0.040401,0.040747,0.008564,0.008564,stable,stable,1,0.754858
ntt10_u64-batch256,v0.7-resident-radix4,0,ntt,ntt,uint64,forward,none,out-of-place,natural,10,1024,256,1152921504606584833,60,30,500,3,0.014801,0.014791,0.016435,0.111074,0.111074,unstable,below-timing-floor,1,2.060469
ntt10_u64-batch512,v0.6-tile256,1,ntt,ntt,uint64,forward,none,out-of-place,natural,10,1024,512,1152921504606584833,60,30,500,3,0.052978,0.052951,0.053002,0.000963,0.000963,stable,stable,1,1.000000
ntt10_u64-batch512,v0.7-pipeline-radix2,0,ntt,ntt,uint64,forward,none,out-of-place,natural,10,1024,512,1152921504606584833,60,30,500,3,0.085606,0.085150,0.097585,0.145259,0.145259,unstable,unstable,1,0.618858
ntt10_u64-batch512,v0.7-resident-radix4,0,ntt,ntt,uint64,forward,none,out-of-place,natural,10,1024,512,1152921504606584833,60,30,500,3,0.025723,0.025704,0.025756,0.002022,0.002022,stable,stable,1,2.059558
ntt10_u64-batch80,v0.6-tile256,1,ntt,ntt,uint64,forward,none,out-of-place,natural,10,1024,80,1152921504606584833,60,30,500,3,0.017175,0.017154,0.017220,0.003843,0.003843,stable,below-timing-floor,1,1.000000
ntt10_u64-batch80,v0.7-pipeline-radix2,0,ntt,ntt,uint64,forward,none,out-of-place,natural,10,1024,80,1152921504606584833,60,30,500,3,0.031238,0.031234,0.031240,0.000192,0.000192,stable,stable,1,0.549811
ntt10_u64-batch80,v0.7-resident-radix4,0,ntt,ntt,uint64,forward,none,out-of-place,natural,10,1024,80,1152921504606584833,60,30,500,3,0.007053,0.007051,0.007057,0.000851,0.000851,stable,below-timing-floor,1,2.435134
ntt12_u32-batch1,v0.6-hybrid2d-radix2,1,ntt,ntt,uint32,forward,none,out-of-place,natural,12,4096,1,1073479681,30,30,500,3,0.006861,0.006859,0.006873,0.002041,0.002041,stable,below-timing-floor,1,1.000000
ntt12_u32-batch1,v0.6-hybrid2d-radix4,0,ntt,ntt,uint32,forward,none,out-of-place,natural,12,4096,1,1073479681,30,30,500,3,0.005962,0.005956,0.005978,0.003690,0.003690,stable,below-timing-floor,1,1.150788
ntt12_u32-batch1,v0.7-pipeline-radix2,0,ntt,ntt,uint32,forward,none,out-of-place,natural,12,4096,1,1073479681,30,30,500,3,0.068157,0.068139,0.068159,0.000293,0.000293,stable,stable,1,0.100665
ntt12_u32-batch1,v0.7-resident-radix4,0,ntt,ntt,uint32,forward,none,out-of-place,natural,12,4096,1,1073479681,30,30,500,3,0.013101,0.013101,0.013103,0.000153,0.000153,stable,below-timing-floor,1,0.523700
ntt12_u32-batch16,v0.6-hybrid2d-radix2,1,ntt,ntt,uint32,forward,none,out-of-place,natural,12,4096,16,1073479681,30,30,500,3,0.008479,0.008475,0.008489,0.001651,0.001651,stable,below-timing-floor,1,1.000000
ntt12_u32-batch16,v0.6-hybrid2d-radix4,0,ntt,ntt,uint32,forward,none,out-of-place,natural,12,4096,16,1073479681,30,30,500,3,0.008897,0.007641,0.008911,0.142745,0.142745,unstable,below-timing-floor,1,0.953018
ntt12_u32-batch16,v0.7-pipeline-radix2,0,ntt,ntt,uint32,forward,none,out-of-place,natural,12,4096,16,1073479681,30,30,500,3,0.068176,0.068172,0.068182,0.000147,0.000147,stable,stable,1,0.124369
