operator,precision,logN,batch,candidates,measured_winner,predicted_winner,top1_correct,topk_contains_winner,top3_contains_winner,regret,confidence
fwht,fp32,15,1,2,cuButterfly-online-radix4,cuButterfly-online-radix4,1,1,1,1.000000,extrapolated-low
fwht,fp32,15,4,2,cuButterfly-online-radix4,cuButterfly-warp-register,0,1,1,1.153178,interpolated
fwht,fp32,15,16,2,cuButterfly-warp-register,cuButterfly-warp-register,1,1,1,1.000000,interpolated
fwht,fp32,15,32,2,cuButterfly-warp-register,cuButterfly-warp-register,1,1,1,1.000000,interpolated
fwht,fp32,15,128,2,cuButterfly-warp-register,cuButterfly-warp-register,1,1,1,1.000000,interpolated
fwht,fp32,15,256,2,cuButterfly-warp-register,cuButterfly-warp-register,1,1,1,1.000000,interpolated
fwht,fp32,15,512,2,cuButterfly-warp-register,cuButterfly-warp-register,1,1,1,1.000000,extrapolated-high
fwht,fp32,20,1,2,cuButterfly-online-radix4,cuButterfly-online-radix4,1,1,1,1.000000,extrapolated-low
fwht,fp32,20,2,2,cuButterfly-online-radix4,cuButterfly-online-radix4,1,1,1,1.000000,interpolated
fwht,fp32,20,4,2,cuButterfly-online-radix4,cuButterfly-online-radix4,1,1,1,1.000000,interpolated
fwht,fp32,20,8,2,cuButterfly-online-radix4,cuButterfly-online-radix4,1,1,1,1.000000,interpolated
fwht,fp32,20,16,2,cuButterfly-online-radix4,cuButterfly-online-radix4,1,1,1,1.000000,extrapolated-high
fwht,fp32,8,1,2,cuButterfly-warp-register,cuButterfly-warp-register,1,1,1,1.000000,extrapolated-low
fwht,fp32,8,4,2,cuButterfly-warp-register,cuButterfly-warp-register,1,1,1,1.000000,interpolated
fwht,fp32,8,16,2,cuButterfly-warp-register,cuButterfly-warp-register,1,1,1,1.000000,interpolated
fwht,fp32,8,64,2,cuButterfly-warp-register,cuButterfly-warp-register,1,1,1,1.000000,interpolated
fwht,fp32,8,256,2,cuButterfly-warp-register,cuButterfly-warp-register,1,1,1,1.000000,interpolated
fwht,fp32,8,1024,2,cuButterfly-warp-register,cuButterfly-warp-register,1,1,1,1.000000,interpolated
fwht,fp32,8,4096,2,cuButterfly-warp-register,cuButterfly-warp-register,1,1,1,1.000000,interpolated
fwht,fp32,8,16384,2,cuButterfly-warp-register,cuButterfly-warp-register,1,1,1,1.000000,interpolated
fwht,fp32,8,65536,2,cuButterfly-warp-register,cuButterfly-shared-radix4,0,1,1,1.078732,extrapolated-high
ntt,uint32,12,1,2,cuNTT-Hybrid2D-radix4,cuNTT-Hybrid2D-radix4,1,1,1,1.000000,extrapolated-low
ntt,uint32,12,4,2,cuNTT-Hybrid2D-radix4,cuNTT-Hybrid2D-radix4,1,1,1,1.000000,interpolated
ntt,uint32,12,16,2,cuNTT-Hybrid2D-radix4,cuNTT-Hybrid2D-radix4,1,1,1,1.000000,interpolated
