event_id,axis,operator,precision,accumulation,logN,batch,quick_from_mapping,quick_to_mapping,quick_relative_margin,full_winner,full_relative_margin,trial_ranges_non_overlapping,status
crossover-002,batch,fwht,bf16,native,15,7,hier-r4-t256,online-r2-t256,0.17539236582057738,online-r2-t256,0.06802189210320564,1,confirmed-same-direction
crossover-006,batch,fwht,bf16,native,8,1279,temporal-r2-t128,temporal-r4-t128,0.11644004944375763,temporal-r4-t128,0.05561035758323052,1,confirmed-same-direction
crossover-009,batch,fft,fp16,fp32,15,5,online-r4-t256,online-r2-t256,0.09191512017036807,online-r4-t256,0.06709798177083326,0,not-confirmed
crossover-018,batch,structured-2x2,bf16,native,15,7,hier-r4-t256,online-r2-t256,0.048219859281595445,online-r2-t256,0.048334178025554175,1,confirmed-same-direction
crossover-026,batch,structured-2x2,fp32,native,15,8,hier-r4-t256,online-r4-t256,0.07756860124020637,hier-r4-t256,0.07630327934896464,1,confirmed-reversed
crossover-027,batch,structured-2x2,fp32,native,15,9,online-r4-t256,hier-r4-t256,0.30716121360899074,hier-r4-t256,0.13812451960030736,1,confirmed-same-direction
crossover-037,batch,ntt,uint32,native,15,320,ntt-hybrid-r2-t256,ntt-hybrid-r4-t256,0.25016701518072937,ntt-hybrid-r4-t256,0.14224525817985678,1,confirmed-same-direction
crossover-042,batch,subset-zeta,uint32,native,8,960,temporal-r2-t128,temporal-r4-t128,0.15229016507788895,temporal-r4-t128,0.10191988622896431,1,confirmed-same-direction
crossover-044,batch,subset-zeta,uint32,native,8,1281,temporal-r2-t128,temporal-r4-t128,0.04228250701590275,temporal-r4-t128,0.09141907334302934,0,not-confirmed
crossover-046,batch,fft,bf16,fp32,8,1279,temporal-r4-t128,temporal-r2-t128,0.17289373110489992,temporal-r2-t128,0.04894218020406971,1,confirmed-same-direction
crossover-048,batch,fwht,fp16,fp32,8,1279,temporal-r2-t128,temporal-r4-t128,0.1568384026484586,temporal-r4-t128,0.1428273995419529,1,confirmed-same-direction
crossover-052,batch,fft,fp16,fp32,8,1279,temporal-r2-t128,temporal-r4-t128,0.07831900668576885,temporal-r4-t128,0.06358454718176065,1,confirmed-same-direction
crossover-053,batch,fft,fp16,fp32,8,1281,temporal-r4-t128,temporal-r2-t128,0.06861043619113727,temporal-r4-t128,0.08117291719103958,1,confirmed-reversed
crossover-061,batch,structured-2x2,fp16,fp32,15,7,online-r4-t256,hier-r4-t256,0.06883404394883574,hier-r4-t256,0.06702622586355944,1,confirmed-same-direction
crossover-062,batch,structured-2x2,fp32,native,8,959,temporal-r2-t128,temporal-r4-t128,0.23463135006918368,temporal-r4-t128,0.23176865046102257,1,confirmed-same-direction
crossover-064,batch,ntt,uint64,native,15,241,ntt-hybrid-r4-t256,ntt-hybrid-r2-t256,0.04586132481498195,ntt-hybrid-r4-t256,0.09123084215515864,1,confirmed-reversed
crossover-069,batch,fft,fp64,native,8,961,temporal-r2-t128,temporal-r4-t128,0.0797310845078727,temporal-r4-t128,0.02327616380819042,0,not-confirmed
crossover-078,batch,fwht,fp32,native,15,7,online-r2-t256,online-r4-t256,0.19069585273510592,online-r4-t256,0.028119278053884367,1,confirmed-same-direction
crossover-079,batch,fwht,fp32,native,15,9,online-r4-t256,hier-r4-t256,0.25184652852637046,hier-r4-t256,0.11940658545410687,1,confirmed-same-direction
crossover-082,batch,fft,fp16,native,20,2,hier-r4-t256,online-r4-t256,0.23242874040015327,online-r4-t256,0.23479781439096903,1,confirmed-same-direction
crossover-083,length,fft,fp64,native,20,1,online-r2-t256,online-r4-t256,0.07694493459294671,online-r4-t256,0.0945128274816367,1,confirmed-same-direction
crossover-088,length,structured-2x2,fp16,fp32,20,1,online-r4-t256,hier-r4-t256,0.34400133814694533,hier-r4-t256,0.4195695061982865,1,confirmed-same-direction
crossover-089,length,structured-2x2,bf16,fp32,20,1,online-r2-t256,hier-r4-t256,0.2393262624795034,hier-r4-t256,0.29670389837932554,1,confirmed-same-direction
crossover-091,length,structured-2x2,fp16,native,20,1,online-r4-t256,hier-r4-t256,0.39891984417424164,hier-r4-t256,0.4695086682611891,1,confirmed-same-direction
crossover-092,length,fwht,fp16,fp32,20,1,online-r4-t256,hier-r4-t256,0.44805871745745507,hier-r4-t256,0.4219527966375687,1,confirmed-same-direction
crossover-093,length,structured-2x2,bf16,native,20,1,online-r2-t256,online-r4-t256,0.2819892735251097,online-r4-t256,0.10550116000157295,1,confirmed-same-direction
crossover-094,length,fwht,bf16,native,20,1,online-r2-t256,hier-r4-t256,0.412296970718822,hier-r4-t256,0.29226722527047455,1,confirmed-same-direction
crossover-095,length,fft,bf16,fp32,20,1,online-r2-t256,online-r4-t256,0.2061797100741003,online-r4-t256,0.14989914193536436,1,confirmed-same-direction
crossover-096,length,fwht,fp16,native,20,1,online-r4-t256,hier-r4-t256,0.5690440837642723,hier-r4-t256,0.48335016863839453,1,confirmed-same-direction
