operator,precision,accumulation,logN,batch,quick_winner,quick_margin,full_winner,full_margin,trial_ranges_non_overlapping,status
fwht,bf16,fp32,8,1,temporal-r4-t128,0.11853517507227762,temporal-r4-t128,0.059203810820006586,0,near-tie
fwht,bf16,fp32,8,959,temporal-r4-t128,0.10223331946178393,temporal-r4-t128,0.04253112033195028,0,near-tie
fwht,bf16,native,8,1,temporal-r4-t128,0.0067028407277369695,temporal-r4-t128,0.05940594059405924,1,stable-same-direction
fwht,bf16,native,8,959,temporal-r4-t128,0.039165818921668594,temporal-r4-t128,0.0440783615316116,1,near-tie
fwht,fp16,native,8,1,temporal-r4-t128,0.09241172051089408,temporal-r4-t128,0.09003601440576237,1,stable-same-direction
fwht,fp16,native,8,959,temporal-r4-t128,0.05133470225872694,temporal-r4-t128,0.11013215859030834,1,stable-same-direction
fwht,fp32,native,8,1,temporal-r4-t128,0.03010279001468441,temporal-r4-t128,0.08932115919015482,1,stable-same-direction
fwht,fp32,native,8,959,temporal-r4-t128,0.13562386980108498,temporal-r4-t128,0.13809411208323463,1,stable-same-direction
structured-2x2,bf16,fp32,8,1,temporal-r4-t128,0.0820024570024569,temporal-r4-t128,0.06687402799377917,1,stable-same-direction
structured-2x2,bf16,native,8,959,temporal-r2-t128,0.14018950134864117,temporal-r2-t128,0.03001464128843323,0,near-tie
structured-2x2,fp16,native,8,1,temporal-r4-t128,0.1472172351885097,temporal-r4-t128,0.1335753176043557,1,stable-same-direction
fft,bf16,fp32,8,1,temporal-r2-t128,0.1348895224518889,temporal-r2-t128,0.23727045075125197,1,stable-same-direction
fft,fp16,fp32,8,1,temporal-r4-t128,0.07163938824792071,temporal-r4-t128,0.12600229095074456,1,stable-same-direction
fft,fp16,fp32,8,799,temporal-r4-t128,0.09901738473167043,temporal-r4-t128,0.024613899613899592,0,near-tie
fft,fp16,native,8,799,temporal-r4-t128,0.12679905265075608,temporal-r4-t128,0.1543524416135882,1,stable-same-direction
fft,fp64,native,8,1,temporal-r4-t128,0.12819228843264874,temporal-r4-t128,0.1170382165605095,1,stable-same-direction
fft,fp64,native,8,719,temporal-r4-t128,0.07522826518459702,temporal-r4-t128,0.1464247598719317,1,stable-same-direction
fwht,bf16,fp32,15,1,online-r4-t256,0.006427534729421369,online-r2-t256,0.02688172043010728,1,near-tie
fwht,bf16,native,15,1,online-r2-t256,0.02523691800576855,online-r2-t256,0.024687294272547566,1,near-tie
fwht,fp16,native,15,1,online-r4-t256,0.06127333652465272,online-r4-t256,0.06020708168221889,0,near-tie
fwht,fp16,native,15,6,online-r4-t256,0.08081974310867368,online-r4-t256,0.02738060499951378,0,near-tie
fwht,fp32,native,15,1,online-r4-t256,0.012481644640234935,online-r4-t256,0.06639865127739575,1,stable-same-direction
structured-2x2,fp16,fp32,15,1,online-r4-t256,0.1500980695777847,online-r4-t256,0.05087177223570949,0,near-tie
fft,bf16,native,15,1,online-r2-t256,0.10229570595931947,online-r2-t256,0.22234960884812516,1,stable-same-direction
fft,fp16,fp32,15,1,online-r4-t256,0.05391426317173664,online-r4-t256,0.05239943542695835,0,near-tie
fft,fp16,native,15,1,online-r4-t256,0.11638091688408503,online-r4-t256,0.11238509439557198,1,stable-same-direction
fft,fp16,native,15,4,online-r4-t256,0.08259007306626343,online-r4-t256,0.05741365621278294,1,stable-same-direction
structured-2x2,fp64,native,15,4,online-r4-t256,0.05770150363955162,online-r4-t256,0.05547515677761705,1,stable-same-direction
fft,bf16,native,20,1,online-r4-t256,0.06991423700891097,online-r4-t256,0.12317888228388618,1,stable-same-direction
fft,bf16,native,20,2,online-r4-t256,0.013448765318395006,online-r4-t256,0.11675594115428134,1,stable-same-direction
fft,fp16,fp32,20,1,online-r4-t256,0.08437364844557482,online-r4-t256,0.06365882846618898,1,stable-same-direction
fft,fp16,fp32,20,2,online-r4-t256,0.10784957561489383,online-r4-t256,0.11644556924088723,1,stable-same-direction
fft,fp32,native,20,1,online-r4-t256,0.12723394307755242,online-r4-t256,0.12023992357273272,1,stable-same-direction
fft,fp64,native,20,2,online-r4-t256,0.12690533100371826,online-r4-t256,0.13076710137795278,1,stable-same-direction
fwht,bf16,fp32,20,1,hier-r4-t256,0.17985944049332403,hier-r4-t256,0.1524986874134886,1,stable-same-direction
fwht,bf16,native,20,2,hier-r4-t256,0.012906056957681322,hier-r4-t256,0.010196806283315096,1,near-tie
fwht,fp16,fp32,20,2,hier-r4-t256,0.14857532307530996,hier-r4-t256,0.16803817500121743,1,stable-same-direction
fwht,fp32,native,20,1,online-r2-t256,0.05522335561027081,online-r4-t256,0.033846222113752544,1,near-tie
fwht,fp32,native,20,2,online-r2-t256,0.12932947587344734,online-r4-t256,0.019767949262064377,0,near-tie
structured-2x2,bf16,fp32,20,2,hier-r4-t256,0.05997652954422916,hier-r4-t256,0.09719280829472754,1,stable-same-direction
structured-2x2,fp32,native,20,1,online-r4-t256,0.04677119319691747,online-r4-t256,0.04689276735136705,0,near-tie
structured-2x2,fp32,native,20,2,online-r4-t256,0.017955447263701352,online-r4-t256,0.02799862132352926,1,near-tie
structured-2x2,fp64,native,20,1,online-r4-t256,0.04707550576443764,online-r4-t256,0.09786152040683271,1,stable-same-direction
structured-2x2,fp64,native,20,2,online-r4-t256,0.0892489585612295,online-r4-t256,0.087626728588311,1,stable-same-direction
fft,bf16,native,8,801,temporal-r2-t128,0.10312069538783075,temporal-r2-t128,0.1020882955741429,1,stable-same-direction
fft,fp16,native,8,801,temporal-r4-t128,0.055930041901985694,temporal-r4-t128,0.1539927981359881,1,stable-same-direction
fft,fp32,native,8,1279,temporal-r4-t128,0.14893617021276584,temporal-r4-t128,0.14925531914893608,1,stable-same-direction
fwht,fp64,native,8,1279,temporal-r4-t128,0.05305510092744137,temporal-r4-t128,0.18628518115378645,1,stable-same-direction
structured-2x2,fp64,native,8,801,temporal-r4-t128,0.11407766990291268,temporal-r4-t128,0.29162479061976554,1,stable-same-direction
structured-2x2,bf16,fp32,8,961,temporal-r4-t128,0.028667987414054297,temporal-r4-t128,0.1227186052846636,1,stable-same-direction
subset-zeta,uint32,native,8,1279,temporal-r4-t128,0.08858673259167693,temporal-r4-t128,0.1103360811667724,1,stable-same-direction
fft,fp64,native,8,959,temporal-r4-t128,0.11750585480093667,temporal-r4-t128,0.024104196133899025,0,near-tie
fft,bf16,native,15,5,online-r2-t256,0.10391449909863493,online-r2-t256,0.10802292263610314,1,stable-same-direction
fft,fp16,native,15,5,online-r4-t256,0.14631842634799397,online-r4-t256,0.046931565403236286,1,near-tie
structured-2x2,fp64,native,15,5,online-r4-t256,0.004065688775510168,online-r4-t256,0.05475504322766578,1,stable-same-direction
fft,bf16,fp32,15,6,online-r2-t256,0.030192155830481626,online-r2-t256,0.08216841869827762,1,stable-same-direction
fft,fp16,native,15,6,online-r4-t256,0.03542324962581067,online-r4-t256,0.019327318712015318,1,near-tie
fft,fp32,native,15,6,online-r4-t256,0.05311859631147531,online-r4-t256,0.04979761216367895,1,near-tie
fwht,fp64,native,15,6,online-r4-t256,0.022978188672470923,online-r4-t256,0.024964131994261063,1,near-tie
structured-2x2,fp64,native,15,6,online-r4-t256,0.0023856246873676934,online-r4-t256,0.05402200139042246,1,stable-same-direction
fft,bf16,fp32,15,7,online-r2-t256,0.03896906197489369,online-r2-t256,0.04265402843601884,0,near-tie
fft,fp16,fp32,15,7,online-r4-t256,0.09473847586528006,hier-r4-t256,0.04638498884660813,1,near-tie
fft,fp32,native,15,7,online-r4-t256,0.04701474498428815,online-r4-t256,0.03197087438046853,1,near-tie
fwht,fp64,native,15,7,online-r4-t256,0.08454301647439433,online-r4-t256,0.029511722951172326,1,near-tie
structured-2x2,fp16,native,15,7,hier-r4-t256,0.08088485054347827,hier-r4-t256,0.050104206541618845,1,stable-same-direction
structured-2x2,fp64,native,15,7,online-r4-t256,0.05441871700196699,online-r4-t256,0.05673602701016556,1,stable-same-direction
fft,bf16,native,15,8,online-r2-t256,0.07730664559740164,online-r2-t256,0.08799815710665748,1,stable-same-direction
fft,fp32,native,15,8,online-r4-t256,0.10543215773691039,online-r4-t256,0.018642024909602206,1,near-tie
fwht,fp16,fp32,15,8,hier-r4-t256,0.08859038279286335,hier-r4-t256,0.08409043766853341,1,stable-same-direction
structured-2x2,fp16,native,15,8,hier-r4-t256,0.11823290060065861,hier-r4-t256,0.1242956579383494,1,stable-same-direction
fft,bf16,native,15,9,online-r2-t256,0.18981001451610346,online-r2-t256,0.051848172656337566,1,stable-same-direction
fft,fp32,native,15,9,online-r4-t256,0.05181223437276161,online-r4-t256,0.021196227504571175,0,near-tie
fwht,bf16,native,15,9,online-r2-t256,0.02439809450238184,hier-r4-t256,0.00713432439607109,1,near-tie
fwht,fp16,fp32,15,9,hier-r4-t256,0.14363397712357018,hier-r4-t256,0.1337448559670782,1,stable-same-direction
structured-2x2,bf16,fp32,15,9,hier-r4-t256,0.021133445002791795,hier-r4-t256,0.0675354323218873,1,stable-same-direction
structured-2x2,bf16,native,15,9,online-r2-t256,0.0735815991237676,online-r2-t256,0.02538505419281223,1,near-tie
subset-zeta,uint32,native,15,9,hier-r4-t256,0.0014785430941217648,hier-r4-t256,0.1261587249959344,1,stable-same-direction
ntt,uint64,native,15,320,ntt-hybrid-r4-t256,0.08539792367106536,ntt-hybrid-r4-t256,0.08940173016020125,1,stable-same-direction
ntt,uint64,native,15,321,ntt-hybrid-r4-t256,0.07502461922268888,ntt-hybrid-r4-t256,0.08695887213586029,1,stable-same-direction
