suite_case_id,suite_group,suite_tier,suite_runner,implementation,reference,trial,performance_batch,preflight_correct,preflight_max_error,accumulation,storage_bits,compute_bits,accumulator_bits,emulated_native,coefficient_policy,arithmetic_pipeline,mapping_id,ctas_per_transform,estimated_registers_per_thread,estimated_shared_bytes_per_cta,resident_ctas_per_sm,resident_warps_per_sm,occupancy_upper_bound,total_ctas,grid_waves,grid_concurrent_fraction,limiting_resource,working_set_bytes,working_set_over_l2,resource_cliff,device,compute_capability,operator,precision,direction,normalization,placement,auto_select,selection_target,selected_implementation,selection_confidence,predicted_kernel_ms,selection_reason,backend,compute_unit,complex_multiply,cross_twiddle,direct_boundary,stage_matrices,decomposition_count,stages_per_decomposition,segment_threads,segment_ept,boundary_twiddles,boundary_layouts,boundary_residencies,execution_group_count,group_threads,group_ept,local_exchange,shared_layout,fft_core,stage_space,stage_handoff,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct,output_order,word_bits,modulus,modulus_bits,n1_log,rows_per_block,threads_per_block,inverse,kernel_ntt_s,end_to_end_ntt_s,kernel_points_s,mod_multiply
fft-fp64-log8-temporal-r4-t128-b959,fft-fp64-log8-b959,full,butterfly,cuButterfly-temporal-r4-t128,0,2,959,-1,,native,64,64,64,0,per-stage-twiddle,floating-complex,temporal-r4-t128,1,50,4096,9,36,0.5625,959,1.3319444444444444,1.0,register,7856128,1.2486979166666667,0,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix4,four-mul,table,direct-strided,,1,8,,,,,,0,,,shared,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,8,256,959,1,256,1000,100,0.715520,0.018565,0.653024,51656008.198997,52.895752,13223938098.943190,0.000000,-1,,,,,,,,,,,,
fwht-fp64-log15-hier-r4-t256-b7,fwht-fp64-log15-b7,full,butterfly,cuButterfly-hier-r4-t256,0,2,7,-1,,native,64,64,64,0,implicit-sign,floating-add,hier-r4-t256,64,48,8192,5,40,0.625,448,1.12,1.0,register,3670016,0.5833333333333334,0,Tesla V100-SXM2-16GB,7.0,fwht,fp64,forward,none,out-of-place,0,,,,0.000000,,hierarchical,radix4,four-mul,table,direct-strided,,1,15,,,,,,0,,,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,8,0,0,0,15,32768,7,1,32768,1000,100,0.395648,0.033669,0.360128,207905.655077,51.094894,6812652505.559148,0.000000,-1,,,,,,,,,,,,
structured-2x2-fp64-log8-temporal-r2-t128-b801,structured-2x2-fp64-log8-b801,full,butterfly,cuButterfly-temporal-r2-t128,0,5,801,-1,,native,64,64,64,0,broadcast,floating-fma,temporal-r2-t128,1,32,2048,16,64,1.0,801,0.62578125,0.62578125,register+thread+warp,3280896,0.521484375,0,Tesla V100-SXM2-16GB,7.0,structured-2x2,fp64,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix2,four-mul,table,direct-strided,0.92387949999999996:-0.38268340000000001:0.38268340000000001:0.92387949999999996,1,8,,,,,,0,,,shared,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,8,256,801,1,256,1000,100,0.383200,0.009032,0.308384,88687814.826062,90.816322,22704080595.471935,0.000000,-1,,,,,,,,,,,,
structured-2x2-fp64-log20-online-r4-t256-b2,structured-2x2-fp64-log20-b2,full,butterfly,cuButterfly-online-r4-t256,0,5,2,-1,,native,64,64,64,0,broadcast,floating-fma,online-r4-t256,512,50,8192,4,32,0.5,1024,3.2,1.0,register,33554432,5.333333333333333,0,Tesla V100-SXM2-16GB,7.0,structured-2x2,fp64,forward,none,out-of-place,0,,,,0.000000,,online-reorder,radix4,four-mul,table,direct-strided,0.92387949999999996:-0.38268340000000001:0.38268340000000001:0.92387949999999996,2,10x10,0x0,8x8,table,direct-strided,global-scratch,2,0x0,8x8,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,10,1,0,0,20,1048576,2,1,1048576,1000,100,2.765088,0.204012,2.613024,9803.368217,102.795766,10279576631.895699,0.000000,-1,,,,,,,,,,,,
fft-bf16-native-log8-temporal-r2-t128-b801,fft-bf16-native-log8-b801,full,butterfly,cuButterfly-temporal-r2-t128,0,2,801,-1,,native,16,32,16,1,per-stage-twiddle,floating-complex,temporal-r2-t128,1,32,1024,16,64,1.0,801,0.62578125,0.62578125,register+thread+warp,1640448,0.2607421875,0,Tesla V100-SXM2-16GB,7.0,fft,bf16,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix2,four-mul,table,direct-strided,,1,8,,,,,,0,,,shared,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,8,256,801,1,256,1000,100,0.206336,0.018022,0.203712,44444692.541378,45.511365,11377841290.592869,0.000000,-1,,,,,,,,,,,,
subset-zeta-uint32-zeta-log15-hier-r4-t256-b9,subset-zeta-uint32-zeta-log15-b9,full,butterfly,cuButterfly-hier-r4-t256,0,4,9,-1,,native,32,32,32,0,implicit-unit,integer-add,hier-r4-t256,64,44,4096,5,40,0.625,576,1.44,1.0,register,2359296,0.375,0,Tesla V100-SXM2-16GB,7.0,subset-zeta,uint32,forward,none,out-of-place,0,,,,0.000000,,hierarchical,radix4,four-mul,table,direct-strided,,1,15,,,,,,0,,,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,8,0,0,0,15,32768,9,1,32768,1000,100,0.292864,0.024627,0.260832,365449.593155,89.812892,11975052268.510071,0.000000,-1,,,,,,,,,,,,
fft-fp16-fp32-log15-online-r4-t256-b7,fft-fp16-fp32-log15-b7,full,butterfly,cuButterfly-online-r4-t256,0,5,7,-1,,fp32,16,32,32,0,per-stage-twiddle,floating-complex,online-r4-t256,64,50,4096,4,32,0.5,448,1.4,1.0,register,1835008,0.2916666666666667,0,Tesla V100-SXM2-16GB,7.0,fft,fp16,forward,none,out-of-place,0,,,,0.000000,,online-reorder,radix4,four-mul,table,direct-strided,,2,8x7,0x0,8x8,table,direct-strided,global-scratch,2,0x0,8x8,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,8,1,0,0,15,32768,7,1,32768,1000,100,0.267936,0.031867,0.221536,219663.813331,53.984579,7197943835.245376,0.000000,-1,,,,,,,,,,,,
ntt-uint64-ntt-log15-ntt-hybrid-r2-t256-b321,ntt-uint64-ntt-log15-b321,full,ntt,cuButterfly-ntt-hybrid-r2-t256,0,1,321,-1,,native,64,64,64,0,per-stage-root,modular-multiply-reduce,ntt-hybrid-r2-t256,1,52,4096,4,32,0.5,321,1.003125,1.0,register,168296448,26.75,0,Tesla V100-SXM2-16GB,7.0,ntt,uint64,forward,,,0,,,,0.000000,,hybrid2d,radix2,,fused,,,,,,,,,,,,,,,,0,named-barrier,,,,,,,,,,,,15,32768,321,1,32768,1000,100,13.579488,0.680725,19.598783,,,,,-1,natural,64,1152921504606748673,60,7,4,256,0,471556.406800,9480.493809,15451960338.030142,shoup
fwht-bf16-native-log8-temporal-r2-t128-b1281,fwht-bf16-native-log8-b1281,full,butterfly,cuButterfly-temporal-r2-t128,0,5,1281,-1,,native,16,32,16,1,implicit-sign,floating-add,temporal-r2-t128,1,30,512,16,64,1.0,1281,1.00078125,1.0,register+thread+warp,1311744,0.20849609375,0,Tesla V100-SXM2-16GB,7.0,fwht,bf16,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix2,four-mul,table,direct-strided,,1,8,,,,,,0,,,shared,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,8,256,1281,1,256,1000,100,0.178720,0.009185,0.179584,139462260.184819,142.809354,35702338607.313675,0.000000,-1,,,,,,,,,,,,
fwht-fp32-log8-temporal-r4-t128-b959,fwht-fp32-log8-b959,full,butterfly,cuButterfly-temporal-r4-t128,0,4,959,-1,,native,32,32,32,0,implicit-sign,floating-add,temporal-r4-t128,1,38,1024,12,48,0.75,959,0.9989583333333333,0.9989583333333333,register,1964032,0.3121744791666667,0,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix4,four-mul,table,direct-strided,,1,8,,,,,,0,,,shared,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,8,256,959,1,256,1000,100,0.270016,0.004413,0.226560,217290826.071479,222.505806,55626451474.298538,0.000000,-1,,,,,,,,,,,,
fft-fp32-log20-online-r4-t256-b1,fft-fp32-log20-b1,full,butterfly,cuButterfly-online-r4-t256,0,2,1,-1,,native,32,32,32,0,per-stage-twiddle,floating-complex,online-r4-t256,512,50,8192,4,32,0.5,512,1.6,1.0,register,16777216,2.6666666666666665,0,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,0,,,,0.000000,,online-reorder,radix4,four-mul,table,direct-strided,,2,10x10,0x0,8x8,table,direct-strided,global-scratch,2,0x0,8x8,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,10,1,0,0,20,1048576,1,1,1048576,1000,100,1.413120,0.165458,1.343136,6043.832804,63.374180,6337418026.386717,0.000000,-1,,,,,,,,,,,,
fft-fp16-native-log8-temporal-r4-t128-b800,fft-fp16-native-log8-b800,full,butterfly,cuButterfly-temporal-r4-t128,0,1,800,-1,,native,16,16,16,0,per-stage-twiddle,floating-complex,temporal-r4-t128,1,42,1024,10,40,0.625,800,1.0,1.0,register,1638400,0.2604166666666667,0,Tesla V100-SXM2-16GB,7.0,fft,fp16,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix4,four-mul,table,direct-strided,,1,8,,,,,,0,,,shared,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,8,256,800,1,256,1000,100,0.193280,0.004731,0.222176,169101738.936228,173.160181,43290045167.674316,0.000000,-1,,,,,,,,,,,,
fft-fp32-log15-hier-r4-t256-b9,fft-fp32-log15-b9,full,butterfly,cuButterfly-hier-r4-t256,0,2,9,-1,,native,32,32,32,0,per-stage-twiddle,floating-complex,hier-r4-t256,64,48,8192,5,40,0.625,576,1.44,1.0,register,4718592,0.75,0,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,0,,,,0.000000,,hierarchical,radix4,four-mul,table,direct-strided,,1,15,,,,,,0,,,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,8,0,0,0,15,32768,9,1,32768,1000,100,0.519712,0.042506,0.450752,211733.616870,52.035654,6938087157.581885,0.000000,-1,,,,,,,,,,,,
structured-2x2-fp64-log20-online-r2-t256-b1,structured-2x2-fp64-log20-b1,full,butterfly,cuButterfly-online-r2-t256,0,5,1,-1,,native,64,64,64,0,broadcast,floating-fma,online-r2-t256,512,38,4096,6,48,0.75,512,1.0666666666666667,1.0,register,16777216,2.6666666666666665,0,Tesla V100-SXM2-16GB,7.0,structured-2x2,fp64,forward,none,out-of-place,0,,,,0.000000,,online-reorder,radix2,four-mul,table,direct-strided,0.92387949999999996:-0.38268340000000001:0.38268340000000001:0.92387949999999996,2,10x10,0x0,8x8,table,direct-strided,global-scratch,2,0x0,8x8,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,10,1,0,0,20,1048576,1,1,1048576,1000,100,1.421600,0.117668,1.365888,8498.498902,89.113220,8911321985.050949,0.000000,-1,,,,,,,,,,,,
fwht-bf16-native-log20-online-r2-t256-b2,fwht-bf16-native-log20-b2,full,butterfly,cuButterfly-online-r2-t256,0,1,2,-1,,native,16,32,16,1,implicit-sign,floating-add,online-r2-t256,512,36,1024,6,48,0.75,1024,2.1333333333333333,1.0,register,8388608,1.3333333333333333,0,Tesla V100-SXM2-16GB,7.0,fwht,bf16,forward,none,out-of-place,0,,,,0.000000,,online-reorder,radix2,four-mul,table,direct-strided,,2,10x10,0x0,8x8,table,direct-strided,global-scratch,2,0x0,8x8,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,10,1,0,0,20,1048576,2,1,1048576,1000,100,0.759424,0.197919,0.775296,10105.158672,105.960269,10596026859.858606,0.000000,-1,,,,,,,,,,,,
fft-fp16-fp32-log20-online-r4-t256-b2,fft-fp16-fp32-log20-b2,full,butterfly,cuButterfly-online-r4-t256,0,1,2,-1,,fp32,16,32,32,0,per-stage-twiddle,floating-complex,online-r4-t256,512,50,4096,4,32,0.5,1024,3.2,1.0,register,16777216,2.6666666666666665,0,Tesla V100-SXM2-16GB,7.0,fft,fp16,forward,none,out-of-place,0,,,,0.000000,,online-reorder,radix4,four-mul,table,direct-strided,,2,10x10,0x0,8x8,table,direct-strided,global-scratch,2,0x0,8x8,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,10,1,0,0,20,1048576,2,1,1048576,1000,100,1.416000,0.239831,1.343712,8339.203950,87.442891,8744289120.865641,0.000000,-1,,,,,,,,,,,,
