event_type,axis,operator,precision,accumulation,logN,batch,from_mapping,to_mapping,relative_margin,trial_ranges_non_overlapping,classification,reason
winner-crossover,batch,fwht,bf16,native,15,6,online-r2-t256,hier-r4-t256,0.043984374999999964,0,ambiguous,winner changes along batch
winner-crossover,batch,fwht,bf16,native,15,7,hier-r4-t256,online-r2-t256,0.17539236582057738,1,confirmed,winner changes along batch
winner-crossover,batch,fwht,bf16,native,15,8,online-r2-t256,online-r4-t256,0.06493691638748311,0,ambiguous,winner changes along batch
winner-crossover,batch,fwht,bf16,native,15,9,online-r4-t256,online-r2-t256,0.04020213724732846,0,ambiguous,winner changes along batch
winner-crossover,batch,fwht,bf16,native,8,961,temporal-r4-t128,temporal-r2-t128,0.08660665575559201,0,ambiguous,winner changes along batch
winner-crossover,batch,fwht,bf16,native,8,1279,temporal-r2-t128,temporal-r4-t128,0.11644004944375763,1,confirmed,winner changes along batch
winner-crossover,batch,fwht,bf16,native,8,1280,temporal-r4-t128,temporal-r2-t128,0.03844454264250996,0,ambiguous,winner changes along batch
winner-crossover,batch,fwht,bf16,native,8,1281,temporal-r2-t128,temporal-r4-t128,0.07355738744451501,0,ambiguous,winner changes along batch
winner-crossover,batch,fft,fp16,fp32,15,5,online-r4-t256,online-r2-t256,0.09191512017036807,1,confirmed,winner changes along batch
winner-crossover,batch,fft,fp16,fp32,15,6,online-r2-t256,online-r4-t256,0.133064251493076,0,ambiguous,winner changes along batch
winner-crossover,batch,fft,fp16,fp32,15,9,online-r4-t256,hier-r4-t256,0.15119356006796458,0,ambiguous,winner changes along batch
winner-crossover,batch,fft,fp64,native,15,4,online-r2-t256,online-r4-t256,0.016184454676654525,0,ambiguous,winner changes along batch
winner-crossover,batch,fft,fp64,native,15,6,online-r4-t256,online-r2-t256,0.020475801325706033,0,ambiguous,winner changes along batch
winner-crossover,batch,fft,fp64,native,15,8,online-r2-t256,online-r4-t256,0.03378445517597717,0,ambiguous,winner changes along batch
winner-crossover,batch,fft,fp32,native,15,4,online-r4-t256,online-r2-t256,0.1214666031773517,0,ambiguous,winner changes along batch
winner-crossover,batch,fft,fp32,native,15,5,online-r2-t256,online-r4-t256,0.21851572726190938,0,ambiguous,winner changes along batch
winner-crossover,batch,structured-2x2,bf16,native,15,6,online-r2-t256,hier-r4-t256,0.016582046019228747,0,ambiguous,winner changes along batch
winner-crossover,batch,structured-2x2,bf16,native,15,7,hier-r4-t256,online-r2-t256,0.048219859281595445,1,confirmed,winner changes along batch
winner-crossover,batch,fft,fp16,native,15,8,online-r4-t256,hier-r4-t256,0.28314087759815254,0,ambiguous,winner changes along batch
winner-crossover,batch,fwht,fp32,native,8,1279,temporal-r4-t128,temporal-r2-t128,0.011113135361632498,0,ambiguous,winner changes along batch
winner-crossover,batch,fwht,fp32,native,8,1280,temporal-r2-t128,temporal-r4-t128,0.08823529411764697,0,ambiguous,winner changes along batch
winner-crossover,batch,fwht,fp64,native,8,799,temporal-r4-t128,temporal-r2-t128,0.010812696198116312,0,ambiguous,winner changes along batch
winner-crossover,batch,fwht,fp64,native,8,800,temporal-r2-t128,temporal-r4-t128,0.1280625543006082,0,ambiguous,winner changes along batch
winner-crossover,batch,structured-2x2,fp32,native,15,6,online-r4-t256,online-r2-t256,0.1108878892431322,0,ambiguous,winner changes along batch
winner-crossover,batch,structured-2x2,fp32,native,15,7,online-r2-t256,hier-r4-t256,0.006103461109043362,0,ambiguous,winner changes along batch
winner-crossover,batch,structured-2x2,fp32,native,15,8,hier-r4-t256,online-r4-t256,0.07756860124020637,1,confirmed,winner changes along batch
winner-crossover,batch,structured-2x2,fp32,native,15,9,online-r4-t256,hier-r4-t256,0.30716121360899074,1,confirmed,winner changes along batch
winner-crossover,batch,structured-2x2,bf16,fp32,15,6,online-r2-t256,hier-r4-t256,0.022933294810213445,0,ambiguous,winner changes along batch
winner-crossover,batch,structured-2x2,bf16,fp32,15,7,hier-r4-t256,online-r4-t256,0.15169554587009682,0,ambiguous,winner changes along batch
winner-crossover,batch,structured-2x2,bf16,fp32,15,8,online-r4-t256,hier-r4-t256,0.0522518289818108,0,ambiguous,winner changes along batch
winner-crossover,batch,structured-2x2,fp64,native,15,9,online-r4-t256,hier-r4-t256,0.06383759004584166,0,ambiguous,winner changes along batch
winner-crossover,batch,structured-2x2,bf16,native,8,961,temporal-r2-t128,temporal-r4-t128,0.05024865982044835,0,ambiguous,winner changes along batch
winner-crossover,batch,structured-2x2,bf16,native,8,1279,temporal-r4-t128,temporal-r2-t128,0.03167082294264345,0,ambiguous,winner changes along batch
winner-crossover,batch,structured-2x2,bf16,native,8,1280,temporal-r2-t128,temporal-r4-t128,0.11859027893769825,0,ambiguous,winner changes along batch
winner-crossover,batch,structured-2x2,bf16,native,8,1281,temporal-r4-t128,temporal-r2-t128,0.024120011765859317,0,ambiguous,winner changes along batch
winner-crossover,batch,ntt,uint32,native,15,319,ntt-hybrid-r4-t256,ntt-hybrid-r2-t256,0.0008879156841041791,0,ambiguous,winner changes along batch
winner-crossover,batch,ntt,uint32,native,15,320,ntt-hybrid-r2-t256,ntt-hybrid-r4-t256,0.25016701518072937,1,confirmed,winner changes along batch
winner-crossover,batch,fwht,bf16,fp32,15,7,online-r4-t256,online-r2-t256,0.11359757989450814,0,ambiguous,winner changes along batch
winner-crossover,batch,fwht,bf16,fp32,15,8,online-r2-t256,online-r4-t256,0.00898223813061394,0,ambiguous,winner changes along batch
winner-crossover,batch,fwht,bf16,fp32,15,9,online-r4-t256,hier-r4-t256,0.06761307362165714,0,ambiguous,winner changes along batch
winner-crossover,batch,subset-zeta,uint32,native,8,959,temporal-r4-t128,temporal-r2-t128,0.05671641791044779,0,ambiguous,winner changes along batch
winner-crossover,batch,subset-zeta,uint32,native,8,960,temporal-r2-t128,temporal-r4-t128,0.15229016507788895,1,confirmed,winner changes along batch
winner-crossover,batch,subset-zeta,uint32,native,8,1280,temporal-r4-t128,temporal-r2-t128,0.03092006033182515,0,ambiguous,winner changes along batch
winner-crossover,batch,subset-zeta,uint32,native,8,1281,temporal-r2-t128,temporal-r4-t128,0.04228250701590275,1,confirmed,winner changes along batch
winner-crossover,batch,fft,bf16,fp32,8,800,temporal-r2-t128,temporal-r4-t128,0.0689575998775449,0,ambiguous,winner changes along batch
winner-crossover,batch,fft,bf16,fp32,8,1279,temporal-r4-t128,temporal-r2-t128,0.17289373110489992,1,confirmed,winner changes along batch
winner-crossover,batch,fwht,fp16,fp32,8,961,temporal-r4-t128,temporal-r2-t128,0.00827280064568181,0,ambiguous,winner changes along batch
winner-crossover,batch,fwht,fp16,fp32,8,1279,temporal-r2-t128,temporal-r4-t128,0.1568384026484586,1,confirmed,winner changes along batch
winner-crossover,batch,fwht,fp64,native,15,4,online-r2-t256,online-r4-t256,0.1423225423225425,0,ambiguous,winner changes along batch
