suite_case_id,suite_group,suite_tier,suite_runner,implementation,reference,trial,performance_batch,preflight_correct,preflight_max_error,accumulation,storage_bits,compute_bits,accumulator_bits,emulated_native,coefficient_policy,arithmetic_pipeline,mapping_id,ctas_per_transform,estimated_registers_per_thread,estimated_shared_bytes_per_cta,resident_ctas_per_sm,resident_warps_per_sm,occupancy_upper_bound,total_ctas,grid_waves,grid_concurrent_fraction,limiting_resource,working_set_bytes,working_set_over_l2,resource_cliff,device,compute_capability,operator,precision,direction,normalization,placement,auto_select,selection_target,selected_implementation,selection_confidence,predicted_kernel_ms,selection_reason,backend,compute_unit,complex_multiply,cross_twiddle,direct_boundary,stage_matrices,decomposition_count,stages_per_decomposition,segment_threads,segment_ept,boundary_twiddles,boundary_layouts,boundary_residencies,execution_group_count,group_threads,group_ept,local_exchange,shared_layout,fft_core,stage_space,stage_handoff,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct,output_order,word_bits,modulus,modulus_bits,n1_log,rows_per_block,threads_per_block,inverse,kernel_ntt_s,end_to_end_ntt_s,kernel_points_s,mod_multiply
fwht-bf16-native-log15-online-r2-t256-b6,fwht-bf16-native-log15-b6,quick,butterfly,cuButterfly-online-r2-t256,0,3,6,1,0.006966,native,16,32,16,1,implicit-sign,floating-add,online-r2-t256,64,36,1024,6,48,0.75,384,0.8,0.8,register,786432,0.125,0,Tesla V100-SXM2-16GB,7.0,fwht,bf16,forward,none,out-of-place,0,,,,0.000000,,online-reorder,radix2,four-mul,table,direct-strided,,2,8x7,0x0,8x8,table,direct-strided,global-scratch,2,0x0,8x8,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,8,1,0,0,15,32768,6,1,32768,20,50,0.094656,0.026685,0.100736,224841.703744,55.257097,7367612948.279208,0.000000,-1,,,,,,,,,,,,
fwht-bf16-native-log8-temporal-r2-t128-b961,fwht-bf16-native-log8-b961,quick,butterfly,cuButterfly-temporal-r2-t128,0,1,961,1,0.005010,native,16,32,16,1,implicit-sign,floating-add,temporal-r2-t128,1,30,512,16,64,1.0,961,0.75078125,0.75078125,register+thread+warp,984064,0.15641276041666666,0,Tesla V100-SXM2-16GB,7.0,fwht,bf16,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix2,four-mul,table,direct-strided,,1,8,,,,,,0,,,shared,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,8,256,961,1,256,20,50,0.141184,0.008499,0.124896,113069471.686990,115.783139,28945784751.869450,0.000000,-1,,,,,,,,,,,,
structured-2x2-fp64-log8-temporal-r4-t128-b800,structured-2x2-fp64-log8-b800,quick,butterfly,cuButterfly-temporal-r4-t128,0,2,800,1,0.000000,native,64,64,64,0,broadcast,floating-fma,temporal-r4-t128,1,42,2048,10,40,0.625,800,1.0,1.0,register,3276800,0.5208333333333334,0,Tesla V100-SXM2-16GB,7.0,structured-2x2,fp64,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix4,four-mul,table,direct-strided,0.92387949999999996:-0.38268340000000001:0.38268340000000001:0.92387949999999996,1,8,,,,,,0,,,shared,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,8,256,800,1,256,20,50,0.371168,0.006758,0.302720,118371207.934321,121.212117,30303029231.186241,0.000000,-1,,,,,,,,,,,,
fft-fp16-fp32-log15-hier-r4-t256-b6,fft-fp16-fp32-log15-b6,quick,butterfly,cuButterfly-hier-r4-t256,0,2,6,1,0.001078,fp32,16,32,32,0,per-stage-twiddle,floating-complex,hier-r4-t256,64,48,4096,5,40,0.625,384,0.96,0.96,register,1572864,0.25,0,Tesla V100-SXM2-16GB,7.0,fft,fp16,forward,none,out-of-place,0,,,,0.000000,,hierarchical,radix4,four-mul,table,direct-strided,,1,15,,,,,,0,,,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,8,0,0,0,15,32768,6,1,32768,20,50,0.239008,0.033464,0.206304,179295.440615,44.063647,5875152998.076146,0.000000,-1,,,,,,,,,,,,
fft-fp64-log15-hier-r4-t256-b1,fft-fp64-log15-b1,quick,butterfly,cuButterfly-hier-r4-t256,0,1,1,1,0.000000,native,64,64,64,0,per-stage-twiddle,floating-complex,hier-r4-t256,64,56,16384,4,32,0.5,64,0.2,0.2,register,1048576,0.16666666666666666,0,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,,,,0.000000,,hierarchical,radix4,four-mul,table,direct-strided,,1,15,,,,,,0,,,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,8,0,0,0,15,32768,1,1,32768,20,50,0.140832,0.026337,0.129632,37968.991748,9.331259,1244167921.600711,0.000000,-1,,,,,,,,,,,,
fft-fp32-log15-online-r2-t256-b1,fft-fp32-log15-b1,quick,butterfly,cuButterfly-online-r2-t256,0,3,1,1,0.000097,native,32,32,32,0,per-stage-twiddle,floating-complex,online-r2-t256,64,38,4096,6,48,0.75,64,0.13333333333333333,0.13333333333333333,register,524288,0.08333333333333333,0,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,0,,,,0.000000,,online-reorder,radix2,four-mul,table,direct-strided,,2,8x7,0x0,8x8,table,direct-strided,global-scratch,2,0x0,8x8,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,8,1,0,0,15,32768,1,1,32768,20,50,0.063744,0.013885,0.083520,72017.886730,17.699116,2359882112.366734,0.000000,-1,,,,,,,,,,,,
structured-2x2-bf16-native-log15-hier-r4-t256-b6,structured-2x2-bf16-native-log15-b6,quick,butterfly,cuButterfly-hier-r4-t256,0,1,6,1,0.029309,native,16,32,16,1,broadcast,floating-fma,hier-r4-t256,64,44,2048,5,40,0.625,384,0.96,0.96,register,786432,0.125,0,Tesla V100-SXM2-16GB,7.0,structured-2x2,bf16,forward,none,out-of-place,0,,,,0.000000,,hierarchical,radix4,four-mul,table,direct-strided,0.92387949999999996:-0.38268340000000001:0.38268340000000001:0.92387949999999996,1,15,,,,,,0,,,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,8,0,0,0,15,32768,6,1,32768,20,50,0.094880,0.041943,0.102720,143051.148330,35.156250,4687500028.488146,0.000000,-1,,,,,,,,,,,,
fft-fp32-log15-hier-r4-t256-b9,fft-fp32-log15-b9,quick,butterfly,cuButterfly-hier-r4-t256,0,2,9,1,0.000086,native,32,32,32,0,per-stage-twiddle,floating-complex,hier-r4-t256,64,48,8192,5,40,0.625,576,1.44,1.0,register,4718592,0.75,0,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,0,,,,0.000000,,hierarchical,radix4,four-mul,table,direct-strided,,1,15,,,,,,0,,,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,8,0,0,0,15,32768,9,1,32768,20,50,0.531264,0.048497,0.426144,185579.862313,45.608107,6081080928.270827,0.000000,-1,,,,,,,,,,,,
fft-bf16-native-log8-temporal-r2-t128-b1281,fft-bf16-native-log8-b1281,quick,butterfly,cuButterfly-temporal-r2-t128,0,1,1281,1,0.006611,native,16,32,16,1,per-stage-twiddle,floating-complex,temporal-r2-t128,1,32,1024,16,64,1.0,1281,1.00078125,1.0,register+thread+warp,2623488,0.4169921875,0,Tesla V100-SXM2-16GB,7.0,fft,bf16,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix2,four-mul,table,direct-strided,,1,8,,,,,,0,,,shared,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,8,256,1281,1,256,20,50,0.318016,0.030003,0.266336,42695446.738654,43.720137,10930034365.095518,0.000000,-1,,,,,,,,,,,,
fft-fp16-native-log15-online-r2-t256-b8,fft-fp16-native-log15-b8,quick,butterfly,cuButterfly-online-r2-t256,0,3,8,1,0.001141,native,16,16,16,0,per-stage-twiddle,floating-complex,online-r2-t256,64,38,2048,6,48,0.75,512,1.0666666666666667,1.0,register,2097152,0.3333333333333333,0,Tesla V100-SXM2-16GB,7.0,fft,fp16,forward,none,out-of-place,0,,,,0.000000,,online-reorder,radix2,four-mul,table,direct-strided,,2,8x7,0x0,8x8,table,direct-strided,global-scratch,2,0x0,8x8,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,8,1,0,0,15,32768,8,1,32768,20,50,0.326432,0.042598,0.267840,187800.479601,46.153846,6153846115.566867,0.000000,-1,,,,,,,,,,,,
fwht-bf16-native-log8-temporal-r4-t128-b959,fwht-bf16-native-log8-b959,quick,butterfly,cuButterfly-temporal-r4-t128,0,2,959,1,0.005010,native,16,32,16,1,implicit-sign,floating-add,temporal-r4-t128,1,38,512,12,48,0.75,959,0.9989583333333333,0.9989583333333333,register,982016,0.15608723958333334,0,Tesla V100-SXM2-16GB,7.0,fwht,bf16,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix4,four-mul,table,direct-strided,,1,8,,,,,,0,,,shared,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,8,256,959,1,256,20,50,0.127232,0.007864,0.141504,121943145.834858,124.869781,31217445333.723660,0.000000,-1,,,,,,,,,,,,
fft-fp16-native-log15-hier-r4-t256-b1,fft-fp16-native-log15-b1,quick,butterfly,cuButterfly-hier-r4-t256,0,3,1,1,0.001141,native,16,16,16,0,per-stage-twiddle,floating-complex,hier-r4-t256,64,48,4096,5,40,0.625,64,0.16,0.16,register,262144,0.041666666666666664,0,Tesla V100-SXM2-16GB,7.0,fft,fp16,forward,none,out-of-place,0,,,,0.000000,,hierarchical,radix4,four-mul,table,direct-strided,,1,15,,,,,,0,,,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,8,0,0,0,15,32768,1,1,32768,20,50,0.037344,0.022446,0.047552,44551.210570,10.948906,1459854067.953032,0.000000,-1,,,,,,,,,,,,
fwht-fp32-log8-temporal-r4-t128-b1,fwht-fp32-log8-b1,quick,butterfly,cuButterfly-temporal-r4-t128,0,1,1,1,0.000000,native,32,32,32,0,implicit-sign,floating-add,temporal-r4-t128,1,38,1024,12,48,0.75,1,0.0010416666666666667,0.0010416666666666667,register,2048,0.0003255208333333333,0,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix4,four-mul,table,direct-strided,,1,8,,,,,,0,,,shared,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,8,256,1,1,256,20,50,0.009216,0.002888,0.018080,346298.763369,0.354610,88652483.422564,0.000000,-1,,,,,,,,,,,,
fft-fp32-log15-online-r2-t256-b4,fft-fp32-log15-b4,quick,butterfly,cuButterfly-online-r2-t256,0,2,4,1,0.000097,native,32,32,32,0,per-stage-twiddle,floating-complex,online-r2-t256,64,38,4096,6,48,0.75,256,0.5333333333333333,0.5333333333333333,register,2097152,0.3333333333333333,0,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,0,,,,0.000000,,online-reorder,radix2,four-mul,table,direct-strided,,2,8x7,0x0,8x8,table,direct-strided,global-scratch,2,0x0,8x8,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,8,1,0,0,15,32768,4,1,32768,20,50,0.346048,0.026685,0.264448,149894.469163,36.838065,4911741965.519472,0.000000,-1,,,,,,,,,,,,
fwht-fp64-log8-temporal-r4-t128-b1281,fwht-fp64-log8-b1281,quick,butterfly,cuButterfly-temporal-r4-t128,0,1,1281,1,0.000000,native,64,64,64,0,implicit-sign,floating-add,temporal-r4-t128,1,42,2048,10,40,0.625,1281,1.60125,1.0,register,5246976,0.833984375,0,Tesla V100-SXM2-16GB,7.0,fwht,fp64,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix4,four-mul,table,direct-strided,,1,8,,,,,,0,,,shared,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,8,256,1281,1,256,20,50,0.522560,0.007455,0.447040,171837432.394626,175.961531,43990382693.024193,0.000000,-1,,,,,,,,,,,,
structured-2x2-fp32-log15-hier-r4-t256-b7,structured-2x2-fp32-log15-b7,quick,butterfly,cuButterfly-hier-r4-t256,0,2,7,1,0.000000,native,32,32,32,0,broadcast,floating-fma,hier-r4-t256,64,44,4096,5,40,0.625,448,1.12,1.0,register,1835008,0.2916666666666667,0,Tesla V100-SXM2-16GB,7.0,structured-2x2,fp32,forward,none,out-of-place,0,,,,0.000000,,hierarchical,radix4,four-mul,table,direct-strided,0.92387949999999996:-0.38268340000000001:0.38268340000000001:0.92387949999999996,1,15,,,,,,0,,,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,8,0,0,0,15,32768,7,1,32768,20,50,0.235872,0.027709,0.224800,252621.477800,62.084254,8277900584.564551,0.000000,-1,,,,,,,,,,,,
fft-bf16-native-log15-hier-r4-t256-b9,fft-bf16-native-log15-b9,quick,butterfly,cuButterfly-hier-r4-t256,0,1,9,1,0.009550,native,16,32,16,1,per-stage-twiddle,floating-complex,hier-r4-t256,64,48,4096,5,40,0.625,576,1.44,1.0,register,2359296,0.375,0,Tesla V100-SXM2-16GB,7.0,fft,bf16,forward,none,out-of-place,0,,,,0.000000,,hierarchical,radix4,four-mul,table,direct-strided,,1,15,,,,,,0,,,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,8,0,0,0,15,32768,9,1,32768,20,50,0.377120,0.076780,0.263840,117218.766654,28.807684,3841024545.726748,0.000000,-1,,,,,,,,,,,,
