holdout_dimension,holdout_value,operator,precision,accumulation,logN,batch,measured_winner,predicted_winner,top1_correct,topk_contains_winner,regret
numeric-contract,bf16:fp32,structured-2x2,bf16,fp32,15,9,hier-r4-t256,hier-r4-t256,1,1,1.0
numeric-contract,bf16:fp32,fwht,bf16,fp32,20,1,hier-r4-t256,hier-r4-t256,1,1,1.0
numeric-contract,bf16:fp32,structured-2x2,bf16,fp32,15,7,online-r4-t256,hier-r4-t256,0,1,1.1516955458700968
numeric-contract,bf16:fp32,structured-2x2,bf16,fp32,15,1,online-r2-t256,online-r4-t256,0,1,1.1832736674622115
numeric-contract,bf16:fp32,fwht,bf16,fp32,15,8,online-r4-t256,hier-r4-t256,0,1,1.0905990409941244
numeric-contract,bf16:fp32,structured-2x2,bf16,fp32,8,1281,temporal-r4-t128,temporal-r4-t128,1,1,1.0
numeric-contract,bf16:fp32,fwht,bf16,fp32,15,6,online-r4-t256,online-r2-t256,0,1,1.1517841751422169
numeric-contract,bf16:fp32,fft,bf16,fp32,8,800,temporal-r4-t128,temporal-r4-t128,1,1,1.0
numeric-contract,bf16:fp32,structured-2x2,bf16,fp32,20,2,hier-r4-t256,hier-r4-t256,1,1,1.0
numeric-contract,bf16:fp32,fwht,bf16,fp32,8,960,temporal-r4-t128,temporal-r4-t128,1,1,1.0
numeric-contract,bf16:fp32,fwht,bf16,fp32,15,7,online-r2-t256,hier-r4-t256,0,1,1.108051504809184
numeric-contract,bf16:fp32,fft,bf16,fp32,20,2,online-r4-t256,online-r4-t256,1,1,1.0
numeric-contract,bf16:fp32,structured-2x2,bf16,fp32,8,961,temporal-r4-t128,temporal-r4-t128,1,1,1.0
numeric-contract,bf16:fp32,fft,bf16,fp32,15,9,hier-r4-t256,hier-r4-t256,1,1,1.0
numeric-contract,bf16:fp32,fwht,bf16,fp32,8,1,temporal-r4-t128,temporal-r4-t128,1,1,1.0
numeric-contract,bf16:fp32,fft,bf16,fp32,8,1281,temporal-r2-t128,temporal-r2-t128,1,1,1.0
numeric-contract,bf16:fp32,fft,bf16,fp32,8,1280,temporal-r2-t128,temporal-r4-t128,0,1,1.2124095493134293
numeric-contract,bf16:fp32,fft,bf16,fp32,15,7,online-r2-t256,online-r4-t256,0,1,1.0389690619748937
numeric-contract,bf16:fp32,fft,bf16,fp32,15,4,online-r4-t256,online-r4-t256,1,1,1.0
numeric-contract,bf16:fp32,fft,bf16,fp32,8,1279,temporal-r2-t128,temporal-r4-t128,0,1,1.1728937311049
