suite_case_id,suite_group,suite_tier,suite_runner,implementation,reference,trial,performance_batch,preflight_correct,preflight_max_error,device,compute_capability,library,library_version,precision,direction,placement,logN,N,batch,warmup,repeat,plan_ms,kernel_ms,transforms_s,Gbutterfly_s,points_s,max_abs_error,relative_l2_error,correct,operator,normalization,element_stride,output_order,batch_stride,backend,compute_unit,complex_multiply,cross_twiddle,local_exchange,fft_core,stage_space,stage_handoff,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,h2d_ms,d2h_ms,max_error,word_bits,modulus,modulus_bits,n1_log,rows_per_block,threads_per_block,inverse,kernel_ntt_s,end_to_end_ntt_s,kernel_points_s,mod_multiply
fft18_vkfft_b8,fft18-batch8,full,fft-library,VkFFT,0,4,8,1,,Tesla V100-SXM2-16GB,7.0,vkfft,10304,fp32,forward,in-place,18,262144,8,1000,100,342.160588000,0.111779839,71569.256905828,168.853061541,18761451282.321289062,0.000000000,0.000000000,-1,fft,none,1,,262144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xor8_r2_b1,xor8-batch1,quick,butterfly,cuButterfly-radix2,0,2,1,1,0.000000,Tesla V100-SXM2-16GB,7.0,,,uint32,forward,out-of-place,8,256,1,1000,100,,0.002836,352549.634236,0.361011,90252706.364468,,,-1,xor-zeta,none,1,,256,temporal-tile,radix2,four-mul,table,shared,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,0.012288,0.019488,0.000000,,,,,,,,,,,
xor20_hier_b2,xor20-batch2,full,butterfly,cuButterfly-hierarchical-radix4,0,3,2,1,0.000000,Tesla V100-SXM2-16GB,7.0,,,uint32,forward,out-of-place,20,1048576,2,1000,100,,0.256860,7786.337699,81.645668,8164566838.929377,,,-1,xor-zeta,none,1,,1048576,hierarchical,radix4,four-mul,table,shared,scalar,0,named-barrier,256,0,0,8,8,0,0,10,0,0,0,1.428576,1.350464,0.000000,,,,,,,,,,,
fft8_cub_b65536,fft8-batch65536,full,butterfly,cuButterfly-cuFFTDx,0,3,65536,1,0.000008,Tesla V100-SXM2-16GB,7.0,,,fp32,forward,in-place,8,256,65536,1000,100,,0.327598,200050021.578792,204.851222,51212805524.170723,,,-1,fft,none,1,,256,temporal-tile,auto,four-mul,table,shared,cufftdx-block,0,named-barrier,32,0,0,8,8,0,0,0,0,0,0,21.625919,20.140160,0.000000,,,,,,,,,,,
fft20_vkfft_b4,fft20-batch4,quick,fft-library,VkFFT,0,3,4,1,,Tesla V100-SXM2-16GB,7.0,vkfft,10304,fp32,forward,in-place,20,1048576,4,1000,100,794.356296000,0.206817284,19340.743279565,202.802392251,20280239225.113304138,0.000000000,0.000000000,-1,fft,none,1,,1048576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fwht8_warp_b256,fwht8-batch256,full,butterfly,cuButterfly-warp-register,0,1,256,1,0.000000,Tesla V100-SXM2-16GB,7.0,,,fp32,forward,out-of-place,8,256,256,1000,100,,0.002417,105932201.003720,108.474574,27118643456.952290,,,-1,fwht,none,1,,256,temporal-tile,radix2,four-mul,table,warp-register,scalar,0,named-barrier,32,0,0,8,8,0,0,0,0,0,0,0.076000,0.085504,0.000000,,,,,,,,,,,
fft20_vkfft_b8,fft20-batch8,full,fft-library,VkFFT,0,1,8,1,,Tesla V100-SXM2-16GB,7.0,vkfft,10304,fp32,forward,in-place,20,1048576,8,1000,100,801.016047000,0.383057952,20884.568404732,218.990571996,21899057199.560703278,0.000000000,0.000000000,-1,fft,none,1,,1048576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fft8_cufft_b65536,fft8-batch65536,full,fft-library,cuFFT,1,4,65536,1,,Tesla V100-SXM2-16GB,7.0,cufft,10900,fp32,forward,in-place,8,256,65536,1000,100,1.874314000,0.327086061,200363169.716561556,205.171885790,51292971447.439758301,0.000000000,0.000000000,-1,fft,none,1,,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fwht8_warp_b1,fwht8-batch1,quick,butterfly,cuButterfly-warp-register,0,1,1,1,0.000000,Tesla V100-SXM2-16GB,7.0,,,fp32,forward,out-of-place,8,256,1,1000,100,,0.002079,481065.239552,0.492611,123152701.325208,,,-1,fwht,none,1,,256,temporal-tile,radix2,four-mul,table,warp-register,scalar,0,named-barrier,32,0,0,8,8,0,0,0,0,0,0,0.010240,0.016128,0.000000,,,,,,,,,,,
xor20_online_b8,xor20-batch8,full,butterfly,cuButterfly-online-radix4,0,1,8,1,0.000000,Tesla V100-SXM2-16GB,7.0,,,uint32,forward,out-of-place,20,1048576,8,1000,100,,0.623821,12824.196042,134.471442,13447144189.450462,,,-1,xor-zeta,none,1,,1048576,online-reorder,radix4,four-mul,table,shared,scalar,0,named-barrier,256,0,0,8,8,0,0,10,1,0,0,5.465184,5.105664,0.000000,,,,,,,,,,,
