case_id,group,implementation,reference,trials,median_kernel_ms,min_kernel_ms,max_kernel_ms,relative_range,central_relative_range,stability_class,correct,operator,precision,direction,normalization,placement,logN,N,performance_batch,element_stride,batch_stride,word_bits,modulus_bits,inverse,output_order,backend,compute_unit,fft_core,local_exchange,shared_layout,cross_twiddle,million_transforms_s,billion_points_s,comparison_basis,basis_implementation,basis_kernel_ms,throughput_vs_basis,performance_class,peak_billion_points_s,peak_batch,fraction_of_peak,saturation_fraction,saturation_batch,throughput_speedup_vs_batch1,batch_efficiency_vs_batch1,scaling_region,timing_floor_ms,timing_quality,eligible_for_saturation
fft8_vkfft_b1,fft8-batch1,VkFFT,0,5,0.002314240,0.002314240,0.002334720,0.008850,0.008850,stable,1,fft,fp32,forward,none,in-place,8,256,1,1,256,,,,,,,,,,,0.432107301,0.110619469,declared-reference,cuFFT,0.002682880,1.159292,faster,51.848103830,4096,0.002134,0.900000,4096,1.000000,1.000000,launch-limited,0.020000,below-timing-floor,0
fft8_vkfft_b4,fft8-batch4,VkFFT,0,5,0.002355200,0.002355200,0.002539520,0.078261,0.017391,stable-with-outlier,1,fft,fp32,forward,none,in-place,8,256,4,1,256,,,,,,,,,,,1.698369565,0.434782609,declared-reference,cuFFT,0.002682880,1.139130,faster,51.848103830,4096,0.008386,0.900000,4096,3.930435,0.982609,launch-limited,0.020000,below-timing-floor,0
fft8_vkfft_b16,fft8-batch16,VkFFT,0,5,0.002355200,0.002324480,0.002375680,0.021739,0.004348,stable,1,fft,fp32,forward,none,in-place,8,256,16,1,256,,,,,,,,,,,6.793478261,1.739130435,declared-reference,cuFFT,0.002693120,1.143478,faster,51.848103830,4096,0.033543,0.900000,4096,15.721739,0.982609,launch-limited,0.020000,below-timing-floor,0
fft8_vkfft_b64,fft8-batch64,VkFFT,0,5,0.002457600,0.002447360,0.002478080,0.012500,0.000000,stable,1,fft,fp32,forward,none,in-place,8,256,64,1,256,,,,,,,,,,,26.041666667,6.666666667,declared-reference,cuFFT,0.002734080,1.112500,faster,51.848103830,4096,0.128581,0.900000,4096,60.266667,0.941667,launch-limited,0.020000,below-timing-floor,0
fft8_vkfft_b256,fft8-batch256,VkFFT,0,5,0.002775040,0.002734080,0.002836480,0.036900,0.007380,stable-with-outlier,1,fft,fp32,forward,none,in-place,8,256,256,1,256,,,,,,,,,,,92.250922509,23.616236162,declared-reference,cuFFT,0.003164160,1.140221,faster,51.848103830,4096,0.455489,0.900000,4096,213.490775,0.833948,launch-limited,0.020000,below-timing-floor,0
fft8_vkfft_b1024,fft8-batch1024,VkFFT,0,5,0.005785600,0.005754880,0.006154240,0.069027,0.028319,stable-with-outlier,1,fft,fp32,forward,none,in-place,8,256,1024,1,256,,,,,,,,,,,176.991150442,45.309734513,declared-reference,cuFFT,0.004536320,0.784071,slower,51.848103830,4096,0.873894,0.900000,4096,409.600000,0.400000,ramp,0.020000,below-timing-floor,0
fft8_vkfft_b4096,fft8-batch4096,VkFFT,0,5,0.020223999,0.020142080,0.020275200,0.006582,0.002532,stable,1,fft,fp32,forward,none,in-place,8,256,4096,1,256,,,,,,,,,,,202.531655584,51.848103830,declared-reference,cuFFT,0.022097919,1.092658,faster,51.848103830,4096,1.000000,0.900000,4096,468.706859,0.114430,saturated,0.020000,stable,1
fft8_vkfft_b16384,fft8-batch16384,VkFFT,0,5,0.083558396,0.083548166,0.083681278,0.001593,0.000245,stable,1,fft,fp32,forward,none,in-place,8,256,16384,1,256,,,,,,,,,,,196.078440759,50.196080834,declared-reference,cuFFT,0.083793916,1.002819,parity,51.848103830,4096,0.968137,0.900000,4096,453.772571,0.027696,saturated,0.020000,stable,1
fft8_vkfft_b65536,fft8-batch65536,VkFFT,0,5,0.326113284,0.326072305,0.326215655,0.000440,0.000377,stable,1,fft,fp32,forward,none,in-place,8,256,65536,1,256,,,,,,,,,,,200.960841571,51.445975442,declared-reference,cuFFT,0.327075839,1.002952,parity,51.848103830,4096,0.992244,0.900000,4096,465.071618,0.007096,saturated,0.020000,stable,1
fft8_cub_b1,fft8-batch1,cuButterfly-cuFFTDx,0,5,0.002898000,0.002888000,0.003348000,0.158730,0.003451,stable-with-outlier,1,fft,fp32,forward,none,in-place,8,256,1,1,256,,,,,temporal-tile,auto,cufftdx-block,shared,,table,0.345065562,0.088336784,declared-reference,cuFFT,0.002682880,0.925769,slower,51.206407052,65536,0.001725,0.900000,4096,1.000000,1.000000,launch-limited,0.020000,below-timing-floor,0
fft8_cub_b4,fft8-batch4,cuButterfly-cuFFTDx,0,5,0.003082000,0.003072000,0.003308000,0.076574,0.003245,stable-with-outlier,1,fft,fp32,forward,none,in-place,8,256,4,1,256,,,,,temporal-tile,auto,cufftdx-block,shared,,table,1.297858533,0.332251785,declared-reference,cuFFT,0.002682880,0.870500,slower,51.206407052,65536,0.006488,0.900000,4096,3.761194,0.940299,launch-limited,0.020000,below-timing-floor,0
fft8_cub_b16,fft8-batch16,cuButterfly-cuFFTDx,0,5,0.003103000,0.003092000,0.003133000,0.013213,0.000000,stable,1,fft,fp32,forward,none,in-place,8,256,16,1,256,,,,,temporal-tile,auto,cufftdx-block,shared,,table,5.156300354,1.320012891,declared-reference,cuFFT,0.002693120,0.867908,slower,51.206407052,65536,0.025778,0.900000,4096,14.942958,0.933935,launch-limited,0.020000,below-timing-floor,0
fft8_cub_b64,fft8-batch64,cuButterfly-cuFFTDx,0,5,0.003103000,0.003103000,0.003123000,0.006445,0.006445,stable,1,fft,fp32,forward,none,in-place,8,256,64,1,256,,,,,temporal-tile,auto,cufftdx-block,shared,,table,20.625201418,5.280051563,declared-reference,cuFFT,0.002734080,0.881109,slower,51.206407052,65536,0.103113,0.900000,4096,59.771834,0.933935,launch-limited,0.020000,below-timing-floor,0
fft8_cub_b256,fft8-batch256,cuButterfly-cuFFTDx,0,5,0.003348000,0.003338000,0.003348000,0.002987,0.002987,stable,1,fft,fp32,forward,none,in-place,8,256,256,1,256,,,,,temporal-tile,auto,cufftdx-block,shared,,table,76.463560335,19.574671446,declared-reference,cuFFT,0.003164160,0.945090,slower,51.206407052,65536,0.382270,0.900000,4096,221.591398,0.865591,launch-limited,0.020000,below-timing-floor,0
fft8_cub_b1024,fft8-batch1024,cuButterfly-cuFFTDx,0,5,0.005181000,0.005161000,0.005294000,0.025671,0.005983,stable,1,fft,fp32,forward,none,in-place,8,256,1024,1,256,,,,,temporal-tile,auto,cufftdx-block,shared,,table,197.645242231,50.597182011,declared-reference,cuFFT,0.004536320,0.875568,slower,51.206407052,65536,0.988103,0.900000,4096,572.775912,0.559351,saturated,0.020000,below-timing-floor,0
fft8_cub_b4096,fft8-batch4096,cuButterfly-cuFFTDx,0,5,0.022098000,0.022036000,0.022159000,0.005566,0.002308,stable,1,fft,fp32,forward,none,in-place,8,256,4096,1,256,,,,,temporal-tile,auto,cufftdx-block,shared,,table,185.356140827,47.451172052,declared-reference,cuFFT,0.022097919,0.999996,parity,51.206407052,65536,0.926665,0.900000,4096,537.162096,0.131143,saturated,0.020000,stable,1
fft8_cub_b16384,fft8-batch16384,cuButterfly-cuFFTDx,0,5,0.084275000,0.084204000,0.084429000,0.002670,0.000605,stable,1,fft,fp32,forward,none,in-place,8,256,16384,1,256,,,,,temporal-tile,auto,cufftdx-block,shared,,table,194.411153960,49.769255414,declared-reference,cuFFT,0.083793916,0.994291,parity,51.206407052,65536,0.971934,0.900000,4096,563.403524,0.034387,saturated,0.020000,stable,1
fft8_cub_b65536,fft8-batch65536,cuButterfly-cuFFTDx,0,5,0.327639000,0.327598000,0.327660000,0.000189,0.000159,stable,1,fft,fp32,forward,none,in-place,8,256,65536,1,256,,,,,temporal-tile,auto,cufftdx-block,shared,,table,200.025027546,51.206407052,declared-reference,cuFFT,0.327075839,0.998281,parity,51.206407052,65536,1.000000,0.900000,4096,579.672530,0.008845,saturated,0.020000,stable,1
fft8_cufft_b1,fft8-batch1,cuFFT,1,5,0.002682880,0.002672640,0.002764800,0.034351,0.007634,stable-with-outlier,1,fft,fp32,forward,none,in-place,8,256,1,1,256,,,,,,,,,,,0.372733779,0.095419847,declared-reference,cuFFT,0.002682880,1.000000,parity,51.294574528,65536,0.001860,0.900000,4096,1.000000,1.000000,launch-limited,0.020000,below-timing-floor,0
fft8_cufft_b4,fft8-batch4,cuFFT,1,5,0.002682880,0.002682880,0.002734080,0.019084,0.003817,stable,1,fft,fp32,forward,none,in-place,8,256,4,1,256,,,,,,,,,,,1.490935115,0.381679389,declared-reference,cuFFT,0.002682880,1.000000,parity,51.294574528,65536,0.007441,0.900000,4096,4.000000,1.000000,launch-limited,0.020000,below-timing-floor,0
fft8_cufft_b16,fft8-batch16,cuFFT,1,5,0.002693120,0.002693120,0.002703360,0.003802,0.003802,stable,1,fft,fp32,forward,none,in-place,8,256,16,1,256,,,,,,,,,,,5.941064639,1.520912548,declared-reference,cuFFT,0.002693120,1.000000,parity,51.294574528,65536,0.029651,0.900000,4096,15.939163,0.996198,launch-limited,0.020000,below-timing-floor,0
fft8_cufft_b64,fft8-batch64,cuFFT,1,5,0.002734080,0.002723840,0.002826240,0.037453,0.007491,stable-with-outlier,1,fft,fp32,forward,none,in-place,8,256,64,1,256,,,,,,,,,,,23.408239700,5.992509363,declared-reference,cuFFT,0.002734080,1.000000,parity,51.294574528,65536,0.116825,0.900000,4096,62.801498,0.981273,launch-limited,0.020000,below-timing-floor,0
