suite_case_id,suite_group,suite_tier,suite_runner,implementation,reference,trial,performance_batch,preflight_correct,preflight_max_error,device,compute_capability,operator,precision,direction,normalization,placement,backend,compute_unit,complex_multiply,cross_twiddle,local_exchange,fft_core,stage_space,stage_handoff,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct,output_order,word_bits,modulus,modulus_bits,n1_log,rows_per_block,threads_per_block,inverse,kernel_ntt_s,end_to_end_ntt_s,kernel_points_s,mod_multiply,library,library_version,plan_ms,max_abs_error,relative_l2_error
fwht15_online_b1,fwht15-batch1,quick,butterfly,cuButterfly-online-radix4,0,3,1,1,0.000000,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,four-mul,table,shared,scalar,0,named-barrier,256,0,0,8,8,0,0,8,1,0,0,15,32768,1,1,32768,1000,100,0.050912,0.009032,0.064544,110721.366824,27.210883,3628117748.090396,0.000000,-1,,,,,,,,,,,,,,,,,
fft20_cub_b1,fft20-batch1,quick,butterfly,cuButterfly-cuFFTDx-online,0,2,1,1,0.001242,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,128,512,512,8,8,4,4,10,1,0,0,20,1048576,1,1,1048576,1000,100,1.417504,0.077455,1.367584,12910.662895,135.378113,13537811255.969238,0.000000,-1,,,,,,,,,,,,,,,,,
fwht15_online_b128,fwht15-batch128,quick,butterfly,cuButterfly-online-radix4,0,1,128,1,0.000000,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,four-mul,table,shared,scalar,0,named-barrier,256,0,0,8,8,0,0,8,1,0,0,15,32768,128,1,32768,1000,100,2.784896,0.317297,2.597280,403408.010814,99.141553,13218873698.360846,0.000000,-1,,,,,,,,,,,,,,,,,
ntt16_r2_b16,ntt16-batch16,quick,ntt,cuNTT-Hybrid2D-radix2,0,3,16,1,,Tesla V100-SXM2-16GB,7.0,ntt,uint64,forward,,,hybrid2d,radix2,,fused,,,0,named-barrier,,,,,,,,,,,,16,65536,16,1,65536,1000,100,1.416544,0.086764,1.343872,,,,,-1,natural,64,1152921504606584833,60,8,4,256,0,184409.308486,5619.596659,12085448440.939711,shoup,,,,,
fft20_vkfft_b1,fft20-batch1,quick,fft-library,VkFFT,0,3,1,1,,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,,,,,,,,,,,,,,,,,,,,20,1048576,1,1,1048576,1000,100,,0.060917757,,16415.574732796,172.129776910,17212977691.016277313,,-1,,,,,,,,,,,,,vkfft,10304,829.151210000,0.000000000,0.000000000
fwht20_hier_b1,fwht20-batch1,quick,butterfly,cuButterfly-hierarchical-radix4,0,2,1,1,0.000000,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,four-mul,table,shared,scalar,0,named-barrier,256,0,0,8,8,0,0,10,0,0,0,20,1048576,1,1,1048576,1000,100,0.765248,0.100567,0.728160,9943.616179,104.266373,10426637277.999601,0.000000,-1,,,,,,,,,,,,,,,,,
fft18_cub_b1,fft18-batch1,quick,butterfly,cuButterfly-cuFFTDx-online,0,1,1,1,0.000512,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,128,256,256,8,8,4,4,9,1,0,0,18,262144,1,1,262144,1000,100,0.433888,0.017388,0.406976,57512.512997,135.689042,15076560207.082832,0.000000,-1,,,,,,,,,,,,,,,,,
fft20_cufft_b1,fft20-batch1,quick,fft-library,cuFFT,1,2,1,1,,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,,,,,,,,,,,,,,,,,,,,20,1048576,1,1,1048576,1000,100,,0.065310724,,15311.421119464,160.551887118,16055188711.762922287,,-1,,,,,,,,,,,,,cufft,10900,2.392814000,0.000000000,0.000000000
fft14_cub_b1,fft14-batch1,quick,butterfly,cuButterfly-cuFFTDx-direct,0,1,1,1,0.000095,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,temporal-tile,auto,four-mul,table,shared,cufftdx-direct,0,named-barrier,1024,0,0,8,8,0,0,0,0,0,0,14,16384,1,1,16384,1000,100,0.039904,0.020562,0.044544,48633.593910,5.577690,796812802.625143,0.000000,-1,,,,,,,,,,,,,,,,,
xor8_r4_b64,xor8-batch64,quick,butterfly,cuButterfly-radix4,0,1,64,1,0.000000,Tesla V100-SXM2-16GB,7.0,xor-zeta,uint32,forward,none,out-of-place,temporal-tile,radix4,four-mul,table,shared,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,8,256,64,1,256,1000,100,0.035840,0.002611,0.038560,24509805.240081,25.098041,6274510141.460673,0.000000,-1,,,,,,,,,,,,,,,,,
fft18_cub_b4,fft18-batch4,quick,butterfly,cuButterfly-cuFFTDx-online,0,3,4,1,0.000512,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,128,256,256,8,8,4,4,9,1,0,0,18,262144,4,1,262144,1000,100,1.431488,0.059443,1.349472,67291.126221,158.759685,17639964992.094902,0.000000,-1,,,,,,,,,,,,,,,,,
xor8_r2_b64,xor8-batch64,quick,butterfly,cuButterfly-radix2,0,2,64,1,0.000000,Tesla V100-SXM2-16GB,7.0,xor-zeta,uint32,forward,none,out-of-place,temporal-tile,radix2,four-mul,table,shared,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,8,256,64,1,256,1000,100,0.037888,0.002929,0.035808,21853146.890947,22.377622,5594405604.082486,0.000000,-1,,,,,,,,,,,,,,,,,
fwht8_shared_b64,fwht8-batch64,quick,butterfly,cuButterfly-shared-radix4,0,1,64,1,0.000000,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,temporal-tile,radix4,four-mul,table,shared,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,8,256,64,1,256,1000,100,0.036864,0.002591,0.035488,24703556.586476,25.296442,6324110486.137845,0.000000,-1,,,,,,,,,,,,,,,,,
