case_id,group,implementation,reference,trials,median_kernel_ms,min_kernel_ms,max_kernel_ms,relative_range,central_relative_range,stability_class,correct,operator,precision,direction,normalization,placement,logN,N,performance_batch,element_stride,batch_stride,word_bits,modulus_bits,inverse,output_order,backend,compute_unit,fft_core,local_exchange,cross_twiddle,million_transforms_s,billion_points_s,comparison_basis,basis_implementation,basis_kernel_ms,throughput_vs_basis,performance_class,peak_billion_points_s,peak_batch,fraction_of_peak,saturation_fraction,saturation_batch,throughput_speedup_vs_batch1,batch_efficiency_vs_batch1,scaling_region,timing_floor_ms,timing_quality
fft8_vkfft_b1,fft8-batch1,VkFFT,0,3,0.002334720,0.002314240,0.002355200,0.017544,0.017544,stable,1,fft,fp32,forward,none,in-place,8,256,1,1,256,,,,,,,,,,0.428316886,0.109649123,declared-reference,cuFFT,0.002682880,1.149123,faster,50.177629572,16384,0.002185,0.900000,16384,1.000000,1.000000,launch-limited,0.020000,below-timing-floor
fft8_vkfft_b64,fft8-batch64,VkFFT,0,3,0.002457600,0.002447360,0.002457600,0.004167,0.004167,stable,1,fft,fp32,forward,none,in-place,8,256,64,1,256,,,,,,,,,,26.041666667,6.666666667,declared-reference,cuFFT,0.002764800,1.125000,faster,50.177629572,16384,0.132861,0.900000,16384,60.800000,0.950000,launch-limited,0.020000,below-timing-floor
fft8_vkfft_b16384,fft8-batch16384,VkFFT,0,3,0.083589122,0.083486721,0.084121600,0.007595,0.007595,stable,1,fft,fp32,forward,none,in-place,8,256,16384,1,256,,,,,,,,,,196.006365517,50.177629572,declared-reference,cuFFT,0.083773442,1.002205,parity,50.177629572,16384,1.000000,0.900000,16384,457.619982,0.027931,saturated,0.020000,stable
fft8_cub_b1,fft8-batch1,cuButterfly-cuFFTDx,0,3,0.002888000,0.002888000,0.002898000,0.003463,0.003463,stable,1,fft,fp32,forward,none,in-place,8,256,1,1,256,,,,,temporal-tile,auto,cufftdx-block,shared,table,0.346260388,0.088642659,declared-reference,cuFFT,0.002682880,0.928975,slower,49.775161692,16384,0.001781,0.900000,16384,1.000000,1.000000,launch-limited,0.020000,below-timing-floor
fft8_cub_b64,fft8-batch64,cuButterfly-cuFFTDx,0,3,0.003123000,0.003113000,0.003144000,0.009926,0.009926,stable,1,fft,fp32,forward,none,in-place,8,256,64,1,256,,,,,temporal-tile,auto,cufftdx-block,shared,table,20.493115594,5.246237592,declared-reference,cuFFT,0.002764800,0.885303,slower,49.775161692,16384,0.105399,0.900000,16384,59.184118,0.924752,launch-limited,0.020000,below-timing-floor
fft8_cub_b16384,fft8-batch16384,cuButterfly-cuFFTDx,0,3,0.084265000,0.084234000,0.084316000,0.000973,0.000973,stable,1,fft,fp32,forward,none,in-place,8,256,16384,1,256,,,,,temporal-tile,auto,cufftdx-block,shared,table,194.434225360,49.775161692,declared-reference,cuFFT,0.083773442,0.994167,parity,49.775161692,16384,1.000000,0.900000,16384,561.526043,0.034273,saturated,0.020000,stable
fft8_cufft_b1,fft8-batch1,cuFFT,1,3,0.002682880,0.002672640,0.002754560,0.030534,0.030534,unstable,1,fft,fp32,forward,none,in-place,8,256,1,1,256,,,,,,,,,,0.372733779,0.095419847,declared-reference,cuFFT,0.002682880,1.000000,parity,50.067227750,16384,0.001906,0.900000,16384,1.000000,1.000000,launch-limited,0.020000,below-timing-floor
fft8_cufft_b64,fft8-batch64,cuFFT,1,3,0.002764800,0.002734080,0.002785280,0.018519,0.018519,stable,1,fft,fp32,forward,none,in-place,8,256,64,1,256,,,,,,,,,,23.148148148,5.925925926,declared-reference,cuFFT,0.002764800,1.000000,parity,50.067227750,16384,0.118359,0.900000,16384,62.103704,0.970370,launch-limited,0.020000,below-timing-floor
fft8_cufft_b16384,fft8-batch16384,cuFFT,1,3,0.083773442,0.083752960,0.083834879,0.000978,0.000978,stable,1,fft,fp32,forward,none,in-place,8,256,16384,1,256,,,,,,,,,,195.575108398,50.067227750,declared-reference,cuFFT,0.083773442,1.000000,parity,50.067227750,16384,1.000000,0.900000,16384,524.704547,0.032025,saturated,0.020000,stable
fft14_vkfft_b1,fft14-batch1,VkFFT,0,3,0.008263680,0.008253440,0.008263680,0.001239,0.001239,stable,1,fft,fp32,forward,none,in-place,14,16384,1,1,16384,,,,,,,,,,0.121011462,1.982651797,declared-reference,cuFFT,0.011888640,1.438662,faster,24.568138196,16,0.080700,0.900000,16,1.000000,1.000000,launch-limited,0.020000,below-timing-floor
fft14_vkfft_b16,fft14-batch16,VkFFT,0,3,0.010670080,0.010659840,0.010680321,0.001919,0.001919,stable,1,fft,fp32,forward,none,in-place,14,16384,16,1,16384,,,,,,,,,,1.499520154,24.568138196,declared-reference,cuFFT,0.013506561,1.265835,faster,24.568138196,16,1.000000,0.900000,16,12.391555,0.774472,saturated,0.020000,below-timing-floor
fft14_vkfft_b256,fft14-batch256,VkFFT,0,3,0.171694085,0.171458572,0.171735033,0.001610,0.001610,stable,1,fft,fp32,forward,none,in-place,14,16384,256,1,16384,,,,,,,,,,1.491023992,24.428937083,declared-reference,cuFFT,0.121036798,0.704956,slower,24.568138196,16,0.994334,0.900000,16,12.321345,0.048130,saturated,0.020000,stable
fft14_cub_b1,fft14-batch1,cuButterfly-cuFFTDx-direct,0,3,0.020521000,0.020500000,0.020562000,0.003021,0.003021,stable,1,fft,fp32,forward,none,in-place,14,16384,1,1,16384,,,,,temporal-tile,auto,cufftdx-direct,shared,table,0.048730569,0.798401637,declared-reference,cuFFT,0.011888640,0.579340,slower,34.556572606,256,0.023104,0.900000,256,1.000000,1.000000,launch-limited,0.020000,stable
fft14_cub_b16,fft14-batch16,cuButterfly-cuFFTDx-direct,0,3,0.020777000,0.020736000,0.020808000,0.003465,0.003465,stable,1,fft,fp32,forward,none,in-place,14,16384,16,1,16384,,,,,temporal-tile,auto,cufftdx-direct,shared,table,0.770082303,12.617028445,declared-reference,cuFFT,0.013506561,0.650073,slower,34.556572606,256,0.365112,0.900000,256,15.802859,0.987679,launch-limited,0.020000,stable
fft14_cub_b256,fft14-batch256,cuButterfly-cuFFTDx-direct,0,3,0.121375000,0.120986000,0.121641000,0.005396,0.005396,stable,1,fft,fp32,forward,none,in-place,14,16384,256,1,16384,,,,,temporal-tile,auto,cufftdx-direct,shared,table,2.109165808,34.556572606,declared-reference,cuFFT,0.121036798,0.997214,parity,34.556572606,256,1.000000,0.900000,256,43.282192,0.169071,saturated,0.020000,stable
fft14_cufft_b1,fft14-batch1,cuFFT,1,3,0.011888640,0.011878400,0.011898880,0.001723,0.001723,stable,1,fft,fp32,forward,none,in-place,14,16384,1,1,16384,,,,,,,,,,0.084113910,1.378122308,declared-reference,cuFFT,0.011888640,1.000000,parity,34.653130860,256,0.039769,0.900000,256,1.000000,1.000000,launch-limited,0.020000,below-timing-floor
fft14_cufft_b16,fft14-batch16,cuFFT,1,3,0.013506561,0.013496321,0.013516800,0.001516,0.001516,stable,1,fft,fp32,forward,none,in-place,14,16384,16,1,16384,,,,,,,,,,1.184609465,19.408641474,declared-reference,cuFFT,0.013506561,1.000000,parity,34.653130860,256,0.560083,0.900000,256,14.083395,0.880212,ramp,0.020000,below-timing-floor
fft14_cufft_b256,fft14-batch256,cuFFT,1,3,0.121036798,0.121026561,0.123156480,0.017597,0.017597,stable,1,fft,fp32,forward,none,in-place,14,16384,256,1,16384,,,,,,,,,,2.115059257,34.653130860,declared-reference,cuFFT,0.121036798,1.000000,parity,34.653130860,256,1.000000,0.900000,256,25.145178,0.098223,saturated,0.020000,stable
fft18_vkfft_b1,fft18-batch1,VkFFT,0,3,0.018483199,0.018462719,0.021657601,0.172853,0.172853,unstable,1,fft,fp32,forward,none,in-place,18,262144,1,1,262144,,,,,,,,,,0.054103189,14.182826252,declared-reference,cuFFT,0.022978561,1.243213,faster,20.856459190,16,0.680021,0.900000,16,1.000000,1.000000,ramp,0.020000,below-timing-floor
