suite_case_id,suite_group,suite_tier,suite_runner,implementation,reference,trial,performance_batch,preflight_correct,preflight_max_error,device,compute_capability,library,library_version,precision,direction,placement,logN,N,batch,warmup,repeat,plan_ms,kernel_ms,transforms_s,Gbutterfly_s,points_s,max_abs_error,relative_l2_error,correct,operator,normalization,element_stride,output_order,batch_stride,backend,compute_unit,complex_multiply,cross_twiddle,local_exchange,fft_core,stage_space,stage_handoff,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,h2d_ms,d2h_ms,max_error
fft8_cufft_b1,fft8-batch1,quick,fft-library,cuFFT,1,2,1,1,,Tesla V100-SXM2-16GB,7.0,cufft,10900,fp32,forward,in-place,8,256,1,1000,100,2.048591000,0.003051520,327705.526988453,0.335570460,83892614.909044042,0.000000000,0.000000000,-1,fft,none,1,,256,,,,,,,,,,,,,,,,,,,,,,
fwht15_online_b1,fwht15-batch1,quick,butterfly,cuButterfly-online-radix4,0,1,1,1,0.000000,Tesla V100-SXM2-16GB,7.0,,,fp32,forward,out-of-place,15,32768,1,1000,100,,0.008970,111479.735815,27.397260,3652967983.173933,,,-1,fwht,none,1,,32768,online-reorder,radix4,four-mul,table,shared,scalar,0,named-barrier,256,0,0,8,8,0,0,8,1,0,0,0.043200,0.051776,0.000000
fwht15_online_b1,fwht15-batch1,quick,butterfly,cuButterfly-online-radix4,0,3,1,1,0.000000,Tesla V100-SXM2-16GB,7.0,,,fp32,forward,out-of-place,15,32768,1,1000,100,,0.008980,111352.622295,27.366020,3648802727.367401,,,-1,fwht,none,1,,32768,online-reorder,radix4,four-mul,table,shared,scalar,0,named-barrier,256,0,0,8,8,0,0,8,1,0,0,0.043648,0.048416,0.000000
fft20_cub_b1,fft20-batch1,quick,butterfly,cuButterfly-cuFFTDx-online,0,1,1,1,0.001242,Tesla V100-SXM2-16GB,7.0,,,fp32,forward,in-place,20,1048576,1,1000,100,,0.077363,12926.042275,135.539377,13553937704.448195,,,-1,fft,none,1,,1048576,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,128,512,512,8,8,4,4,10,1,0,0,1.414048,1.338336,0.000000
xor8_r2_b64,xor8-batch64,quick,butterfly,cuButterfly-radix2,0,5,64,1,0.000000,Tesla V100-SXM2-16GB,7.0,,,uint32,forward,out-of-place,8,256,64,1000,100,,0.003072,20833332.596441,21.333333,5333333144.688779,,,-1,xor-zeta,none,1,,256,temporal-tile,radix2,four-mul,table,shared,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,0.034816,0.033472,0.000000
xor8_r2_b64,xor8-batch64,quick,butterfly,cuButterfly-radix2,0,3,64,1,0.000000,Tesla V100-SXM2-16GB,7.0,,,uint32,forward,out-of-place,8,256,64,1000,100,,0.003410,18768768.617517,19.219219,4804804766.084314,,,-1,xor-zeta,none,1,,256,temporal-tile,radix2,four-mul,table,shared,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,0.035840,0.036288,0.000000
xor8_r2_b64,xor8-batch64,quick,butterfly,cuButterfly-radix2,0,2,64,1,0.000000,Tesla V100-SXM2-16GB,7.0,,,uint32,forward,out-of-place,8,256,64,1000,100,,0.003420,18712574.018569,19.161676,4790418948.753788,,,-1,xor-zeta,none,1,,256,temporal-tile,radix2,four-mul,table,shared,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,0.033792,0.035168,0.000000
fft18_vkfft_b1,fft18-batch1,quick,fft-library,VkFFT,0,3,1,1,,Tesla V100-SXM2-16GB,7.0,vkfft,10304,fp32,forward,in-place,18,262144,1,1000,100,327.122491000,0.021575680,46348.481247445,109.349786413,12149976268.130262375,0.000000000,0.000000000,-1,fft,none,1,,262144,,,,,,,,,,,,,,,,,,,,,,
fft20_cub_b1,fft20-batch1,quick,butterfly,cuButterfly-cuFFTDx-online,0,4,1,1,0.001242,Tesla V100-SXM2-16GB,7.0,,,fp32,forward,in-place,20,1048576,1,1000,100,,0.077445,12912.369494,135.396008,13539600754.102840,,,-1,fft,none,1,,1048576,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,128,512,512,8,8,4,4,10,1,0,0,1.432160,1.362016,0.000000
fft18_cub_b1,fft18-batch1,quick,butterfly,cuButterfly-cuFFTDx-online,0,1,1,1,0.000512,Tesla V100-SXM2-16GB,7.0,,,fp32,forward,in-place,18,262144,1,1000,100,,0.019139,52250.535867,123.274480,13697164474.341057,,,-1,fft,none,1,,262144,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,128,256,256,8,8,4,4,9,1,0,0,0.437344,0.420864,0.000000
fft20_cub_b1,fft20-batch1,quick,butterfly,cuButterfly-cuFFTDx-online,0,2,1,1,0.001242,Tesla V100-SXM2-16GB,7.0,,,fp32,forward,in-place,20,1048576,1,1000,100,,0.077179,12956.912469,135.863074,13586307448.673754,,,-1,fft,none,1,,1048576,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,128,512,512,8,8,4,4,10,1,0,0,1.433472,1.365856,0.000000
fft8_cufft_b1,fft8-batch1,quick,fft-library,cuFFT,1,3,1,1,,Tesla V100-SXM2-16GB,7.0,cufft,10900,fp32,forward,in-place,8,256,1,1000,100,2.091801000,0.002672640,374161.857641088,0.383141742,95785435.556118518,0.000000000,0.000000000,-1,fft,none,1,,256,,,,,,,,,,,,,,,,,,,,,,
fwht8_warp_b1,fwht8-batch1,quick,butterfly,cuButterfly-warp-register,0,3,1,1,0.000000,Tesla V100-SXM2-16GB,7.0,,,fp32,forward,out-of-place,8,256,1,1000,100,,0.002427,412051.696908,0.421941,105485234.408449,,,-1,fwht,none,1,,256,temporal-tile,radix2,four-mul,table,warp-register,scalar,0,named-barrier,32,0,0,8,8,0,0,0,0,0,0,0.012288,0.017120,0.000000
xor8_r2_b64,xor8-batch64,quick,butterfly,cuButterfly-radix2,0,4,64,1,0.000000,Tesla V100-SXM2-16GB,7.0,,,uint32,forward,out-of-place,8,256,64,1000,100,,0.002929,21853146.890947,22.377622,5594405604.082486,,,-1,xor-zeta,none,1,,256,temporal-tile,radix2,four-mul,table,shared,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,0.035840,0.031968,0.000000
fwht8_warp_b64,fwht8-batch64,quick,butterfly,cuButterfly-warp-register,0,1,64,1,0.000000,Tesla V100-SXM2-16GB,7.0,,,fp32,forward,out-of-place,8,256,64,1000,100,,0.002386,26824035.305571,27.467812,6866953038.226103,,,-1,fwht,none,1,,256,temporal-tile,radix2,four-mul,table,warp-register,scalar,0,named-barrier,32,0,0,8,8,0,0,0,0,0,0,0.035840,0.034816,0.000000
fwht8_warp_b1,fwht8-batch1,quick,butterfly,cuButterfly-warp-register,0,2,1,1,0.000000,Tesla V100-SXM2-16GB,7.0,,,fp32,forward,out-of-place,8,256,1,1000,100,,0.002365,422754.347341,0.432900,108225112.919186,,,-1,fwht,none,1,,256,temporal-tile,radix2,four-mul,table,warp-register,scalar,0,named-barrier,32,0,0,8,8,0,0,0,0,0,0,0.010240,0.017280,0.000000
xor20_online_b1,xor20-batch1,quick,butterfly,cuButterfly-online-radix4,0,3,1,1,0.000000,Tesla V100-SXM2-16GB,7.0,,,uint32,forward,out-of-place,20,1048576,1,1000,100,,0.090081,11101.085356,116.403317,11640331678.067045,,,-1,xor-zeta,none,1,,1048576,online-reorder,radix4,four-mul,table,shared,scalar,0,named-barrier,256,0,0,8,8,0,0,10,1,0,0,0.762144,0.728096,0.000000
xor8_r4_b1,xor8-batch1,quick,butterfly,cuButterfly-radix4,0,2,1,1,0.000000,Tesla V100-SXM2-16GB,7.0,,,uint32,forward,out-of-place,8,256,1,1000,100,,0.002570,389068.751282,0.398406,99601600.328143,,,-1,xor-zeta,none,1,,256,temporal-tile,radix4,four-mul,table,shared,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,0.014336,0.021344,0.000000
fft18_cub_b1,fft18-batch1,quick,butterfly,cuButterfly-cuFFTDx-online,0,4,1,1,0.000512,Tesla V100-SXM2-16GB,7.0,,,fp32,forward,in-place,18,262144,1,1000,100,,0.016466,60731.495234,143.283574,15920397086.645201,,,-1,fft,none,1,,262144,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,128,256,256,8,8,4,4,9,1,0,0,0.438496,0.414304,0.000000
fft18_cub_b1,fft18-batch1,quick,butterfly,cuButterfly-cuFFTDx-online,0,3,1,1,0.000512,Tesla V100-SXM2-16GB,7.0,,,fp32,forward,in-place,18,262144,1,1000,100,,0.016466,60731.495234,143.283574,15920397086.645201,,,-1,fft,none,1,,262144,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,128,256,256,8,8,4,4,9,1,0,0,0.434784,0.410848,0.000000
fft18_vkfft_b1,fft18-batch1,quick,fft-library,VkFFT,0,4,1,1,,Tesla V100-SXM2-16GB,7.0,vkfft,10304,fp32,forward,in-place,18,262144,1,1000,100,338.012483000,0.018483199,54103.187998257,127.645435032,14182826114.615081787,0.000000000,0.000000000,-1,fft,none,1,,262144,,,,,,,,,,,,,,,,,,,,,,
fwht15_online_b1,fwht15-batch1,quick,butterfly,cuButterfly-online-radix4,0,5,1,1,0.000000,Tesla V100-SXM2-16GB,7.0,,,fp32,forward,out-of-place,15,32768,1,1000,100,,0.007711,129689.583761,31.872512,4249668280.667427,,,-1,fwht,none,1,,32768,online-reorder,radix4,four-mul,table,shared,scalar,0,named-barrier,256,0,0,8,8,0,0,8,1,0,0,0.045216,0.050496,0.000000
fft20_cub_b1,fft20-batch1,quick,butterfly,cuButterfly-cuFFTDx-online,0,5,1,1,0.001242,Tesla V100-SXM2-16GB,7.0,,,fp32,forward,in-place,20,1048576,1,1000,100,,0.071414,14002.903080,146.831081,14683108099.852341,,,-1,fft,none,1,,1048576,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,128,512,512,8,8,4,4,10,1,0,0,1.417408,1.341792,0.000000
fft18_vkfft_b1,fft18-batch1,quick,fft-library,VkFFT,0,1,1,1,,Tesla V100-SXM2-16GB,7.0,vkfft,10304,fp32,forward,in-place,18,262144,1,1000,100,375.486372000,0.018472960,54133.175633810,127.716184740,14190687193.349597931,0.000000000,0.000000000,-1,fft,none,1,,262144,,,,,,,,,,,,,,,,,,,,,,
xor20_online_b1,xor20-batch1,quick,butterfly,cuButterfly-online-radix4,0,2,1,1,0.000000,Tesla V100-SXM2-16GB,7.0,,,uint32,forward,out-of-place,20,1048576,1,1000,100,,0.089887,11125.113309,116.655268,11665526812.733540,,,-1,xor-zeta,none,1,,1048576,online-reorder,radix4,four-mul,table,shared,scalar,0,named-barrier,256,0,0,8,8,0,0,10,1,0,0,0.763648,0.716544,0.000000
xor8_r4_b1,xor8-batch1,quick,butterfly,cuButterfly-radix4,0,5,1,1,0.000000,Tesla V100-SXM2-16GB,7.0,,,uint32,forward,out-of-place,8,256,1,1000,100,,0.002478,403538.244254,0.413223,103305790.529078,,,-1,xor-zeta,none,1,,256,temporal-tile,radix4,four-mul,table,shared,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,0.012288,0.018496,0.000000
xor8_r4_b1,xor8-batch1,quick,butterfly,cuButterfly-radix4,0,1,1,1,0.000000,Tesla V100-SXM2-16GB,7.0,,,uint32,forward,out-of-place,8,256,1,1000,100,,0.002478,403538.244254,0.413223,103305790.529078,,,-1,xor-zeta,none,1,,256,temporal-tile,radix4,four-mul,table,shared,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,0.016384,0.019840,0.000000
fft18_vkfft_b1,fft18-batch1,quick,fft-library,VkFFT,0,2,1,1,,Tesla V100-SXM2-16GB,7.0,vkfft,10304,fp32,forward,in-place,18,262144,1,1000,100,328.044557000,0.018462719,54163.201994492,127.787025813,14198558423.644159317,0.000000000,0.000000000,-1,fft,none,1,,262144,,,,,,,,,,,,,,,,,,,,,,
fft18_cub_b1,fft18-batch1,quick,butterfly,cuButterfly-cuFFTDx-online,0,5,1,1,0.000512,Tesla V100-SXM2-16GB,7.0,,,fp32,forward,in-place,18,262144,1,1000,100,,0.016435,60845.014286,143.551399,15950155425.028454,,,-1,fft,none,1,,262144,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,128,256,256,8,8,4,4,9,1,0,0,0.437376,0.396544,0.000000
xor20_online_b1,xor20-batch1,quick,butterfly,cuButterfly-online-radix4,0,1,1,1,0.000000,Tesla V100-SXM2-16GB,7.0,,,uint32,forward,out-of-place,20,1048576,1,1000,100,,0.089897,11123.847348,116.641994,11664199357.050962,,,-1,xor-zeta,none,1,,1048576,online-reorder,radix4,four-mul,table,shared,scalar,0,named-barrier,256,0,0,8,8,0,0,10,1,0,0,0.761184,0.724384,0.000000
fwht8_warp_b1,fwht8-batch1,quick,butterfly,cuButterfly-warp-register,0,1,1,1,0.000000,Tesla V100-SXM2-16GB,7.0,,,fp32,forward,out-of-place,8,256,1,1000,100,,0.002611,382965.706876,0.392157,98039220.960323,,,-1,fwht,none,1,,256,temporal-tile,radix2,four-mul,table,warp-register,scalar,0,named-barrier,32,0,0,8,8,0,0,0,0,0,0,0.012288,0.018528,0.000000
fft8_cufft_b1,fft8-batch1,quick,fft-library,cuFFT,1,4,1,1,,Tesla V100-SXM2-16GB,7.0,cufft,10900,fp32,forward,in-place,8,256,1,1000,100,2.003535000,0.002682880,372733.806415253,0.381679418,95419854.442304835,0.000000000,0.000000000,-1,fft,none,1,,256,,,,,,,,,,,,,,,,,,,,,,
fwht8_warp_b64,fwht8-batch64,quick,butterfly,cuButterfly-warp-register,0,4,64,1,0.000000,Tesla V100-SXM2-16GB,7.0,,,fp32,forward,out-of-place,8,256,64,1000,100,,0.002468,25933610.183020,26.556017,6639004206.853062,,,-1,fwht,none,1,,256,temporal-tile,radix2,four-mul,table,warp-register,scalar,0,named-barrier,32,0,0,8,8,0,0,0,0,0,0,0.036864,0.037248,0.000000
fwht15_online_b1,fwht15-batch1,quick,butterfly,cuButterfly-online-radix4,0,4,1,1,0.000000,Tesla V100-SXM2-16GB,7.0,,,fp32,forward,out-of-place,15,32768,1,1000,100,,0.007680,130208.328728,31.999999,4266666515.751023,,,-1,fwht,none,1,,32768,online-reorder,radix4,four-mul,table,shared,scalar,0,named-barrier,256,0,0,8,8,0,0,8,1,0,0,0.045824,0.048192,0.000000
fwht8_warp_b64,fwht8-batch64,quick,butterfly,cuButterfly-warp-register,0,3,64,1,0.000000,Tesla V100-SXM2-16GB,7.0,,,fp32,forward,out-of-place,8,256,64,1000,100,,0.002417,26483050.250930,27.118643,6779660864.238072,,,-1,fwht,none,1,,256,temporal-tile,radix2,four-mul,table,warp-register,scalar,0,named-barrier,32,0,0,8,8,0,0,0,0,0,0,0.035840,0.039776,0.000000
fwht8_warp_b1,fwht8-batch1,quick,butterfly,cuButterfly-warp-register,0,5,1,1,0.000000,Tesla V100-SXM2-16GB,7.0,,,fp32,forward,out-of-place,8,256,1,1000,100,,0.002621,381469.728881,0.390625,97656250.593503,,,-1,fwht,none,1,,256,temporal-tile,radix2,four-mul,table,warp-register,scalar,0,named-barrier,32,0,0,8,8,0,0,0,0,0,0,0.013312,0.018944,0.000000
fft18_vkfft_b1,fft18-batch1,quick,fft-library,VkFFT,0,5,1,1,,Tesla V100-SXM2-16GB,7.0,vkfft,10304,fp32,forward,in-place,18,262144,1,1000,100,330.379728000,0.018472960,54133.175633810,127.716184740,14190687193.349597931,0.000000000,0.000000000,-1,fft,none,1,,262144,,,,,,,,,,,,,,,,,,,,,,
fft18_cub_b1,fft18-batch1,quick,butterfly,cuButterfly-cuFFTDx-online,0,2,1,1,0.000512,Tesla V100-SXM2-16GB,7.0,,,fp32,forward,in-place,18,262144,1,1000,100,,0.016445,60807.132070,143.462023,15940224829.288858,,,-1,fft,none,1,,262144,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,128,256,256,8,8,4,4,9,1,0,0,0.408416,0.421216,0.000000
xor20_online_b1,xor20-batch1,quick,butterfly,cuButterfly-online-radix4,0,5,1,1,0.000000,Tesla V100-SXM2-16GB,7.0,,,uint32,forward,out-of-place,20,1048576,1,1000,100,,0.089989,11112.454696,116.522533,11652253295.341375,,,-1,xor-zeta,none,1,,1048576,online-reorder,radix4,four-mul,table,shared,scalar,0,named-barrier,256,0,0,8,8,0,0,10,1,0,0,0.756256,0.729728,0.000000
xor20_online_b1,xor20-batch1,quick,butterfly,cuButterfly-online-radix4,0,4,1,1,0.000000,Tesla V100-SXM2-16GB,7.0,,,uint32,forward,out-of-place,20,1048576,1,1000,100,,0.090450,11055.841511,115.928901,11592890068.736340,,,-1,xor-zeta,none,1,,1048576,online-reorder,radix4,four-mul,table,shared,scalar,0,named-barrier,256,0,0,8,8,0,0,10,1,0,0,0.756864,0.749184,0.000000
xor8_r4_b1,xor8-batch1,quick,butterfly,cuButterfly-radix4,0,3,1,1,0.000000,Tesla V100-SXM2-16GB,7.0,,,uint32,forward,out-of-place,8,256,1,1000,100,,0.002540,393775.214160,0.403226,100806454.824929,,,-1,xor-zeta,none,1,,256,temporal-tile,radix4,four-mul,table,shared,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,0.008192,0.017088,0.000000
fft8_cufft_b1,fft8-batch1,quick,fft-library,cuFFT,1,5,1,1,,Tesla V100-SXM2-16GB,7.0,cufft,10900,fp32,forward,in-place,8,256,1,1000,100,1.760243000,0.002682880,372733.806415253,0.381679418,95419854.442304835,0.000000000,0.000000000,-1,fft,none,1,,256,,,,,,,,,,,,,,,,,,,,,,
fwht15_online_b1,fwht15-batch1,quick,butterfly,cuButterfly-online-radix4,0,2,1,1,0.000000,Tesla V100-SXM2-16GB,7.0,,,fp32,forward,out-of-place,15,32768,1,1000,100,,0.007680,130208.328728,31.999999,4266666515.751023,,,-1,fwht,none,1,,32768,online-reorder,radix4,four-mul,table,shared,scalar,0,named-barrier,256,0,0,8,8,0,0,8,1,0,0,0.043424,0.051744,0.000000
fft20_cub_b1,fft20-batch1,quick,butterfly,cuButterfly-cuFFTDx-online,0,3,1,1,0.001242,Tesla V100-SXM2-16GB,7.0,,,fp32,forward,in-place,20,1048576,1,1000,100,,0.070881,14108.097904,147.934129,14793412867.337908,,,-1,fft,none,1,,1048576,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,128,512,512,8,8,4,4,10,1,0,0,1.427360,1.349472,0.000000
