case_id,group,implementation,reference,trials,median_kernel_ms,min_kernel_ms,max_kernel_ms,relative_range,central_relative_range,stability_class,correct,operator,precision,direction,normalization,placement,logN,N,performance_batch,element_stride,batch_stride,word_bits,modulus_bits,inverse,output_order,backend,compute_unit,fft_core,local_exchange,cross_twiddle,million_transforms_s,billion_points_s,comparison_basis,basis_implementation,basis_kernel_ms,throughput_vs_basis,performance_class,peak_billion_points_s,peak_batch,fraction_of_peak,saturation_fraction,saturation_batch,throughput_speedup_vs_batch1,batch_efficiency_vs_batch1,scaling_region,timing_floor_ms,timing_quality
fft8_cufft_b1,fft8-batch1,cuFFT,1,5,0.002682880,0.002672640,0.003051520,0.141221,0.007634,stable-with-outlier,1,fft,fp32,forward,none,in-place,8,256,1,1,256,,,,,,,,,,0.372733779,0.095419847,declared-reference,cuFFT,0.002682880,1.000000,parity,0.095419847,1,1.000000,0.900000,1,1.000000,1.000000,saturated,0.020000,below-timing-floor
fft18_vkfft_b1,fft18-batch1,VkFFT,0,5,0.018472960,0.018462719,0.021575680,0.168514,0.000554,stable-with-outlier,1,fft,fp32,forward,none,in-place,18,262144,1,1,262144,,,,,,,,,,0.054133176,14.190687361,group-fastest,cuButterfly-cuFFTDx-online,0.016466000,0.891357,slower,14.190687361,1,1.000000,0.900000,1,1.000000,1.000000,saturated,0.020000,below-timing-floor
fft18_cub_b1,fft18-batch1,cuButterfly-cuFFTDx-online,0,5,0.016466000,0.016435000,0.019139000,0.164217,0.001275,stable-with-outlier,1,fft,fp32,forward,none,in-place,18,262144,1,1,262144,,,,,online-reorder,auto,cufftdx-block,shared,recurrence,0.060731204,15.920320661,group-fastest,cuButterfly-cuFFTDx-online,0.016466000,1.000000,parity,15.920320661,1,1.000000,0.900000,1,1.000000,1.000000,saturated,0.020000,below-timing-floor
fft20_cub_b1,fft20-batch1,cuButterfly-cuFFTDx-online,0,5,0.077179000,0.070881000,0.077445000,0.085049,0.077081,unstable,1,fft,fp32,forward,none,in-place,20,1048576,1,1,1048576,,,,,online-reorder,auto,cufftdx-block,shared,recurrence,0.012956892,13.586286425,group-fastest,cuButterfly-cuFFTDx-online,0.077179000,1.000000,parity,13.586286425,1,1.000000,0.900000,1,1.000000,1.000000,saturated,0.020000,unstable
fwht8_warp_b1,fwht8-batch1,cuButterfly-warp-register,0,5,0.002580000,0.002365000,0.002621000,0.099225,0.071318,unstable,1,fwht,fp32,forward,none,out-of-place,8,256,1,1,256,,,,,temporal-tile,radix2,scalar,warp-register,table,0.387596899,0.099224806,group-fastest,cuButterfly-warp-register,0.002580000,1.000000,parity,6.866722548,64,0.014450,0.900000,64,1.000000,1.000000,launch-limited,0.020000,below-timing-floor
fwht8_warp_b64,fwht8-batch64,cuButterfly-warp-register,0,5,0.002386000,0.002376000,0.002468000,0.038558,0.012992,stable-with-outlier,1,fwht,fp32,forward,none,out-of-place,8,256,64,1,256,,,,,temporal-tile,radix2,scalar,warp-register,table,26.823134954,6.866722548,group-fastest,cuButterfly-warp-register,0.002386000,1.000000,parity,6.866722548,64,1.000000,0.900000,64,69.203688,1.081308,saturated,0.020000,below-timing-floor
fwht15_online_b1,fwht15-batch1,cuButterfly-online-radix4,0,5,0.007711000,0.007680000,0.008980000,0.168590,0.167293,unstable,1,fwht,fp32,forward,none,out-of-place,15,32768,1,1,32768,,,,,online-reorder,radix4,scalar,shared,table,0.129684866,4.249513682,group-fastest,cuButterfly-online-radix4,0.007711000,1.000000,parity,4.249513682,1,1.000000,0.900000,1,1.000000,1.000000,saturated,0.020000,below-timing-floor
xor8_r2_b64,xor8-batch64,cuButterfly-radix2,0,5,0.003072000,0.002918000,0.003420000,0.163411,0.156576,unstable,1,xor-zeta,uint32,forward,none,out-of-place,8,256,64,1,256,,,,,temporal-tile,radix2,scalar,shared,table,20.833333333,5.333333333,group-fastest,cuButterfly-radix2,0.003072000,1.000000,parity,5.333333333,64,1.000000,0.900000,64,0.000000,0.000000,saturated,0.020000,below-timing-floor
xor8_r4_b1,xor8-batch1,cuButterfly-radix4,0,5,0.002540000,0.002478000,0.002621000,0.056299,0.036220,unstable,1,xor-zeta,uint32,forward,none,out-of-place,8,256,1,1,256,,,,,temporal-tile,radix4,scalar,shared,table,0.393700787,0.100787402,group-fastest,cuButterfly-radix4,0.002540000,1.000000,parity,0.100787402,1,1.000000,0.900000,1,1.000000,1.000000,saturated,0.020000,below-timing-floor
xor20_online_b1,xor20-batch1,cuButterfly-online-radix4,0,5,0.089989000,0.089887000,0.090450000,0.006256,0.002045,stable,1,xor-zeta,uint32,forward,none,out-of-place,20,1048576,1,1,1048576,,,,,online-reorder,radix4,scalar,shared,table,0.011112469,11.652268611,group-fastest,cuButterfly-online-radix4,0.089989000,1.000000,parity,11.652268611,1,1.000000,0.900000,1,1.000000,1.000000,saturated,0.020000,stable
