group,operator,precision,logN,N,batch,output_order,library,library_ms,base,base_ms,searched,searched_ms,searched_speedup_vs_base,searched_throughput_vs_library,searched_class_vs_library,library_stability,base_stability,searched_stability,library_evidence_source
fft8-batch16384,fft,fp32,8,256,16384,natural,cuFFT,0.083814,cuButterfly-base-radix2,0.112087,cuButterfly-searched-cuFFTDx,0.084316,1.3293680914654395,0.9940462071255752,parity,stable,stable-with-outlier,stable,current-randomized-full-protocol
fft14-batch256,fft,fp32,14,16384,256,natural,cuFFT,0.121754,cuButterfly-base-radix2,0.71978,cuButterfly-searched-cuFFTDx-direct,0.120996,5.9487916955932425,1.0062646699064433,parity,stable,stable,stable,current-randomized-full-protocol
fft18-batch16,fft,fp32,18,262144,16,natural,cuFFT,0.21163,cuButterfly-base-radix2,0.510269,cuButterfly-searched-auto,0.195635,2.6082705037442175,1.0817593988805685,faster,stable,stable,stable,current-randomized-full-protocol
fft20-batch4,fft,fp32,20,1048576,4,natural,cuFFT,0.210309,cuButterfly-base-radix2,0.767959,cuButterfly-searched-auto,0.214589,3.5787435516265975,0.9800548956377074,parity,stable,stable,stable,current-randomized-full-protocol
fwht8-batch65536,fwht,fp32,8,256,65536,natural,Dao-AILab-FHT,0.1647,cuButterfly-base-radix2,0.18814,cuButterfly-searched-warp-register,0.164321,1.14495408377505,1.002306461134,parity,stable,stable,stable,current-randomized-full-protocol
fwht15-batch256,fwht,fp32,15,32768,256,natural,Dao-AILab-FHT,0.116132,cuButterfly-base-radix2,0.69931,cuButterfly-searched-warp-register,0.106998,6.535729639806352,1.085366081609002,faster,stable,stable,stable-with-outlier,current-randomized-full-protocol
fwht15-batch512,fwht,fp32,15,32768,512,natural,Dao-AILab-FHT,0.207749,cuButterfly-base-radix2,1.380014,cuButterfly-searched-warp-register,0.193034,7.149072184174808,1.0762300941802998,faster,stable,stable,stable,current-randomized-full-protocol
ntt16-batch4,ntt,uint64,16,65536,4,natural,GPU-NTT-Merge-natural,0.032881,cuNTT-base-radix2,0.031529,cuNTT-searched-radix4,0.02942,1.0716859279401767,1.1176410605030591,faster,stable-with-outlier,stable,stable,archived-matching-protocol
ntt16-batch64,ntt,uint64,16,65536,64,natural,GPU-NTT-Merge-natural,0.386632,cuNTT-base-radix2,0.301097,cuNTT-searched-radix4,0.274237,1.097944478680849,1.409846227897767,faster,stable,stable,stable,archived-matching-protocol
ntt16-batch256,ntt,uint64,16,65536,256,natural,GPU-NTT-Merge-natural,1.52208,cuNTT-base-radix2,1.163039,cuNTT-searched-radix4,1.058611,1.0986462449379422,1.43780860013735,faster,stable,stable,stable,archived-matching-protocol
