operator,precision,accumulation,logN,batch,base_mapping,base_ms,searched_mapping,searched_ms,searched_speedup_vs_base
fft,bf16,fp32,8,1,temporal-r2-t128,0.004792,temporal-r2-t128,0.004792,1.0
fft,bf16,fp32,8,1281,temporal-r2-t128,0.018012,temporal-r2-t128,0.018012,1.0
fft,bf16,fp32,15,6,online-r2-t256,0.035768,online-r2-t256,0.035768,1.0
fft,bf16,fp32,15,7,online-r2-t256,0.04009,online-r2-t256,0.04009,1.0
fft,bf16,native,8,801,temporal-r2-t128,0.018053,temporal-r2-t128,0.018053,1.0
fft,bf16,native,8,1280,temporal-r2-t128,0.024873,temporal-r2-t128,0.024873,1.0
fft,bf16,native,8,1281,temporal-r2-t128,0.025682,temporal-r2-t128,0.025682,1.0
fft,bf16,native,15,1,online-r2-t256,0.014828,online-r2-t256,0.014828,1.0
fft,bf16,native,15,5,online-r2-t256,0.03839,online-r2-t256,0.03839,1.0
fft,bf16,native,15,8,online-r2-t256,0.056433,online-r2-t256,0.056433,1.0
fft,bf16,native,15,9,online-r2-t256,0.062413,online-r2-t256,0.062413,1.0
fft,bf16,native,20,1,online-r2-t256,0.240148,online-r4-t256,0.213811,1.1231788822838862
fft,bf16,native,20,2,online-r2-t256,0.444078,online-r4-t256,0.39765,1.1167559411542813
fft,fp16,fp32,8,1,temporal-r2-t128,0.003932,temporal-r4-t128,0.003492,1.1260022909507446
fft,fp16,fp32,8,799,temporal-r2-t128,0.006369,temporal-r4-t128,0.006216,1.0246138996138996
fft,fp16,fp32,8,800,temporal-r2-t128,0.006369,temporal-r4-t128,0.006216,1.0246138996138996
fft,fp16,fp32,15,1,online-r2-t256,0.01193,online-r4-t256,0.011336,1.0523994354269584
fft,fp16,fp32,15,7,online-r2-t256,0.034099,hier-r4-t256,0.030484,1.118586799632594
fft,fp16,fp32,20,1,online-r2-t256,0.146248,online-r4-t256,0.128686,1.1364717218656264
fft,fp16,fp32,20,2,online-r2-t256,0.268216,online-r4-t256,0.240241,1.1164455692408872
fft,fp16,native,8,799,temporal-r2-t128,0.005437,temporal-r4-t128,0.00471,1.1543524416135882
fft,fp16,native,8,800,temporal-r2-t128,0.005448,temporal-r4-t128,0.00471,1.156687898089172
fft,fp16,native,8,801,temporal-r2-t128,0.005448,temporal-r4-t128,0.004721,1.153992798135988
fft,fp16,native,8,1280,temporal-r2-t128,0.006656,temporal-r4-t128,0.005642,1.1797235023041472
fft,fp16,native,15,1,online-r2-t256,0.011254,online-r4-t256,0.010117,1.112385094395572
fft,fp16,native,15,4,online-r2-t256,0.021309,online-r4-t256,0.020152,1.057413656212783
fft,fp16,native,15,5,online-r2-t256,0.024893,online-r4-t256,0.022927,1.0857504252627905
fft,fp16,native,15,6,online-r2-t256,0.029051,online-r4-t256,0.026491,1.096636593560077
fft,fp32,native,8,1279,temporal-r2-t128,0.010803,temporal-r4-t128,0.0094,1.149255319148936
fft,fp32,native,8,1280,temporal-r2-t128,0.010803,temporal-r4-t128,0.00939,1.150479233226837
fft,fp32,native,8,1281,temporal-r2-t128,0.011131,temporal-r4-t128,0.009687,1.149065758232683
fft,fp32,native,15,6,online-r2-t256,0.030863,online-r4-t256,0.029399,1.049797612163679
fft,fp32,native,15,7,online-r2-t256,0.034683,online-r4-t256,0.032686,1.0610964939117664
fft,fp32,native,15,8,online-r2-t256,0.039219,online-r4-t256,0.037335,1.0504620329449577
fft,fp32,native,15,9,online-r2-t256,0.043653,online-r4-t256,0.041564,1.050259840246367
fft,fp32,native,20,1,online-r2-t256,0.185272,online-r4-t256,0.165386,1.1202399235727327
fft,fp64,native,8,1,temporal-r2-t128,0.004209,temporal-r4-t128,0.003768,1.1170382165605095
fft,fp64,native,8,719,temporal-r2-t128,0.010742,temporal-r4-t128,0.00937,1.1464247598719317
fft,fp64,native,8,720,temporal-r2-t128,0.010711,temporal-r4-t128,0.009431,1.1357226169017072
fft,fp64,native,8,959,temporal-r2-t128,0.017377,temporal-r4-t128,0.016968,1.024104196133899
fft,fp64,native,20,2,online-r2-t256,0.588216,online-r4-t256,0.520192,1.1307671013779528
fwht,bf16,fp32,8,1,temporal-r2-t128,0.003113,temporal-r4-t128,0.002939,1.0592038108200066
fwht,bf16,fp32,8,959,temporal-r2-t128,0.007035,temporal-r4-t128,0.006748,1.0425311203319503
fwht,bf16,fp32,8,1280,temporal-r2-t128,0.00852,temporal-r4-t128,0.008049,1.0585165859112933
fwht,bf16,fp32,8,1281,temporal-r2-t128,0.008694,temporal-r4-t128,0.0081,1.0733333333333335
fwht,bf16,fp32,15,1,online-r2-t256,0.009114,online-r2-t256,0.009114,1.0
fwht,bf16,fp32,20,1,online-r2-t256,0.107663,hier-r4-t256,0.083804,1.2847000143191254
fwht,bf16,native,8,1,temporal-r2-t128,0.003103,temporal-r4-t128,0.002929,1.0594059405940592
fwht,bf16,native,8,959,temporal-r2-t128,0.007035,temporal-r4-t128,0.006738,1.0440783615316116
fwht,bf16,native,8,960,temporal-r2-t128,0.007035,temporal-r4-t128,0.006738,1.0440783615316116
fwht,bf16,native,8,1281,temporal-r2-t128,0.008724,temporal-r4-t128,0.00809,1.0783683559950556
fwht,bf16,native,15,1,online-r2-t256,0.009114,online-r2-t256,0.009114,1.0
fwht,bf16,native,15,9,online-r2-t256,0.030761,hier-r4-t256,0.030136,1.020739315104858
fwht,bf16,native,20,2,online-r2-t256,0.198185,hier-r4-t256,0.176722,1.1214506399882302
fwht,fp16,fp32,8,960,temporal-r2-t128,0.004844,temporal-r4-t128,0.004332,1.1181902123730378
fwht,fp16,fp32,15,8,online-r2-t256,0.026737,hier-r4-t256,0.024105,1.1091889649450322
fwht,fp16,fp32,15,9,online-r2-t256,0.029276,hier-r4-t256,0.025272,1.1584362139917697
fwht,fp16,fp32,20,2,online-r2-t256,0.173701,hier-r4-t256,0.143759,1.208279133828143
fwht,fp16,native,8,1,temporal-r2-t128,0.002724,temporal-r4-t128,0.002499,1.0900360144057624
fwht,fp16,native,8,959,temporal-r2-t128,0.004536,temporal-r4-t128,0.004086,1.1101321585903083
fwht,fp16,native,8,960,temporal-r2-t128,0.004536,temporal-r4-t128,0.004076,1.112855740922473
fwht,fp16,native,15,1,online-r2-t256,0.008294,online-r4-t256,0.007823,1.0602070816822189
fwht,fp16,native,15,6,online-r2-t256,0.021125,online-r4-t256,0.020562,1.0273806049995138
fwht,fp32,native,8,1,temporal-r2-t128,0.002744,temporal-r4-t128,0.002519,1.0893211591901548
fwht,fp32,native,8,959,temporal-r2-t128,0.004813,temporal-r4-t128,0.004229,1.1380941120832346
fwht,fp32,native,8,960,temporal-r2-t128,0.004813,temporal-r4-t128,0.004229,1.1380941120832346
fwht,fp32,native,8,1281,temporal-r2-t128,0.005499,temporal-r4-t128,0.004813,1.1425306461666322
fwht,fp32,native,15,1,online-r2-t256,0.008223,online-r4-t256,0.007711,1.0663986512773957
fwht,fp32,native,20,1,online-r2-t256,0.093194,online-r4-t256,0.090143,1.0338462221137525
